# n	sum_policy	sum_fitness	sum_liquidity	sum_ir	sum_bankruptcy	sum_best_lender	sum_best_num_clients	sum_credit_channels	sum_rationing	sum_leverage
  0	              519.0	 357.89904467320014	  3178970.002794389	 180.03684918442806	             9271.0	            24104.0	             4751.0	             3232.0	  41037.67071447322	  89.70591053877901
  1	              519.0	 365.40077039396914	 3128814.0344928955	 168.74443743697327	             9373.0	            24721.0	             4745.0	             3175.0	  41559.53048456786	  92.28003914245399
  2	              497.0	  370.7580958684451	  3114923.583659472	 158.12870353080527	             9264.0	            24947.0	             4754.0	             3188.0	  40967.62687236074	  90.04795600112587
  3	              526.0	 358.50290896303443	 3198139.9202582734	 151.92333900244878	             9183.0	            24588.0	             4636.0	             3280.0	  39989.40405300046	   88.7966087941705
  4	              489.0	  380.4134812905235	 2950055.7656315337	 145.98033590130782	             9578.0	            24858.0	             4681.0	             3203.0	  42657.62960843069	   92.5238165876019
  5	              482.0	  369.2921127585314	  3188377.782658158	  146.5802721566325	             9453.0	            24167.0	             4655.0	             3202.0	  41428.10005641763	  90.49778703206083
  6	              486.0	  375.8047458650381	 3029514.3918752195	 154.96385497324036	             9561.0	            23660.0	             4726.0	             3242.0	 41704.694775210046	  89.25651700072993
  7	              508.0	 374.43582748950257	 2917553.5950707295	 148.48645946885415	             9524.0	            24769.0	             4707.0	             3147.0	  40574.94602290035	   92.1054423175555
  8	              493.0	  374.6025577414764	 3272848.7392757316	 218.39196745050313	             9250.0	            24859.0	             4741.0	             3176.0	  41202.37903351981	  88.63496696457796
  9	              508.0	 376.86922604510085	  2983173.941647018	  159.9328358443308	             9489.0	            24498.0	             4678.0	             3238.0	  41843.81530419363	  92.37555457125417
 10	              507.0	 361.26141805374334	  3108441.134587709	 179.43045769961685	             9651.0	            24751.0	             4759.0	             3318.0	  41484.43032326377	  89.44917443913171
 11	              502.0	  370.6527433523277	 3016433.4813046544	  182.4880838595587	             9358.0	            23956.0	             4592.0	             3153.0	  40947.98249199745	  89.98664848168568
 12	              521.0	 360.60256493421457	  2951332.048793744	 155.43594963767322	             9631.0	            26276.0	             4693.0	             3296.0	  43391.03609857984	  89.79331726047718
