# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# bankruptcy
  0	                 12	                 12	                  6	                  5	                  6	                  9	                  8	                 11	                  6	                 11	                 14	                  8	                 10	                  8	                  8	                 14	                  6	                  9	                  9	                  8	                 11	                 11	                 10	                 10	                  8	                 12	                  6	                 14	                 13	                  5	                  7	                  7	                 12	                 13	                 13	                  8	                  4	                 12	                 10	                  8	                  5	                  9	                  6	                  7	                  9	                  5	                 10	                  8	                 12	                 13
  1	                 12	                 12	                  8	                 12	                 14	                 12	                 15	                  9	                  7	                 13	                 11	                 10	                 12	                 14	                  7	                 11	                 12	                 16	                  6	                 18	                 11	                 15	                  9	                 15	                 12	                 13	                 15	                 14	                 12	                 11	                 18	                  9	                 19	                 12	                  9	                 10	                 11	                 12	                 19	                 14	                 12	                  7	                 15	                 18	                 15	                 10	                 11	                 11	                 11	                 13
  2	                 11	                 11	                 11	                  7	                  9	                 16	                 11	                 11	                  9	                  9	                  9	                 12	                 15	                 19	                 13	                 16	                  8	                 14	                 11	                 10	                 12	                  6	                  7	                  7	                 11	                  6	                 14	                  9	                 14	                 11	                 14	                 21	                 13	                 13	                  9	                  8	                 14	                 11	                 11	                 16	                  6	                 13	                 10	                 12	                 14	                 13	                  9	                  7	                 17	                 14
  3	                 13	                 13	                 19	                  7	                 14	                 11	                  6	                 12	                 12	                 10	                  9	                  8	                  9	                 10	                  8	                  7	                 15	                 13	                 12	                 11	                  9	                  8	                  7	                  6	                 14	                 16	                 17	                 16	                 12	                  9	                 12	                 15	                  7	                 15	                 13	                  9	                  9	                 11	                  7	                  9	                  7	                 10	                 12	                  8	                  8	                  5	                 11	                 12	                 15	                  7
  4	                 11	                 11	                 12	                 13	                 16	                 11	                 10	                 13	                 15	                  6	                 11	                  6	                 12	                  5	                 13	                 12	                 10	                 17	                 13	                 13	                 16	                 11	                 11	                 12	                 15	                 13	                  9	                  7	                 10	                 11	                 15	                  9	                 13	                  9	                 11	                  9	                 11	                 18	                  4	                  8	                 14	                  9	                 11	                 12	                  9	                 11	                 11	                 16	                 13	                  9
  5	                 10	                 10	                  6	                 13	                 10	                 10	                 11	                 10	                  6	                 10	                  5	                 10	                 14	                 11	                  8	                 10	                 13	                  8	                  6	                 12	                  8	                 11	                  9	                  7	                 17	                 14	                 11	                 11	                  8	                 11	                 11	                 13	                  9	                  9	                 12	                  9	                  8	                  3	                 11	                 13	                  9	                 12	                 10	                 14	                 11	                  7	                  6	                 12	                 17	                 12
  6	                 11	                 11	                 10	                 10	                 15	                 11	                 17	                 14	                 11	                  7	                 11	                  5	                 21	                 10	                 13	                  7	                 12	                 10	                 10	                  5	                  6	                 10	                  9	                 13	                 10	                  6	                  9	                  8	                  8	                 12	                  9	                 16	                 10	                 14	                 12	                 12	                 10	                 15	                  7	                 15	                 12	                  7	                 11	                 23	                 12	                  7	                 14	                 15	                 11	                 10
  7	                  9	                 12	                 10	                 12	                 13	                 14	                  4	                 13	                  8	                  6	                  7	                  9	                  7	                  8	                 14	                 14	                 14	                  9	                 11	                  7	                 11	                  8	                  9	                  8	                 15	                 13	                 10	                 10	                  8	                  7	                  7	                  7	                  8	                 13	                 12	                  6	                  8	                 17	                  7	                 13	                 10	                 17	                  6	                  9	                 11	                  9	                 11	                 10	                 17	                 12
  8	                 10	                 11	                 13	                  7	                  7	                 10	                  5	                  9	                 10	                 10	                  7	                  6	                 14	                 10	                  9	                 15	                 13	                  9	                  6	                 16	                 15	                 17	                 10	                 11	                 15	                 10	                  3	                 12	                 10	                  9	                  7	                  9	                 11	                  9	                  9	                  8	                 12	                 10	                 15	                 11	                  8	                  7	                  9	                 12	                 12	                 13	                 10	                 11	                  4	                  4
  9	                 12	                 12	                  7	                  8	                 12	                 10	                  7	                  9	                 13	                  6	                 12	                 11	                  9	                 10	                 10	                 15	                 11	                 10	                 10	                  7	                 13	                  9	                 14	                  9	                  5	                 11	                 11	                  7	                  9	                  8	                 14	                  9	                 10	                 11	                  2	                  9	                  8	                 14	                 10	                  7	                  5	                 10	                 12	                 10	                  9	                  7	                 10	                 11	                 10	                 12
