# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# best_lender
  0	                 43	                 43	                 16	                 43	                  5	                 41	                 36	                 23	                  8	                 21	                  7	                 13	                 37	                 37	                 41	                 41	                 22	                  9	                 42	                 20	                 47	                 43	                  2	                 32	                 44	                 43	                 31	                 30	                 36	                 47	                 26	                  3	                 23	                  5	                 27	                  8	                 48	                 14	                 36	                 15	                  6	                 23	                 44	                 25	                 42	                 35	                  1	                 39	                 16	                 39
  1	                 18	                 18	                 34	                 28	                  1	                 41	                 36	                 36	                  0	                 18	                  8	                 19	                 42	                  2	                 26	                 32	                 41	                 36	                 32	                 20	                 47	                 37	                 34	                 11	                 28	                 17	                 40	                 42	                 13	                 47	                 41	                  1	                 23	                  5	                 31	                  8	                  1	                 23	                 19	                 46	                  6	                  3	                 23	                  8	                  3	                  8	                 45	                 39	                 39	                 11
  2	                 30	                 30	                 29	                 34	                 11	                 46	                 36	                 35	                  0	                 34	                  6	                 19	                 33	                 39	                 14	                 32	                  8	                 38	                 39	                 20	                  3	                 31	                 20	                 17	                 49	                 17	                 49	                 42	                  4	                  5	                  1	                 23	                 30	                 49	                 31	                  7	                 48	                  6	                 36	                 46	                 23	                 20	                 40	                 19	                 23	                  8	                 22	                  1	                  8	                 17
  3	                 18	                 18	                  8	                 28	                 11	                 10	                  9	                 10	                  3	                 10	                 39	                 24	                 22	                 21	                 48	                 12	                 49	                 19	                 33	                 17	                 30	                 24	                  9	                 48	                 48	                 17	                 18	                 42	                 36	                  5	                  6	                 23	                 39	                 47	                 31	                  7	                 48	                 44	                  9	                 34	                 13	                 47	                 40	                 19	                 23	                 10	                 47	                 16	                  8	                 17
  4	                 15	                 42	                 20	                 39	                 19	                  4	                 41	                 48	                  3	                 10	                 28	                 38	                 34	                 33	                 36	                 21	                 29	                 31	                  9	                 17	                  6	                 47	                 33	                 25	                 49	                  6	                 10	                 48	                 23	                  4	                 36	                 28	                 39	                  3	                 26	                 37	                 48	                 11	                 36	                 42	                 13	                 32	                 40	                 46	                 23	                 41	                 48	                  1	                  8	                  8
  5	                 15	                 27	                 26	                 28	                 29	                 21	                 41	                 23	                 31	                 18	                 20	                  0	                 34	                 33	                 32	                 49	                  9	                 35	                  9	                 26	                 43	                 35	                 43	                 12	                 38	                  6	                 21	                 45	                  3	                 41	                 20	                 39	                 39	                 19	                 37	                 25	                  4	                 12	                 41	                 36	                 43	                 26	                 40	                 23	                 13	                  8	                 24	                 41	                  8	                 28
  6	                 49	                 10	                  1	                 15	                 30	                  4	                 45	                 23	                 15	                 17	                 47	                  2	                  4	                 33	                 32	                  5	                 21	                  2	                 36	                 32	                 43	                 35	                 10	                 11	                 31	                  6	                 40	                  2	                 15	                 24	                 18	                 39	                 39	                 16	                 37	                 17	                 35	                  1	                 36	                 33	                 15	                 15	                 31	                 23	                 14	                 41	                 42	                 19	                 49	                 11
  7	                 49	                 35	                 12	                 15	                 31	                 23	                 20	                 47	                  9	                 28	                 20	                 49	                 11	                 36	                 32	                  5	                 14	                 34	                  9	                 17	                  4	                 35	                 11	                 35	                 31	                 41	                  0	                  2	                 15	                 45	                  2	                 27	                  7	                 24	                 24	                 49	                 38	                  3	                 33	                 34	                 29	                 40	                 14	                 27	                 20	                 40	                 42	                  0	                 16	                 22
  8	                 35	                 29	                 34	                 12	                 24	                 30	                 20	                  6	                  3	                 47	                 42	                 49	                 39	                 29	                 32	                 37	                 19	                 34	                 45	                 26	                 19	                 45	                 36	                 44	                 14	                  5	                 14	                  2	                  2	                  5	                  4	                  7	                 47	                  7	                 47	                  6	                 35	                 22	                 47	                  0	                 24	                  6	                 39	                 47	                  4	                 31	                 42	                  1	                 35	                 22
  9	                 18	                 48	                 42	                 15	                 42	                 31	                 15	                 13	                 29	                 29	                 47	                 42	                 32	                 36	                  3	                 10	                 19	                 34	                 33	                 26	                 33	                 20	                 33	                 42	                  4	                 17	                 14	                 27	                 21	                  1	                  4	                 35	                 19	                  7	                 23	                 49	                 28	                  6	                 24	                 34	                 24	                 16	                 38	                 47	                  4	                 20	                 14	                  1	                 35	                 22
 10	                  7	                 10	                 34	                 12	                 42	                 20	                 15	                  4	                 26	                 47	                 47	                 10	                 32	                  3	                 15	                 10	                 19	                 34	                 33	                 26	                 49	                  8	                 33	                  6	                 37	                  6	                 14	                 31	                 27	                 13	                  4	                 24	                 47	                  7	                 47	                 49	                 28	                 43	                 17	                 45	                  0	                 22	                 31	                 48	                 40	                  9	                 35	                  6	                  6	                 30
 11	                 48	                 45	                 20	                 40	                 18	                 38	                  9	                  7	                  2	                 47	                 36	                 10	                 39	                 15	                  0	                  8	                  1	                 34	                 33	                  9	                 49	                 41	                  7	                 22	                 40	                 12	                 49	                 44	                 27	                 11	                  0	                 35	                 12	                  7	                 18	                 17	                 28	                 34	                 45	                 42	                 14	                 21	                 49	                 44	                 30	                 39	                 43	                 34	                 23	                 35
 12	                  5	                 11	                 29	                  2	                 33	                 38	                 24	                  7	                 28	                 47	                 37	                  9	                  1	                 31	                 32	                  8	                  1	                 34	                 42	                 26	                  4	                 22	                  7	                 22	                 16	                  3	                 38	                  8	                  6	                 24	                  0	                 48	                 12	                  0	                 43	                 17	                 28	                 16	                 14	                 21	                  0	                 21	                 15	                 42	                 17	                 39	                 46	                 40	                 31	                 32
 13	                  0	                 22	                 29	                 19	                 27	                 45	                 14	                  7	                 28	                 47	                 37	                 13	                 39	                 20	                 26	                 25	                  9	                 34	                 33	                 41	                 23	                  3	                  7	                 22	                  5	                  3	                 22	                 16	                 29	                  3	                  0	                 11	                 40	                  8	                 38	                 17	                 28	                 16	                  6	                 27	                  0	                 36	                 49	                 42	                 26	                 39	                 36	                 21	                 19	                 35
 14	                 23	                 20	                 33	                 41	                 27	                  6	                 35	                 42	                 38	                 47	                  6	                 29	                 14	                 20	                 19	                 25	                 38	                  1	                 33	                 13	                 35	                 26	                 43	                  4	                  5	                 24	                 17	                 37	                 22	                 15	                 15	                 34	                 17	                 11	                  4	                 27	                 45	                 16	                 11	                 49	                 13	                 42	                 20	                 14	                 10	                 40	                  0	                 28	                 46	                  2
 15	                 23	                 36	                 35	                 38	                 33	                  6	                 35	                 34	                 38	                 23	                  6	                 13	                 10	                 20	                  2	                 43	                 38	                 34	                 37	                 16	                 35	                  2	                 16	                 41	                  5	                 48	                 17	                 37	                 22	                 43	                 15	                  1	                 17	                 39	                 19	                 45	                 27	                 16	                 11	                 29	                 30	                 28	                 26	                  2	                 10	                 36	                  0	                 28	                 16	                 47
 16	                 43	                 20	                 24	                 42	                 36	                 45	                  9	                 34	                 38	                 21	                 24	                 15	                 12	                 24	                  0	                 43	                 38	                 34	                 37	                 31	                 35	                 22	                  5	                 41	                 33	                 48	                  4	                  9	                 22	                 32	                 20	                 34	                 17	                 39	                 19	                 24	                 42	                 41	                 25	                 45	                 42	                 28	                 25	                 40	                 26	                  2	                 12	                 28	                 49	                 31
 17	                  0	                 41	                 24	                  7	                  3	                  5	                  9	                 47	                 40	                 23	                  2	                 32	                 31	                 24	                  0	                 46	                 48	                  9	                 49	                 16	                 35	                 24	                  5	                  4	                 26	                 15	                 29	                  9	                 47	                 43	                 46	                 46	                 17	                 39	                  6	                 35	                 12	                  3	                 20	                 14	                 22	                 20	                 14	                 40	                 10	                 28	                  2	                 28	                 15	                 44
 18	                  0	                 13	                  8	                 32	                 10	                 20	                  9	                 11	                 44	                 23	                 20	                 32	                 21	                 48	                 28	                 43	                 48	                 44	                 38	                  6	                 37	                  0	                 33	                 43	                 25	                 15	                  6	                  2	                 22	                 18	                 46	                 13	                 17	                 38	                 18	                 13	                 14	                  2	                 30	                  0	                 42	                 42	                  4	                 40	                 10	                 39	                 38	                 28	                  4	                 47
 19	                 23	                 22	                  7	                 32	                 10	                  9	                 39	                 18	                  1	                 10	                 20	                 32	                 23	                 13	                 28	                 43	                  4	                 46	                 38	                  9	                 17	                 29	                 33	                  6	                 11	                 11	                 22	                  2	                 31	                 38	                 46	                 33	                  3	                 29	                  6	                 38	                  3	                 18	                 47	                 27	                 22	                 42	                  0	                  6	                 21	                  7	                 29	                 28	                  4	                  5
 20	                 23	                 35	                  7	                  1	                 10	                 26	                 21	                  0	                 11	                  2	                 20	                 32	                 21	                 13	                 22	                 36	                 38	                 44	                 49	                  7	                 17	                 10	                 19	                 29	                 11	                 11	                 22	                 12	                 19	                 47	                 30	                 32	                 17	                 41	                 44	                 20	                 14	                 29	                 15	                  8	                 22	                 45	                 14	                  6	                 25	                  3	                 29	                 38	                  0	                 47
 21	                 23	                 20	                  8	                 34	                  7	                 35	                 21	                 34	                 35	                 27	                 29	                  8	                 21	                 29	                 22	                 31	                 48	                  5	                 40	                 16	                 45	                 10	                 19	                 29	                 40	                 42	                 17	                 13	                 13	                 12	                 48	                 32	                 23	                  6	                 44	                 41	                 24	                 27	                  8	                 27	                 18	                 27	                  9	                 15	                 36	                  9	                 16	                 49	                 15	                 22
 22	                 23	                 35	                  8	                 24	                 22	                 12	                 21	                 23	                 37	                 27	                 30	                 37	                 42	                 14	                 48	                 36	                 24	                 47	                 16	                 16	                  3	                 20	                 40	                 34	                 43	                 42	                 49	                 49	                 41	                 40	                 30	                 32	                 23	                 30	                 44	                 29	                 15	                 32	                 15	                 45	                 35	                 37	                  4	                 42	                 21	                 43	                 35	                 18	                 15	                 22
 23	                 23	                  4	                 25	                 17	                 19	                 18	                 21	                 23	                 39	                 23	                 17	                  6	                 36	                 32	                  7	                 22	                 26	                 47	                 39	                 23	                 19	                 48	                 30	                 21	                 43	                 42	                 30	                 47	                  7	                 39	                 30	                 17	                 26	                 23	                 19	                 29	                 31	                 44	                 25	                 36	                 48	                 23	                  4	                 15	                 25	                 33	                 35	                 32	                 15	                  6
 24	                 23	                 29	                  8	                 17	                 30	                 21	                 21	                 28	                 29	                 23	                 17	                  6	                 36	                 32	                 32	                 42	                 42	                 25	                 44	                 45	                 31	                 19	                  5	                 39	                 43	                 15	                  4	                 20	                  7	                 39	                 10	                 34	                  1	                 21	                 19	                 29	                 27	                 31	                  2	                 27	                  7	                 44	                 43	                  2	                 25	                 32	                 46	                 10	                 33	                 20
