# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# fitness
  0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0
  1	 0.7405521487416457	 0.7405521487416457	  0.334187119523583	 0.2874731423150962	 0.2865371826586929	 0.3627647777784248	 0.2831508601323643	 0.5351343726518722	 0.3328834219489125	0.33208330099198824	 0.6017740561627659	0.28244221659734114	 0.5931427549986418	0.27023704369997575	 0.6303837889050758	 0.3118056438384161	0.31036370596542323	0.26339973511196496	  0.540992313919881	 0.6016315038777995	0.32718538182752643	 0.6807601176188954	 0.6056531809200095	0.23452615193115972	0.32497350541811093	 0.5099927974325348	 0.2873942135746182	  0.547140036974811	0.23921084377817198	 0.5450242714604002	 0.2015225094046387	 0.4312973393566669	0.27364842942859424	0.31692852404879823	 0.6711640602108045	0.34016755050825265	0.35902800970215004	 0.7017438506975009	 0.5294026326623106	 0.5540475725381964	 0.3710795953196876	 0.6089206750055316	 0.4770716752003883	0.25156742946393396	0.26287635343604243	 0.3193662751904172	 0.7799999999999998	  0.312724538225169	 0.3030740843717521	 0.5088934622454346
  2	 0.6174579719308577	 0.6174579719308577	 0.3775575897978889	 0.2835452338002703	 0.6599846277838162	0.16011797312040435	 0.3394549710278558	 0.3017951802308963	 0.3354312341106709	0.30559231085062527	0.31603980457454073	0.20053886234135693	0.24628839907400354	 0.4843433112677129	 0.5601475905666232	 0.4367362509197113	 0.6190253233947045	0.17025290219658745	 0.2978566010447376	 0.1567516090102789	  0.576466285075685	 0.8799999999999999	 0.6071113441584745	 0.2586589592365275	 0.2621816783394053	0.34297132709722694	 0.5501654606180046	0.17544496341403157	 0.2320640386571149	 0.5706901457683782	 0.5951212963135647	0.40942143755957894	0.22844697893469515	0.23426796108245856	 0.6192329295076746	0.18260781884495084	 0.3454708308431268	 0.2939199358492337	0.29694062805225996	0.40173335055517406	 0.6298406835142452	0.27364470656839385	0.22231061234838628	0.18164752762300132	0.29428541810653286	0.20994340083010765	 0.2635195741356207	 0.6214696854275483	0.20250874345754546	0.27461927296775984
  3	 0.4076895032956205	 0.4076895032956205	0.17342668559166022	 0.6009396396342948	  0.613704000792421	 0.6196467535646851	 0.2884558284396525	0.25038504720039223	0.22825977473219664	 0.2471907467361285	 0.6198019730107499	0.17146284133985612	 0.2596670191092464	 0.2171929272664051	 0.2770809750987599	 0.3663464925700518	 0.6010020946796593	0.46887675195842066	0.23540605920986915	0.24440532354697816	 0.2571992854171199	 0.5713849988873987	 0.3223721027596617	 0.7062382030394252	0.18784329843876255	 0.5255351337545672	 0.3694800883969668	 0.2528916722203523	 0.5192089232462871	 0.2943846052612973	 0.4278168283573814	 0.4602459594425511	 0.5959131166059649	  0.568817769170253	0.25362232174419697	 0.1940513723020214	 0.2483511180328464	 0.5115687725344322	   0.50165669952727	 0.3874881541835268	 0.2017330849922094	 0.2656970516868713	 0.5367751183913029	0.17341208571590283	0.23177947424138587	 0.5570384162219016	 0.2028368775904367	 0.5708791508569022	 0.5819679986913451	 0.6551003760997298
  4	 0.3041426718409069	 0.1831919227528163	 0.5248223975118006	0.23643416153924868	 0.5809611366505962	 0.1726741640361907	 0.6413167010753853	0.22918672426301437	 0.4884402184796335	 0.2537464452762272	 0.6596079889271571	0.21274726214165682	 0.2326897076253683	 0.5896232754680221	0.34863971338958377	 0.6222847418833382	 0.6577332633119088	 0.5045531601631594	  0.632010943707565	 0.2913377605541121	 0.5700615671276913	0.26735966112219756	0.25599776611253783	 0.3183300680494683	 0.5953490267823429	0.40135311166475957	 0.6736931417661886	  0.278322452499889	 0.5937306942704316	0.25065719166325434	 0.4378053060800783	  0.767606604020823	0.12854863441036682	0.17275177023252541	0.25138594222829846	0.19575799654441428	0.18080021400713228	0.22122438077088483	0.32048778638934244	 0.6236134642708323	 0.2928615177204011	 0.6838705042566093	0.25147972219390347	0.14097949245873717	  0.342163854704425	 0.4924585360950108	0.19716288547033362	 0.5078412586199389	 0.2438596851751509	 0.3002478748449829
  5	0.21538284792874685	0.21781484536511375	 0.5835274014207137	 0.3551127040731307	0.26399478201898235	 0.5826153339129927	0.16126444495121459	0.24546836770433447	 0.6458177180637796	0.25011914373622274	0.28709929126397005	 0.4741068300506609	 0.6200045522325142	0.21782086382673235	0.22984143972767876	 0.1843514528549053	 0.6162157128714817	 0.6356304957018952	 0.6974583194767392	 0.2181063188658338	 0.2584615194833471	 0.6208838398181801	 0.2693240994167282	 0.2142059201164978	 0.4581989771455966	 0.2686554604723509	 0.2522707972711628	 0.2074001482870872	 0.3142533181446364	0.23276680389909182	 0.4652614288004522	 0.1678086575029397	0.10835496776556992	 0.2297299729724845	  0.660165224988894	0.17959427910733342	0.19979979681611382	 0.2093044367008649	  0.253377586522096	 0.4975269442388894	0.27937500143600535	 0.6499294567293167	0.21475487366683338	0.43107585577450314	0.26277770929042793	 0.6572163053674369	0.15324061889078874	 0.6445927664358199	 0.4151844122231418	 0.3166552853509706
  6	 0.1475635860695455	 0.2612815355317746	 0.5618962438094346	 0.2413218202806812	 0.2473760279689471	0.10799059483236231	0.18676630213733833	 0.6317784965043669	 0.6390084852814288	 0.4894693524073997	0.21027795624958748	 0.5473213214772723	0.38427726279087465	0.24656322132712746	 0.5407664043051384	0.15380371598434114	0.25735386131219246	 0.6710938290013388	0.21972482363201098	0.24948177167109406	0.29286984488297835	 0.5561416114585098	  0.682104788694684	 0.5182143425960943	0.24151642527901676	 0.1939488027370554	0.18857693132070033	 0.6272810734364561	 0.3006855659628679	 0.1936185745071883	0.24752567734117153	 0.5781859381564245	 0.5972532204799683	 0.2377500181893935	 0.5572278718661431	 0.5768633683811631	 0.5129938323403407	 0.5934485689614022	 0.6387411492263156	0.29937568194580394	0.34307093433681374	0.24871063466082144	 0.5812388638526896	0.39943503033253636	0.19911602621324204	 0.2244012496605465	 0.1016442762142234	 0.5643300838874064	0.28404338877923946	 0.5688563207368961
  7	0.48946095385216276	 0.3853703456736235	0.12356283121232657	 0.2027653018578683	 0.5881907209544832	 0.5414742956130938	 0.7612162600534153	 0.5980529071154701	0.24193297884203285	0.20394959734514273	0.14368792536530095	 0.1973546466591137	 0.5534561221127948	 0.4797144386073924	0.20652616972155144	0.45823953074536933	 0.6058993787667749	  0.670770131858281	 0.6618813415851962	0.21995339380011425	 0.5725126228535332	0.13410767970680337	 0.6533144763855884	0.26686303242420695	 0.2355130014062763	 0.3787194241668807	 0.2178589547893981	 0.6442836429225559	0.22848015115621517	0.40706359952149535	 0.3315123085588597	 0.8068630108146584	 0.2726157073159177	 0.5494053026534957	 0.5532593970253642	 0.1507150922431089	 0.1503356732679512	 0.5195427282081829	 0.7158783584127852	 0.6367135537443204	  0.236322193214684	0.18097628450193853	0.17752223762512132	0.09418551242650568	 0.6721022661623343	 0.6326993277028808	0.08373927249432538	 0.2275020897434441	 0.2072798964868549	 0.2104816442242928
  8	 0.4025845541389077	0.12867999964688012	 0.5371965758923074	 0.6829485366944656	 0.6870682048267958	0.18164818043476585	 0.7529999625030642	 0.5477763939928293	0.22303046971584675	0.16112417124461104	0.12749908056654136	 0.5169656615661138	0.20868344176271378	0.41415206814516753	 0.2121398162649726	 0.6062832128496355	0.24033549585212516	0.14232918637430392	 0.6869103262639628	 0.5332343370546443	   0.49938780153284	0.08607291729180166	 0.2255766742547544	0.18889721387186093	0.24321945799093136	0.20459106670936514	 0.2093814388866754	 0.5280146246745534	0.30991855174483496	 0.4664608317922481	 0.2231297780117255	 0.1879403128984893	 0.5755296942921254	 0.6215307609476423	 0.6005653923231506	0.13722329046600606	 0.6086977424837038	0.17911370973734844	 0.5990841094912883	 0.1914901532648506	0.30342380679965647	0.10052470837780414	  0.262949018195649	0.07013934174936033	0.19482215011904164	0.13605259187626595	 0.5847034742074984	0.31815105986847864	 0.5649087180644254	 0.2853345088466944
  9	0.16473366448006932	0.36501586881665365	 0.6066532714344087	0.23337151888341162	 0.6468492633326247	 0.2297520656106378	 0.6938957444273215	0.18432537317238992	0.44486297466901026	  0.512500099774814	0.09077294279854758	 0.2165965929631604	 0.2863121354019229	 0.6177887280208857	 0.6352914777539889	0.14102407952627188	0.28010953561500684	0.16170568014529446	 0.6078822530912523	 0.6818237599735474	 0.5793591434755796	 0.6194353608647059	0.18069553770192617	 0.5393457990298833	0.18962112969667963	0.25714594680491176	0.24823022831004868	 0.5696966431731239	 0.6715403877768605	0.25113656754329233	0.15332276104512568	 0.7119270880845961	 0.6005475364435082	0.22544322745488796	  0.226505369420665	  0.566619152101496	 0.1394357916788291	 0.5278360140774899	 0.6257743450310127	0.31616801610729733	 0.5820879640163135	0.21644797638032387	 0.6538335035385107	 0.4306724029871152	 0.2366695495175861	 0.7736620944289547	 0.6105585606343092	 0.5264540856075822	 0.1888822441908422	0.31896762783371546
