# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# ir
  0	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007
  1	0.019788061933805424	0.019788061933805424	0.019613998248931296	0.019242068776264522	0.06473327577393255	 0.0284956002845369	0.01952590910566035	0.11079446330954426	0.019089324055728624	 0.0657341383077618	0.037341963716057844	0.036102401384192385	0.023467841802433734	0.022772717313731965	0.019666107891940423	0.02242263363833403	0.08217045524393093	0.03265736340938721	0.041743883289977995	0.019909700642344135	0.03559163170132287	0.020153994127853476	0.05351645658199868	0.04083883399156583	0.05673312923978587	0.026652470740145956	0.020228123042169276	0.16018560168280774	0.10230904717134076	0.03065320417329244	0.08179928264432174	0.054494695649235564	0.020911008549671036	 0.0236918786890674	0.034411041683872906	0.054387026809615255	0.21278567985927432	0.02190376631821717	0.02255720936716637	0.04904540517809469	0.04060322408185479	0.11889144128458123	0.046583038444787964	0.05383230210157446	0.07189055141760434	0.04340883033253049	0.020000000000000007	0.020915819619308298	 0.2986426907602278	0.055945108357383116
  2	0.05076866767318775	0.05076866767318775	0.08865387188035405	0.06192318375884331	 0.2200560680900424	0.04949216216837321	0.06047161557153468	0.06206441110558818	0.06963947262387621	0.24349268240154306	0.02383064135058304	 0.0880216863524846	0.058429783790442266	0.11305314921071527	0.053327490554723245	0.01989987729743696	0.04689463590467666	0.09843544450746249	 0.4990020319121155	0.07045927241695499	0.10198725884461726	0.020000000000000007	0.18856086201399935	0.11652929894293938	0.10107082879835871	0.039851212130963355	0.02519497542132611	0.39704535148292985	 0.1285544839023698	0.04744028537989812	0.029313276957880125	0.07391017709279063	0.027570739623374953	0.12230532724214775	0.038020830642053444	0.04530096844808755	0.01979227302097348	0.06440521818824296	0.06316397283605162	0.018333361640852048	0.027560705337808536	0.021105511153634196	0.03195572169636672	0.04350174839998053	0.16158147965456948	0.07614496736057348	0.02675050080114967	0.043235092907118966	0.18000487311762622	 0.1518001528016405
  3	 0.4967894458017916	 0.4967894458017916	0.28748341433540836	0.08779969602664474	0.33926800691397896	 0.1690315209873207	0.06082560355760433	0.05003728091266204	0.08370224938586805	 0.6277268607364868	0.060073730820267256	0.05904900012708213	0.07509033147469099	0.05505648084607374	0.037672642189165724	0.04721418585715238	0.11124262372562972	0.054644252651457545	 0.3883720913672923	0.06378625124993888	0.02438839982565869	0.05816383032989545	0.07292274943568264	0.14855702132512158	0.05166529138743141	0.035123498165867545	0.015557376573035225	  0.319240593326464	0.30166725759824176	 0.1083942435482647	0.042279068220740595	0.02865271705644691	0.054545431736098424	 0.2598289071284951	0.032677019669962594	 0.1389028937998815	0.026107110443262967	0.07817796248487356	0.020074221856346112	0.022975357420800896	0.040431839169563125	0.01855315153107815	0.058414518947606214	0.13023263764282433	 0.1283355363825319	0.04760423952841317	0.019889665559872906	0.10369847869768735	0.12969916825411007	0.037544278868339026
  4	 0.5069827779466142	 0.6778698421243858	0.11608236376921469	0.08923870928298802	0.18693320862779975	0.14620597258782544	0.04554573874348952	0.15711247888804503	0.017599747595975056	 0.1806535275733743	0.022675353295932704	0.06781665495979962	0.03932185374226161	0.017727943300584463	 0.1788379932462724	0.20136252527640708	0.08055689977182703	 0.0568054904828474	   0.19262972915562	 0.0267261885923697	0.05380376445390988	0.05175552273873148	0.08461430607976307	0.17766022890116495	0.02260113101148782	0.08472135092518852	0.053680516283636785	0.058879446682381945	0.06719752194964322	0.34487748641147603	0.08433678797868956	0.01888159889578627	0.021051080203932822	 0.2162270156184661	0.04082808115684483	0.14666206145755945	0.09091895238821998	0.09635099220666604	0.02058061725979311	0.016715490623910992	0.19256857554309698	0.05666336505799489	 0.1549334007388366	0.09486188294173413	0.17088145210317043	0.31972075854967125	0.033755695535471184	0.061492146110334885	0.06691777437620745	0.05009055796941075
  5	 1.5940331316643597	 1.5315572142771285	0.08246580700721022	0.15793663007881803	0.20967864879079173	0.06501438335263526	0.10808411787882635	0.23937875231954409	0.02373020741928262	 0.4016080751548445	0.01906570249161903	0.05985788327791273	0.11210712840976472	0.09929900420605334	0.04273760904129535	0.18300328894824403	0.09911224123407827	0.07567291917500665	0.07560737827107541	0.027022233453400542	0.023596916220464333	0.07992042956286126	0.03929483395590339	0.12679458574333075	0.026117101698167385	0.09129647959022989	0.07631385095272929	0.07468860891023596	0.051439603169170914	0.05297420272759365	0.09347598643401811	0.020658905261681383	0.22879039760950476	 0.4132359534179222	0.05736020322286097	0.15442400876859644	0.13859709839063497	0.032912099019469634	0.08292809826201651	0.018578655991528838	0.12211795423034187	0.04158807579786287	 0.2647199391604832	0.12502993840720644	0.18580328185615308	 0.2979359305418475	0.09575689801790568	 0.0385466341557244	 0.1585706826960168	0.08479000126386074
  6	  0.945360261722958	 0.6786849907651493	0.18277792241802054	0.06054873850120921	 0.1110487303062764	 0.1476399424803548	0.11035958414369416	0.21467008589832168	0.13024975643202338	 0.3190494347039927	0.033535406074119506	0.19563368004325635	0.09269827683550912	 0.0967967761992051	0.17983699923816143	0.16299392908975124	0.12446066723653956	0.06846930809380285	0.12346489078516991	0.08261676821471874	 0.1402798668442911	0.022914321086294973	 0.0396713300247812	0.11558648690764287	0.17390958363331235	0.18223342126653852	0.03888500024179749	0.11145417800407566	  0.107353936484788	0.09101932103658977	0.13990502623426568	 0.1177268109200314	0.37630621603559555	 0.1757995532388706	 0.1092489331301501	0.28910718650125655	 0.2539644533384116	0.08652711323596605	0.06364296871290887	0.07247591887365573	0.06415425101297567	0.04127041216844974	0.10209332834099913	0.06408652484604782	 0.1777307229888619	0.24663457888571627	0.11623277209011956	 0.1334277402651713	0.12166595852253277	0.13590968854164978
  7	 0.4017884382183873	0.35795125791501464	 0.2555188694658705	0.09133402818403498	0.042498509094143495	0.12329509136070445	0.09832188569500568	 0.1395332084990156	0.15567621853691965	0.17321824900174485	0.21394658127938185	 0.1630071899143945	0.044704161268472806	0.15229350181290013	0.11520221329702796	 0.3652783892471323	 0.1272162839404402	0.02526194603895025	0.14315651647718836	0.08004346620505032	0.09629831923938471	0.029919434581210446	0.05499671586087059	0.15069987005572824	0.13757532146708354	 0.2452313800202996	0.030661473100291037	0.08351263180631814	0.08543182983956496	0.05597982562597324	0.15262282655855755	0.13465305972317373	0.19559025042604003	0.31959491960570985	 0.0569397545214701	0.12182984088364042	0.27666641417593396	 0.0678637511239968	 0.1639264264024731	0.038295382677539944	0.23470329378626503	 0.1930502046095098	0.12978037511146784	0.05931670166141486	0.11882058786251097	 0.3599152037463888	0.15772982511462608	0.13195895482157716	0.16295845180595273	 0.7143431957705123
  8	0.11009097591727372	0.08869079044129355	 0.2148388378454219	0.08776118634884314	0.05620770941286699	0.07727631803504285	0.10205242684927425	0.07286841470124356	0.08996760188668604	 0.1688598104697929	  0.099840069286853	0.10017464028970999	 0.1796957719250242	0.044901466587806166	0.023777096250129786	0.07165839052822558	0.09743387233568805	0.018675678053776956	0.10536818578953343	0.12552262400123176	0.22668041353547688	0.06114435034755166	  0.249026534373983	0.18062654446986307	0.25658417563183145	0.045659517785042424	0.030024940098205624	0.06330194805868858	0.17975698007257063	0.055926709024431816	0.14009984164349062	 0.2860554469895786	0.13417018483855217	 0.4424364548163344	0.050812859756321174	0.12851367397273342	0.054576296157133955	0.050657755099064256	0.14537835650464198	  0.261250703418442	 0.2577666695012617	 0.9655522501659476	0.17956974707178927	0.03575289310520192	 0.2867076451657949	 0.2093468249269739	 0.2671608816782131	0.05220869677852891	0.028864191345122626	0.19955559748842308
  9	 0.8642493758987522	0.05422950560904169	  0.351195729870254	 0.0803191549890143	0.30583026196109786	0.025673436294829842	0.08935290969696817	  0.134313578913667	0.20884077102126788	 0.2768911451273494	0.04355451793155374	0.18998182449925113	0.12783614726876957	0.07727945557477073	0.08266737890057894	0.28021024191168176	0.26470559404638644	0.02335707525189078	0.15382170343480026	0.12285620085375994	0.09618095290009318	0.02681383415260894	0.05933152916166926	0.11486980077551706	0.04553994800491231	  0.115182987505432	0.04335551820708566	0.04885683598470074	 0.3255003824245317	0.08355913188604802	 0.3270443494304133	0.25916979180000727	0.11906294342977781	0.12348807800455092	0.06777903428332321	0.10041884652612004	0.04252311161882897	0.08355342757922596	0.07660520926635418	0.05884300263848913	0.13929584676436993	 1.1821875451910333	0.18186918921385797	0.06754997673678932	0.19511135892454445	0.11891510451584658	 0.1341595916805516	0.02609887728566619	0.06136777072898614	0.36890153397851855
