# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# leverage
  0	  0.119843489010778	  0.119843489010778	0.12189290695415225	0.12302631189746041	0.11750417243702704	0.11968176814753216	0.12182295993669985	0.11446857429636303	0.12157443212211672	0.11749062613365739	 0.1209081846835545	0.12083371064644664	0.11743919639554987	0.12005388013999008	0.12170334470467697	0.12166935991908959	0.11897566597262195	0.11816107614928124	0.12056532355827015	0.12041046973283588	0.11788807364594246	0.12225004517479322	0.11486987032184168	0.11847940806234863	0.11834392241679233	0.12128434075318814	0.12190420493593784	0.11353522486282294	0.11426867458602291	0.11918190429325451	0.11689847472622138	0.11924186983162373	0.11820990845133085	0.12026178365378092	0.12016139653052652	0.11952094874319603	0.11598403889370919	0.11807583943631686	0.11802373197877503	0.11694304791771273	0.11908234574484647	0.11328237862038422	0.11810884811449517	0.11906199686934517	0.11004683648857629	0.11998012371311996	0.12312207027290606	 0.1228726217484232	0.11087914686534134	0.11594211289500377
  1	0.11645060454643875	0.11645060454643875	0.11559493944643354	 0.1075050210086423	0.10525074709722712	0.11454974432526756	0.11628532431602907	0.10849181060382529	0.11076926234543094	0.10895494491660836	0.11585819564935397	0.11861576678009257	0.11423787008742649	0.11162762682902963	0.11603581814511178	0.11974747092332283	0.11107962389273679	0.11177961613302893	 0.1118496974018904	0.11460921833500896	0.11005626260008311	0.12058268134639509	0.11144552674983847	0.10734953323516684	0.10391351889957502	 0.1155189184706296	0.11259838326214439	0.11336928001396972	0.10846292784112435	 0.1150656222949842	0.11738050956410977	0.10399250730269881	 0.0998996286421655	0.11265326949794822	0.11192684045600591	 0.1195364586225349	 0.1160081013979437	0.11337443906149845	0.11758396399241863	0.11465264645379106	0.12152002222745978	0.12048150699961545	0.11507744701840382	 0.1069268697096739	0.11339272566510182	0.11170069569796334	0.11322156494736696	0.11171058006280861	 0.1044684686520806	  0.113220508800513
  2	 0.1052059977363094	 0.1052059977363094	0.09932552120098817	 0.1044248784818018	0.10596562882025026	0.09825775717829616	0.11042581868538254	0.11260353104390317	0.11034090540948839	0.10767806190842436	0.10431994849046852	0.11134304147785948	0.10093063936139757	0.10514780549822433	0.11577972805352234	0.11024329080460836	0.10602197237062669	0.11526712605386201	0.10493068086268964	0.11275119770087269	0.10910612761327462	0.11197920859270838	0.10698585079714577	0.10063601465877525	0.11183693975442363	0.11574586858013174	0.10941175002853604	0.10270584646470385	 0.1015152532471086	0.11017444007082862	0.11115381008413948	0.11858767385380106	0.09838918293051754	0.10038739038218754	   0.11073464662879	0.11118772337687244	0.12062814417159981	0.11514327177890263	0.11670384099843713	0.11887277878912295	 0.1183826066634179	0.11143740598685678	0.11092399867342011	0.10499769259915599	  0.111395584926469	0.11723053841279368	0.11678832430376264	0.10705338178347222	0.09334709840872796	0.11206758594343581
  3	0.10502295342774422	0.10502295342774422	0.10608502315497949	 0.0947781542683084	 0.1026794215063613	 0.0945067128470063	 0.1070197743456462	0.10095731750996162	0.10489099150663904	0.10231038507544478	0.10682950173649167	 0.1033556387188159	0.10383596970778315	0.10308953774018235	0.10504193374283967	 0.1051229476059055	0.10671848588208821	0.10528931189377028	0.10244538844425545	0.10872251253965617	0.10203043512816518	  0.110102331756152	0.09529333965387833	0.09985204096397612	0.11162585871540374	  0.104512823409881	0.11366152795454756	0.10630743412873304	0.10609898530939056	0.10428501916269839	 0.1164123543703131	0.12145212829108423	0.09637869370035673	0.10341287437114113	0.10995259397368065	0.10632840776477549	0.11408433001810392	 0.1117054146865299	0.11300547998426361	 0.1180604803755289	0.10563950028520612	0.10361209642821619	0.09919485286062386	  0.105476101248675	 0.1099224645245523	0.11269869474325185	0.11300003537358057	0.10088025448548206	0.09277591626821062	0.11135533600386055
  4	0.10368446832482742	0.10573572593301447	0.11020195558340376	0.10851338261999743	 0.1043899995774291	0.08978485298245657	0.09836990949567906	0.10127955146552628	0.10667976450916664	0.10050041243085697	0.10290878146696317	0.10419107138762888	0.09077265469687505	0.09687628164490013	0.08987716210324681	0.10896563424609763	0.10917473773503722	0.10659059169454131	 0.1106429329927737	0.10420874967700605	0.10296927489639204	0.10905460540914497	 0.0896591839737095	0.09928373558991936	 0.1047381213134774	0.10539539365498049	0.10730552533941445	0.10428487508292142	0.11060114825667725	0.10855920301266046	0.11472027714819666	0.11512109550240951	 0.0976351439626778	0.10339225753377694	0.10170470410351379	0.10130787229322649	0.10962545666540739	0.11547359440197673	0.10632605520292715	0.11422187423256115	0.11318370827512933	0.10951158775738627	0.09355837562936604	 0.0968923091992597	0.10412307092218027	0.11036060936313437	0.11053874168612199	0.10054417239132113	0.08596468635860088	0.10227673311129135
  5	0.10432917817763764	0.10641713434413855	0.10914015858372456	 0.1126091818418777	0.10398413514868357	0.09616419888421285	 0.0954122283298514	0.10282256031097722	0.10261916150668596	0.09166948133073456	0.10282279904704918	0.10591311321941747	0.09722770508406896	0.09111539170287244	 0.0893612210729116	0.10609947611066174	0.11108733353313704	0.10215804218439507	0.10668081533001308	0.09444220539701453	 0.0960699066079907	 0.1093986812521615	0.09014347602442355	 0.0990239788670688	 0.0998723111525607	0.10145511530137485	 0.0992378074818388	0.10079667632451107	0.10368963478168773	0.10556988654993343	 0.1082755461409664	0.10844561233054456	0.09244726280219485	0.10364889610214091	 0.0967025561360643	0.10276609824105831	0.09971460604149071	0.10468200207118535	0.11127589144183374	0.10644244787313156	0.11351420532056243	0.10816947564938184	0.08829760616597584	 0.0894874797916862	0.10347488365772824	0.11770279066626367	0.11147301793594525	0.10319668282853868	0.09186057504359485	0.10339618396441017
  6	0.10396979696756019	0.10815672318759083	0.11070177719669559	0.11129727230450027	0.10576301427085888	   0.09259511927778	 0.0871946991508703	0.10888862327544635	0.10039885418906509	0.09407517757695681	 0.0910152712973113	0.10316899756858573	0.10683288894203422	0.08366883521598684	0.08416805439770066	0.08710498064217648	0.10961870857271493	0.11219958623283689	 0.1023555206888035	0.10345522620132964	0.09797263920381961	0.10448205085625588	0.08343526093527606	0.10024545943874695	0.09261317854721597	0.09790258902693597	0.09973578335997363	0.10153828650677317	0.10380900386947385	0.09919153570152339	0.11519645137422678	0.11463271888967787	0.09246225390325527	0.09484665347442861	0.10355487517649758	0.11163779624267478	0.10210646701523865	0.11148307559406798	0.11016355115490903	0.10178358324391908	 0.0971050408312538	0.10167085441755874	0.07895648865345778	0.08903390665847297	0.10372683801107235	0.11510133688466631	0.11130812816908615	0.10533041409241495	0.08797526575596067	 0.1019137268802374
  7	0.10658888121939931	0.11043409810144376	0.10737380027179709	0.11122326668731822	0.10337786010533229	0.09033389037297285	0.08557344166980906	0.10799282315541263	0.09508557817238468	0.09731356951036808	0.08209135214645723	0.10609161557886113	0.10481890174713046	0.08084661437549169	 0.0868392886642547	0.08518804852348627	0.11641690750305905	0.11203455916605704	0.10212800772790144	0.09946073996535314	0.09691405286736725	0.10288577438096722	 0.0855263778167174	0.09746987915374458	0.09569702959992119	0.10008786188627379	0.09416350112216372	0.10271880372684103	0.09730133288457753	0.10401062869448983	0.10815412086439646	 0.1143603923925881	0.09807823736092589	0.09811638879440593	0.10447858539791831	0.10301353187953408	 0.1041952047314674	0.10869521979457789	0.11059950481001839	 0.0971143569733537	0.10027605248194352	0.10098893622021503	0.08519659335087862	0.09186218990484943	0.09397828877934719	0.11340133816618232	0.10691430539941064	0.10592122916076198	0.09696217630872259	0.11340797155098685
  8	0.09646643885068268	0.10901597072819108	0.10737600089259824	0.10961997730774221	0.09401318724761666	0.09853719911182843	 0.0835179499851841	 0.1040522080092991	0.09900904319155092	0.09420610505022735	0.07991711784123068	 0.1061002327567735	0.10951998860600941	0.08892914397400947	0.09990154800660718	0.09335729518564523	0.10971873178129835	  0.109783445754894	0.09560111846681023	0.10605044167748126	0.09699753895142163	0.10144742786865393	0.08845508210310021	0.10119586278005377	0.09822733219789562	 0.0986649850137214	0.09095400121320604	0.09839980292041874	 0.0917570799989011	0.09891799963093328	0.10438791821241108	0.11512029227034455	0.08800887142228177	 0.1014071830196253	0.10226028724285763	0.10569724538049162	0.10971145438575607	0.10904761751235614	0.11465539820646889	0.09578122335530137	0.09697874468241836	 0.1020457953450429	0.08013082715770793	0.08914359914380345	0.09446706634119505	0.11175572289349893	 0.1048336249159036	0.10998439707800692	0.09114939288707234	0.10523385197997279
  9	0.09519654662711426	0.10756197198134383	0.10905595378172774	0.10655099915399999	0.09586179695035799	0.09850061935294105	  0.079894641135808	0.10419468493154625	0.10000782846221418	0.08826192176368267	0.08791842042821647	0.10436075860913131	 0.0990643307073063	0.08836524268776039	0.10395169646257804	0.10348649559710367	0.10440345777879395	0.10452920322281317	0.09736610488064106	0.10306299488337656	0.09835369086406699	0.10170202914540445	 0.0917316200645518	 0.0921603973106068	0.09968917347058934	 0.0932921135416858	0.09618832976351939	 0.0995977999129694	0.09513138320920599	0.09277811952362408	0.10449160564799455	0.10981309316472485	0.08620986197391377	0.09996226866277383	0.09580833957766209	0.10472321848378442	0.11319677648731964	0.10713146555770249	0.11001963462821945	0.09591599358938233	0.09264674712682502	0.10207306082094462	0.08395173019607353	0.09056279585139336	 0.0949518079369377	0.10824868099186367	0.10409257854093593	0.10201380349705069	 0.0914711763256007	 0.1026944569168908
