# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# liquidity
  0	  1995.272093182967	  1995.272093182967	 1681.4741241449842	 1597.2694537631228	 1370.0972350600919	  1774.682644299529	  1616.742405353698	 1657.0529705666581	 1545.9659077257836	 1501.3012454505374	 1884.3187203100285	 1664.7961298303524	  1573.513975520354	 1486.9717817862866	  1872.960720686169	 1581.1026795135601	 1803.9895763423574	 1536.1717800674132	 1953.9786624713183	 1310.2947578658677	 1580.5632806692868	 1410.6286660906394	  1776.112421305858	 1533.3535206101903	  1501.695586937001	 1434.3792055258368	 1561.1842995157701	  1443.110776681373	   1355.35900176216	   1320.13695281714	 1227.6920796009517	  1575.370407141569	 1367.5284959597311	  1362.133176812947	 1523.1385442503881	 1903.3763431263308	 1374.6791028601715	 1619.3683840629324	 1583.4072294163796	 1442.1620370858238	  1932.649896574048	 1607.1959760411644	 1542.4513695221517	 1653.1993070648066	  1251.845623517284	  1642.140347759996	  1707.370930987012	 1796.6816899158657	 1621.3850731150196	  1654.940182231851
  1	 2120.7196982226933	 2120.7196982226933	 1612.3959248260148	 1658.6382218996164	 1932.4491487378693	 1766.9848903424786	 1861.6750229415325	 1871.8674005459238	 1508.7703027667194	 1763.2963528328203	  1869.352225720445	  1995.843190924758	 2036.6919582438356	  1801.679960579212	 1600.3795755508445	 1795.4586637178456	 1952.8012967619911	  1915.609054150618	 2060.5593070986743	 1310.4637562496578	  1773.834060940099	 1861.4290478166927	 1978.9751950725101	 1843.1890038355914	 1713.5429125916955	 1725.5116085032114	  1709.650272301394	 1696.0338709771356	 1651.2958747574262	 1701.6187438459965	 1402.0915614827923	 1687.4507521315768	 1671.9534398368542	 1452.7839258493239	 1767.2193364456016	 1943.8804001612912	 1675.4940735261916	 1710.3101109776137	 1797.0568726528875	  1497.203051868314	 2357.8024148693235	 2126.8078945726293	 1764.2303049765803	 1620.9950474068078	  1461.764491720409	  2233.303436956534	 2057.9371671002273	 1717.3354159965095	 1649.9748200654185	 1964.6026560409866
  2	 1994.2079134301894	 1994.2079134301894	 1361.9810706681342	  2276.257871400841	 1926.6216962899841	 1790.1936804956742	  2096.353679533309	  1713.113197760831	 1771.6692162330453	     2050.405342956	 1758.5542599922085	  2359.829550746824	 2020.9081749950665	   2118.33209751718	 1912.2428143519865	 1984.6185328131646	 1932.9967843348547	 2283.3329183496994	 2046.6966944181852	  1665.584815870027	 2211.1093810852635	 2190.5635771063044	  2404.371896353539	  2074.481603291273	  2012.456541506553	 1959.1451543019562	 1719.4023592668652	 1828.7126636111159	 1830.7825721181603	 1840.6581511636957	 1642.2039265084104	 1921.6860606930732	 2005.9472835035974	  1787.396438590064	 1794.0899710503973	 2077.8237712480427	 2036.2867763914176	 2009.0349327969486	 1989.3148001918867	 1714.7127024758584	  2112.979486157555	 2473.3658443161526	 2071.8135386865642	  1961.678968674791	 1622.6459105960466	 2153.5802687564637	  2211.825864688437	 1688.7263543773313	 1729.1248888791895	  2199.545203476061
  3	  2306.984170228083	  2306.984170228083	 1858.4433051631763	  2191.221930476094	 1870.0094653408444	 2045.3074703155935	  2148.183432798114	 1681.7965612353169	 1869.8939439443593	  2289.013930630429	 2063.6808018682195	  2488.116710392203	 1957.3935321604488	 2621.3740280447555	 1957.4040494388098	 2036.9628341946168	  2355.588781878108	 2194.7657174477113	  2068.311811117884	  1787.481927529926	 1846.7617393041805	  2306.224715718403	 2310.8850321543755	 2210.4030850565905	  2075.876659752742	 1791.0873522529446	  1810.925003662565	   2134.85653365203	 2075.9167469845656	 1886.4364094617708	 1778.2792717174293	 1897.4289686401466	 2291.8127718188584	  2092.929212155361	 1754.5625666178457	  2397.530849792912	 2114.3545001137977	 1916.8243657817138	 2057.5164099114704	 1874.7924855280285	 1823.0252915870833	 2587.8522113644813	 2394.7581265903814	  2381.102198700649	  2009.040773165257	 2195.1817187688284	 2331.3368518199595	  1768.605364694447	 1988.0782646816149	 2293.3361795039027
  4	  2673.826830553932	  2686.134376203055	 1919.7731233400164	 1786.1262071757117	   1679.75106978332	  2134.235092316922	 2316.3167149442506	 2016.1466936495444	 2288.1390887769717	 2627.5648869083807	 2376.4082044409683	 2927.0433631139626	 1978.0514895877993	 2279.7904476945278	 2382.4647695287554	 2085.0080498805346	  2084.688292285188	  2757.694890610659	 2568.7269569428145	 1868.0156872579967	  2061.731375351296	  2226.941504336198	 2443.7521091161443	  2244.495506191364	 2170.1587036881288	 2117.6518369104947	   2173.03743923657	  2385.966588631694	 1986.7678819930834	  2140.931897872636	 1695.4512828182196	  2010.221609505988	 2542.2776736760843	 2218.9391678260727	 1959.7037573265288	  3025.724088918661	  2289.727420004855	 2172.2612096530806	   2027.30399924419	  1715.766460593607	  2095.330316387758	   2186.40771771397	 2470.5006621247244	 2408.5353698493773	 2404.9790290562155	   2199.08123747599	  2610.280809055593	  2058.455014078268	 2076.4759406330645	  2336.614678094679
  5	  2293.941178812174	  2306.151495114726	 2145.9341011197157	 2141.3230816994665	  1740.458795600083	  2009.960574985866	 2162.3983866203457	 1789.4388038490752	  2248.435337427873	   2968.60336163527	 2543.3086713746193	  2847.078837393285	 2143.0577869301533	  2318.619429660814	 2236.1711473931596	 2075.3303597157887	 1991.7823019685907	  3034.977901978655	 2484.0745574627654	   2251.02736065171	 2328.0384337809405	 2275.6967033555693	  2633.839642820666	  1989.074917002148	 1827.0735097798852	  2207.899958970376	 2365.1040575628244	 2556.2545309783172	  1979.810339732601	 2067.6690029915303	 1940.0213653107949	 1940.6397343592212	 2325.1917272376277	 2171.7562231568286	  2329.905340311772	 3025.1432821276576	 2625.6534783136212	 1951.7217558504105	 2094.3381114736535	 1921.3074652571436	 1944.3755571434913	 2318.5240341220015	 2397.7433936865195	  2901.530214687063	 2379.1934210916706	 2087.2694529567307	 2648.2196306911414	 2092.5482565054535	 2573.9380549697717	 2291.9902656263134
  6	 2568.7765941812186	 2555.9021829050316	  2481.551381319366	 2332.4456414218566	  1854.298459339147	 2281.0727967857656	  2892.137413592432	 2130.1487262582687	 2680.0955474161988	  2881.147973428787	  2501.285701037927	 3023.4832428833643	 2261.8502584270586	  2206.039967277723	  2381.994450878774	  2043.385211598361	 1701.3519719742312	 2875.1036991999154	  2436.321353706684	 2122.1418916814255	 2330.0913020221396	 2249.7794222556427	 2556.8970098653454	 1808.4897936080747	 1810.8262315632148	 2127.9021641508857	 2109.0631682807693	  2650.557415253821	 2303.1688178597187	 2180.1130807546424	 1794.5039996666505	 2155.7902501733547	   2665.35730432386	 1934.7905579987187	  2401.403589409684	   3308.09284200132	   3035.27330071019	  2182.006984964499	 1912.1725114630372	 2066.5033158715555	 2163.2869584262494	 2126.6751078047937	 2222.6238028239945	  3030.719210085521	 1838.1302353029162	 2263.2631463342473	 2870.4746814001023	 2107.5312119139335	  2541.081387487997	 2532.1434670448607
  7	 2751.7251018803267	 2247.0322059550203	  2323.213826883013	 2118.5749046105825	 2181.3762492921355	 2189.4088514741898	 3321.9095999596225	 2239.0589690231022	 2405.5083411118544	 2601.0291053432784	 3018.0461967703677	   3233.56512026758	  2151.157791924131	 2618.8903411162996	  2475.608429904075	 2060.8902494029244	 2065.2042425506643	  3131.186383296345	 2684.7698578197164	  2085.707875632235	 1839.0692325650139	  2135.690678306874	  2479.140911606515	  1945.447724938594	 1889.0561254853715	 2395.7661598746727	  2659.038800640034	 2673.6947179909307	  2651.573972172434	 2372.8140529605434	 2005.0200969420114	  2286.112486993108	  2436.833765326114	 2139.0447579762645	 2520.0530337105897	  3243.921969542465	 2921.3978521127915	 2518.8732788376956	 1991.3727324700103	 1966.1828232114995	 2009.8821903253452	  2377.519671890072	 1877.4909615225138	 3316.6228941316426	 1962.5505337480408	  2243.396937541098	  2881.709306364419	  2259.515793095989	  2900.065387946136	  2559.095178495914
  8	  2900.088612780649	 2344.3842284496345	 2629.5758826227793	 2009.7538911725735	 2129.0561628729447	  2147.261189572134	  3108.631929482516	   2357.51699616403	 2564.2524467220583	 2889.7124174939845	  3197.246413616163	 2360.9589644213115	  2371.684657952254	 2764.9007941599157	 2376.2505193890997	 2228.8908585955055	   2278.86715692614	 3350.6445483293355	 2753.6960279762948	  2289.564386670909	  2153.771865083937	 2477.9092057000034	 2199.0516820984976	 2054.7327533669445	 2096.4962146555918	 2530.2897530620903	  2645.483661168775	 2676.8924512255576	  2688.129446449169	 2355.3521640879694	  2292.441119603067	 2502.8026106322986	  2306.464143766345	 2097.5152130902393	 2624.2050121222846	 3205.3471353439636	   3281.06790493054	 2206.2370786852816	  1831.076855191453	  1736.657375020705	 2214.6539146371565	  2551.114956328477	 2273.0365567551667	  2978.708777600558	  2311.352194981149	 2670.6297186121587	 3153.3898903306676	 2457.1223004343888	 2674.2601234565795	  2327.624970972113
  9	 2901.1856379829837	  2382.021246592846	  2465.896842478215	 2021.8461003258467	  2593.292975527981	  2131.756376849079	 3137.7008860681185	 2428.0678460099393	  2405.555309559299	 2597.1672417670425	  3684.629789396897	 2561.0282549994595	 2514.4720450129466	 2942.3984894880896	 2932.8042661464906	  2481.604789107729	 2359.0310592074284	    2811.1063872691	  2888.541543828127	 2582.0630072700073	 2453.5622269536575	 2421.8322343547065	 2102.6179550822776	 2330.0385657030233	 2232.4463371621287	 2525.0548651219983	   2717.91739237536	 2761.6364054592136	   2981.40576002062	 2533.2258768126912	  2279.765118698192	 2705.7761604513144	 2084.1787436164127	 2132.6719334157224	  2369.161729263218	  3559.477493240452	  3257.903146220079	 2602.6600875268514	  2054.056298908522	 2160.3289678363108	 2104.2120919184804	  2867.121312130269	  2297.177939952961	  3185.398590051115	 2546.4879550793503	 2675.4735037550163	  3619.803452932328	  2200.331211793191	 2351.0944432214983	  2394.291445163276
