# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# rationing
  0	  8.608527588382117	  8.608527588382117	  20.55572329429934	 1.1052303119380866	 6.7690640268984055	  5.804002743093278	  17.55257838213879	  34.40381911104744	 19.116527734126166	 22.316629661715595	 31.731945681467067	   4.55203943717234	  49.17475995190142	 15.494113140529834	  23.11058399780471	 36.927449393022826	 10.023758538496168	  30.18073216091223	  43.53002704010403	  2.852436287058495	 23.903925526544768	 16.266743651043456	  5.875419416334296	 18.467293628216325	  11.75160861905809	  40.31470071662933	 16.569446910091514	  57.71184227807389	 21.651166264622347	 19.683565802643628	 23.478578344830353	  9.624538869497812	  43.60010980680903	  26.02723616279384	 26.373476774559762	   7.85601806086234	 31.057950718993894	  45.10616448448992	 32.317883390028726	 27.752832773063943	  5.351069871595087	  32.16132998804396	                0.0	 14.159162655217813	  29.82897961844202	                0.0	  27.74004085271288	 22.507432644642392	  38.09583629167142	   38.6168606589394
  1	  48.44928040223721	  48.44928040223721	  59.49653168390182	  42.75418923792518	  78.57003013078814	   95.9970801853206	 123.21148101563597	  57.33104783658554	 0.2590312935410708	  82.08500473734522	 23.988749402144506	  39.58791517152672	   72.3488681649863	  133.2724376507078	  14.23924228324546	  84.91450513377966	 15.901893611189777	  81.80702801369674	  8.701603706196863	   98.4971025827363	  68.38071198032378	   80.7298405412363	  33.03057788168954	  49.90493384560139	  43.62091322424659	   120.765535880761	  60.24492313207191	 113.03001944711019	   9.82466065743587	  43.22417136868505	 102.11767629439544	  32.65433379538875	 12.559359402595913	  52.15532475942665	  48.20780383907265	  32.66348841911106	  73.39913969061182	  45.46725824758835	  39.20092519282757	  85.98179834153777	 112.50298303080821	 20.595145557273057	 143.60815954054647	  42.67914675897039	  49.62491418711623	 35.641404028281286	 30.202496588635015	 10.436882142247427	  14.03199813052035	 34.190158583291094
  2	  46.70029529188919	  46.70029529188919	  55.49948086597453	   31.9404828936583	 1.9275400297326826	  66.71780430784902	 29.648339434060034	   89.1595673460621	 121.10255786309254	  49.72128935820817	  45.88701742783867	  62.86351875002535	 21.385614292261337	 31.154913846284188	  87.53560591098619	 53.478805207812144	 41.115299421406505	  56.07387240996205	  28.53317645846056	  94.16088605086826	  70.16086318248566	 44.012823830551596	 7.1953338121757895	 18.449409302440657	 13.169157272389526	  46.92120363136519	  81.10531341949012	 34.922461880891916	  50.94984275947694	  45.87893134565637	 28.367971808900634	  135.9602498162433	  66.07694754413389	 105.22632141451099	  52.07240120496206	  31.22469163326363	  64.54137517663747	  39.47815012202467	  43.43370973451859	 52.351759070698265	 0.8430008946725138	  32.72612021002402	  109.1800721677307	 16.765908382931073	  96.49774029990994	  82.74255464833074	 28.852876881935643	 51.519477172750086	 46.987205044966004	 27.218611818241598
  3	  61.14624814476106	  61.14624814476106	  45.91899613712492	 14.086364853373016	  95.87975501565637	 13.621599004800217	 34.034349637241405	   64.9455732894141	  32.29714588743606	 28.726552232983167	    17.621219895783	                0.0	 27.038658363104418	                0.0	  32.59818897737239	 33.357570928714836	 111.96491772924598	  46.36817498606682	 20.016846364491457	  64.18895588124089	  24.69313151860483	 19.988855380083507	  33.32826590040498	   4.38398348070659	  66.16534466698569	  64.50090574137502	  78.45959815077545	  71.33752851819254	 34.501913786155825	   64.9033401303066	 103.31104925189494	  42.11692074955444	  44.41563366311509	  60.96534264816036	  33.42202922089609	  36.75390442353793	  26.76587241304277	  38.47027904856604	 18.796720792790136	  104.0611696567054	  40.79926581775709	 38.074121101865515	  30.93315553162327	  30.22280546883971	 146.40096582647564	  19.73709292581087	  40.11838460706072	  68.48157007579002	  51.77199890872513	 28.951973179101202
  4	 0.9275113791329517	 13.235057028255369	   77.6671454030728	  81.17207607677034	  55.37707285992782	 26.027667836221326	  46.02565580218766	  65.80435922340814	  41.88045177583764	  85.93098999869335	 15.131356950426152	 13.217024681758062	  38.23204372866502	 20.624636264223867	  29.11568465778751	 11.670922770135505	  38.83952184219699	   62.1448675802165	  67.27691385077019	  77.55095421583049	   66.1655666599631	 54.200184392683525	 48.752189823855915	  53.64928729526386	  33.77103365493909	   67.1619021747932	  39.88389406100811	  23.69442343825115	 19.282051748424127	   70.1550252684132	  81.65977835201711	   18.5494456651588	  77.60210275027303	  76.73488082324089	  54.10959057579298	  39.95844553217293	   80.1058626542487	  66.68271018967484	  8.796717944130378	  35.14052966361105	  49.88360051546603	  59.06919318694801	  85.78873949853453	 33.840871241977524	 29.669587703993486	  57.67841777750108	 114.38408935747155	  64.58139601905054	  75.34470603154885	  36.38367195318142
  5	 41.372280666130166	  41.27505131955962	  60.89317833913063	  56.43809220208405	   92.1915011297539	 13.403764129626012	 17.245866444818404	 39.469465020026306	  61.60476614764048	  30.23821783300891	 39.372403281335465	  85.54144744295165	  98.50310103870417	 106.41916801129301	 27.276800725609576	  35.51538091674648	  56.22305671283101	 15.214842295017348	 14.697927900295028	 3.5395342490559756	  6.998674676593396	 22.537694218194574	  4.596475667468823	 24.411572856290093	  44.83760353658276	  72.24246939806187	 59.010178042147565	  32.01671331347819	   63.7225089486563	 40.659659115657504	  41.65262020069633	  38.63012962239283	  14.48170363608844	  47.84823246406512	  78.83051587251735	 15.344556985286218	  62.14046394185371	                0.0	  39.04288768546965	 23.180690541591357	 31.414975879847958	  46.24630308787745	  30.07602110058744	 100.27828275785956	  86.09729516375991	 22.592096497712888	 12.281772696325262	 39.345037553539115	  42.98390009468132	 53.751317948900436
  6	   69.1949368622407	 31.932736305420775	  84.30252970419247	  70.86042602358575	  71.85843602080561	 103.33785696587063	  46.90069722823681	 116.05293115970743	  49.47145375645812	  70.19851837834072	  70.17271651263115	  4.204025441506857	  97.07018286366304	 44.127395967036946	  35.56621947229718	  33.69358176648555	 51.902965923357684	  37.06773799554526	  50.61523496792285	  31.62800038044466	  24.32954606763549	  22.12207031655531	  47.16203701504803	  52.24005137229863	  42.45423669950448	 25.129067590615733	   34.6268064539866	  58.03093380090134	  41.51071805981873	  44.78506076809815	 62.440950904312174	 14.928232959021758	 48.249568365104466	  53.22097687571343	  64.88190121603462	  109.1404361370002	 30.045912426569174	  84.69960306040278	  38.73582954197697	  60.62402139841191	  55.97311745088121	  57.92586978582057	  36.76158992110085	  64.44835968411253	 114.54001136702327	  30.97264955347839	  79.42490518402761	  37.63035122309944	  44.27775878425433	  41.96354290323488
  7	 6.0589570454645525	  34.62991898919309	  50.01542552404935	  31.90271231497819	  86.15629268178319	  97.23370957071705	  8.165207025204467	 30.617509856767654	  38.32984816555583	 48.735901266347724	 0.4569328115659488	  50.02349772981492	  16.61815601881669	 19.008680209523746	  73.34599546212108	  83.83690339402473	  120.9320436593592	 51.547868426882125	  31.16789290118649	  90.46899047681596	  47.40605551664942	  41.05155423475546	  67.04924375969735	  29.18479506602968	  79.41691049309502	 45.370789614067235	 44.477532119077836	  5.545803660604918	 61.568228208450535	 58.046343352709926	  20.65505954242913	  49.19096059163772	  41.76843665519702	  48.93180378730271	 17.594718630547987	  13.45662213451962	  35.36879139983446	  51.29958466790096	 29.109727059263378	  36.10588398676602	   80.0971380617102	 118.53731329359303	  37.24375055327269	  53.20178177360485	   9.00451121909039	  23.71660792878687	 20.958287443911615	  26.22907352738156	   59.0695828214285	  46.69142256014365
  8	  57.03715111218564	  23.74843323828803	  76.10555972668804	  29.60156241700138	 30.205390008495826	  80.66798470884781	 41.850001358753346	 43.838368418180536	 39.680629543280105	  16.43372847900146	  23.01355792351886	 31.523187111639146	 48.400613465125446	  56.60140047380689	 36.436068460698465	   134.644395196775	 27.751355385004743	  63.80021272555069	  8.798868140976367	 142.47042036950185	  40.59357349804588	 35.316449542369895	  53.56497309897024	  51.46377959682597	  44.33960237950626	  86.63999187788127	    9.1608763489376	   84.0676942462257	 55.557455671823675	  53.59495993913005	  21.36843474024994	  65.40036824297697	  34.57519726587569	 24.649593176197826	 14.805800428147009	  30.37045796279324	 58.356669905382475	  20.92140051921295	  44.26450447185569	 15.560438752246483	 10.316415662589051	 11.140037646586308	 27.679587130102576	  43.01005276595389	  36.98115036315093	  50.55244872796045	  38.83548556855837	    47.406079416054	 15.180789543864392	  17.12350584845565
  9	   82.5642994114476	  83.59459561987093	 17.297053854132514	  23.14772359740421	0.13676554516030848	  111.7804279140464	 24.546794086134376	  50.47438611643666	  67.30041288417222	  7.867406149283383	  40.64493161114905	  89.33367342964704	  9.356271098179636	  56.51412931886664	 39.218090837069454	   67.6567291378575	  27.15818645436051	  70.18269954128306	  66.46032155645376	   34.7588895421806	  91.07454212057326	  29.45011631143627	  89.97930971435729	  51.41038019825342	  47.31043370767591	  41.37956228393438	  81.98220504992861	  47.78157917411002	  69.38985517361733	 3.2354340332331333	  77.12179802052233	 41.830433471418914	  35.84468176193249	  79.17352884675472	 28.010225223062093	 27.011261114637435	  2.503472688616057	  81.41652153585022	  97.43059970453889	 49.467549812169935	  62.60456670520938	 48.254677112391434	  73.71570978703987	  29.22696350050805	 16.564315341630916	 18.204745874646335	 19.204128173078303	 15.731329185259625	 12.083961410066422	                0.0
 10	  16.32621333492071	   36.0330297519307	 31.410357569351206	  10.07733417129225	                0.0	  87.66629278928689	 19.684413526916117	 19.578892539917053	   79.3605117365645	  50.37676356731904	 25.016948866400597	 2.1558239117931066	  95.67717323039534	 28.751767018419926	 11.529405555850422	  48.30424181560332	  67.89253421716295	  49.07029695711502	  41.00432208787622	  19.43426639509498	 47.615299830636005	  77.33470826508415	  60.04822094680138	  73.79361446157918	  36.82764482032064	  66.29101009698277	  30.56871726298235	 6.5578988630246755	   5.26931825778415	 11.121683555443056	  66.54014965587697	  97.03412812704279	  29.88586746852212	  22.77423880341658	  44.29694371703515	 24.575582251038853	  41.72490669331323	  55.59982298632499	  69.85405432359708	  64.81169436540648	 25.265948321990905	 23.311383047569002	  47.98132562513797	  26.46899398122111	 58.842899542933054	 38.319789853793054	  34.61818603344524	  95.42244544549943	  76.25974784588848	 25.582584621998237
 11	 26.869846162821123	   66.4254657266221	  37.37438741454541	   28.1259598361487	 103.46059259722067	 27.419707587805902	  21.74025091774266	 15.620970407330475	    38.899627445674	 48.150920299859536	 14.433234325470778	 19.423268486410024	 30.189505554407045	  64.56050934726143	 11.368109230235774	  71.52516907957352	   20.7111860100691	  18.23097859799188	 15.152479171252196	  90.19118225422106	                0.0	  65.76959454298166	  51.49500600780806	 15.554803905663263	 51.658915330600365	 43.714708841408566	   81.1783945793539	  42.81692518160837	  55.82363319249092	 34.904569715846506	 119.02177605356377	  8.110643215875143	  27.38352060004152	 36.395275961290736	  42.03729869937538	 55.363891178140875	 23.563630021401437	  52.15977021902599	 26.131365707872366	  72.41710830973531	 113.24409933248924	 26.273622098219235	 17.301339593114378	   65.4183385464977	 34.431026302200436	   46.7920104933779	  3.462006121148981	  43.19860682876809	  24.84252602395553	  98.61703467954806
