# t	policy	fitness           	C                    	ir         	bankrupts	bestLenderID	bestLenderClients	creditChannels
# interbank.py C_i0=30 D_i0=135 E_i0=15 L_i0=120 N=50 T=1000 r_i0=0.02 Φ=0.025 Χ=0.015 α=0.1 β=5 μ=0.7 ξ=0.3 ρ=0.3 ω=0.55
  0	0.0	                0.0	  1995.272093182967	0.020000000000000007	 12	                0.86	                0.06	  4
  1	0.0	 0.7405521487416457	 2120.7196982226933	0.019788061933805424	 12	                0.36	                0.06	  3
  2	0.0	 0.6174579719308577	 1994.2079134301894	 0.05076866767318775	 11	                 0.6	                0.08	  5
  3	0.0	 0.4076895032956205	  2306.984170228083	  0.4967894458017916	 13	                0.36	                0.08	  4
  4	0.0	 0.3041426718409069	  2673.826830553932	  0.5069827779466142	 11	                 0.3	                 0.1	  4
  5	0.0	 0.1783387627817647	 2281.2768691913757	  1.5763532321418157	 10	                 0.3	                0.12	  3
  6	0.0	 0.3368584884070904	 2561.0131154796672	  0.8317177394589882	 10	                 0.3	                0.08	  2
  7	0.0	 0.5053820642193461	 2215.5971115106336	 0.40514244041149644	 11	                 0.3	                0.08	  4
  8	0.0	 0.4501466081859615	 2254.7085703765442	 0.18388238993926864	  7	                0.14	                 0.1	  4
  9	0.0	 0.5528299546704226	  2246.329744202061	  0.1530783459642269	 11	                0.14	                 0.1	  2
 10	0.0	 0.5689599845546848	  2244.814771824736	 0.13167963450692047	 10	                0.96	                 0.1	  2
 11	0.0	 0.5766966514588134	 2315.2444093539048	 0.12312923441479949	  8	                0.26	                0.08	  3
 12	0.0	 0.5935620830156119	 2270.1310242264562	 0.12458159051493499	  7	                0.98	                0.12	  3
 13	0.0	 0.5397852766467282	     2554.054882504	 0.08477372353035603	  9	                0.98	                 0.1	  5
 14	0.0	  0.646892140693328	  2774.237840333406	  0.3136192037469905	 10	                0.16	                0.08	  5
 15	0.0	 0.6478182871946326	 2664.5031649215907	 0.13492403408178144	 11	                0.38	                 0.1	  5
 16	0.0	 0.7090057188502308	 2552.7196302497314	 0.12884554304041382	 10	                0.38	                0.08	  1
 17	0.0	 0.6905227265839297	  2620.986953662826	  0.1597697923321751	  9	                0.44	                0.08	  3
 18	0.0	 0.7480943214021467	  2777.229872942926	 0.18263221839155136	  8	                0.34	                0.08	  0
 19	0.0	  0.619188168858349	 2975.3960880197455	 0.16653262499773194	 15	                0.82	                0.08	  6
 20	0.0	 0.7080859123286571	 3155.1668996342914	 0.14637637373003726	  9	                0.14	                 0.1	  3
 21	0.0	 0.7272837817782427	  3084.026221293149	 0.06778288584992512	  7	                0.84	                0.08	  4
 22	0.0	 0.7591247292996935	 3126.6638866943717	 0.08301830291530585	  8	                0.84	                0.12	  3
 23	0.0	 0.6185088311116183	  2924.120534849918	  0.0524025979892745	  9	                0.34	                0.08	  3
 24	0.0	 0.5267264807904956	  2907.792262765337	 0.09982824266576949	 13	                0.28	                0.08	  4
 25	0.0	 0.6000492975546698	 3233.9932844218365	 0.12105428355816385	 10	                0.74	                0.08	  5
 26	0.0	 0.6873748487868019	  2851.648725481851	  0.1958194700030146	  8	                0.76	                0.08	  3
 27	0.0	 0.6242849268234181	 2508.6509804733114	 0.12468366813603331	  9	                 0.7	                0.14	  5
 28	0.0	 0.3939903350615722	 2040.2554159977335	 0.06868219092576949	 10	                0.88	                0.12	  4
 29	0.0	 0.4591042456374745	  2278.582601548213	 0.08002670813719001	 17	                0.66	                0.12	  4
 30	0.0	 0.5795617028930602	 2474.9131145231345	0.058749316791924515	  4	                0.88	                 0.1	  2
 31	0.0	 0.4664993197503917	 2577.1240008215495	  0.0486103871309165	  6	                0.88	                 0.1	  3
 32	0.0	 0.5715990145372668	  3024.623434397255	  0.1722033882883701	 13	                 0.0	                0.12	  3
