# n	sum_policy	sum_fitness	sum_liquidity	sum_ir	sum_bankruptcy	sum_best_lender	sum_best_num_clients	sum_credit_channels	sum_rationing	sum_leverage
  0	              502.0	  371.3989074453824	 3031305.7212364688	 169.68431809763348	             9525.0	            24653.0	             4730.0	             3151.0	 42518.961412604316	  92.55045749704963
  1	              520.0	  367.4764124201807	 3106109.1047022208	 157.34854936022074	             9424.0	            23862.0	             4653.0	             3246.0	   40594.6693712524	  88.91669429818278
  2	              501.0	   371.214896008476	  3120532.230674942	  176.6036493160629	             9249.0	            24504.0	             4757.0	             3281.0	  39764.09293574013	  89.05961592851406
  3	              490.0	  374.3058442865174	  3147484.578296357	  185.9027121231933	             9334.0	            24543.0	             4683.0	             3115.0	  40783.57913123599	  89.10892975341835
  4	              535.0	  362.6300328001266	 3014738.7458522934	  169.8292779469198	             9656.0	            24766.0	             4607.0	             3274.0	   41903.9994273753	  89.56224388032311
  5	              496.0	  365.2212979419592	 3129758.4960197937	 171.47306786145185	             9523.0	            24952.0	             4631.0	             3242.0	 41371.286490114806	  89.14264040256904
  6	              525.0	 354.29993180389545	  2935495.754414848	 159.30079786303503	             9599.0	            24621.0	             4747.0	             3243.0	 43098.719846919426	  90.47636324338265
  7	              485.0	  368.5245904466965	 3080596.2927911845	 151.80398766783154	             9624.0	            24763.0	             4695.0	             3215.0	  41926.04615559552	  90.22007247893946
  8	              499.0	  375.1824225179147	  2992984.392254375	 189.18074211562887	             9378.0	            25309.0	             4723.0	             3239.0	  41537.25803253057	   89.8367385350277
  9	              489.0	  374.5920107034965	 3137188.2196662426	  161.2434891283853	             9452.0	            25124.0	             4661.0	             3216.0	  41623.17922485775	  89.38670875010128
 10	              485.0	 375.03961473932816	  3091497.754644316	 170.48263344124425	             9389.0	            24751.0	             4605.0	             3202.0	  41673.28941273739	  90.61105596360608
 11	              508.0	 362.16919279536876	 3061408.5518496586	 166.02869379012904	             9590.0	            24591.0	             4725.0	             3184.0	  42208.14560063803	  91.02444383959315
 12	              509.0	 365.80032343471987	 2985479.4705066406	 141.96130235090513	             9689.0	            22982.0	             4676.0	             3288.0	 41824.774028605716	  90.67177258628676
 13	              511.0	  368.2897210403245	 3089643.3186374805	 162.04678623904724	             9406.0	            25780.0	             4662.0	             3201.0	 41048.911873127276	  92.29456829498754
 14	              491.0	   377.244294951347	 3024502.2781287762	 153.92021690527974	             9427.0	            24274.0	             4701.0	             3194.0	 41251.764774900555	   89.9446902895837
 15	              499.0	  376.0960700404042	  3025839.008230588	 161.47450393738367	             9349.0	            25255.0	             4633.0	             3136.0	  42504.51795746128	  93.00269573245451
 16	              494.0	  381.1717013317506	 3007069.4569894955	 153.63305960659926	             9634.0	            24611.0	             4655.0	             3259.0	 42496.793740494235	  90.85489289834659
 17	              481.0	 370.21010983456375	 3123426.7161658583	  156.6611926068779	             9562.0	            25515.0	             4684.0	             3276.0	 42194.398644422254	  87.35449454364158
 18	              499.0	  368.3918991665222	  3046759.320712759	  155.5883227869826	             9442.0	            23635.0	             4584.0	             3179.0	  40534.06635313326	  90.17176211096627
 19	              481.0	 372.90689860398544	 3246257.1424161303	 149.44812734950867	             9076.0	            24710.0	             4690.0	             3169.0	 38290.451556787426	  88.12576032787584
 20	              503.0	  383.1636911252421	  3060267.134948354	 163.75640932712508	             9349.0	            24252.0	             4629.0	             3137.0	 41965.047226138115	  91.86510452706295
 21	              511.0	  372.9988064666538	 2872278.4163272185	 151.80405396599494	             9677.0	            24816.0	             4675.0	             3209.0	 42663.456855497076	  92.34901969607876
 22	              504.0	   363.874448924025	  3030664.013317311	 134.89456761515873	             9654.0	            24525.0	             4700.0	             3293.0	  42953.35300924356	  91.14663449230157
 23	              490.0	   364.434936803107	 3219290.2907795343	 168.66230182172066	             9440.0	            25498.0	             4655.0	             3195.0	 41077.023273503146	  90.90163844817243
 24	              526.0	 364.98195237554785	  3048642.399415764	  197.8786261172546	             9419.0	            24550.0	             4704.0	             3174.0	  42051.71163580582	  89.70923776383799
 25	              520.0	 351.24701370721675	 3120676.8030373594	 182.50552100144031	             9564.0	            25148.0	             4760.0	             3207.0	  41660.06472590735	  89.37019225592829
 26	              493.0	  369.6269364936584	  3205296.066288588	 174.38779495215277	             9465.0	            23568.0	             4695.0	             3212.0	  41425.58065158066	  90.26497029960046
 27	              490.0	  368.9300990128795	 3037479.8948390493	 165.09056415386593	             9556.0	            24134.0	             4731.0	             3187.0	  41583.70131085279	   92.5494794321621
 28	              491.0	  377.2313977456278	  3058369.870317635	 135.89053214244336	             9496.0	            24901.0	             4686.0	             3222.0	  43119.01425648242	  89.38648694966354
 29	              498.0	 370.90021870506587	  3149875.869208893	  181.1355313094492	             9499.0	            24822.0	             4724.0	             3352.0	 41217.940270777304	  87.35608296091148
 30	              479.0	 378.63040016221225	 3070351.1494297385	 198.74602802585858	             9567.0	            24285.0	             4600.0	             3275.0	   41777.0763243561	  90.48406889495119
 31	              500.0	  373.7152371600937	 3125323.8626467916	 154.93853817813482	             9360.0	            24336.0	             4704.0	             3332.0	   41249.3020849777	  89.43855662070392
 32	              495.0	  373.8136499629767	  3535337.920027908	 174.83579520125022	             9481.0	            24227.0	             4680.0	             3188.0	  42400.53708711328	  90.75194882061639
 33	              500.0	 366.83120177661397	  3115293.513931772	 148.74018634573994	             9670.0	            23815.0	             4712.0	             3215.0	  41885.62330665117	   90.6456326214696
