# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# bankruptcy
  0	                 12	                 12	                 10	                  5	                  8	                 15	                 13	                  6	                 11	                 10	                 12	                  7	                  9	                  4	                  6	                 10	                 10	                 12	                  9	                 12	                  6	                  8	                 10	                  6	                 10	                  7	                  8	                 11	                 10	                  6	                  8	                 12	                 14	                  8	                 14	                  8	                  5	                 11	                  7	                  5	                 13	                 10	                 12	                  9	                 11	                 12	                  5	                  6	                  7	                  6
  1	                 12	                 12	                 10	                 12	                 13	                 13	                 15	                 11	                  7	                 13	                 11	                  8	                 10	                 19	                 10	                 14	                 10	                 12	                 13	                  8	                 11	                 11	                 11	                 10	                 12	                  9	                 11	                 15	                  8	                 16	                 17	                 14	                 13	                  8	                  7	                  7	                 10	                 12	                 18	                 13	                 11	                 14	                 10	                 11	                 13	                 19	                  8	                 12	                 14	                 12
  2	                  9	                 11	                 16	                  7	                  7	                 11	                  8	                 11	                 12	                 17	                 12	                  6	                 13	                 11	                  8	                 17	                  8	                 12	                  7	                 13	                 12	                 11	                  3	                 15	                 10	                  9	                  9	                 13	                 21	                  9	                  6	                 10	                 12	                 17	                  8	                  7	                  8	                  9	                  9	                  4	                 13	                 12	                 10	                 19	                 12	                 13	                 11	                 21	                  9	                 12
  3	                 15	                 12	                 13	                  7	                 13	                 10	                 10	                 10	                  5	                 10	                 12	                  8	                  7	                  9	                 13	                 10	                 16	                 13	                  9	                 14	                  4	                 10	                 10	                 10	                 12	                 10	                 11	                 10	                 10	                 14	                 18	                 13	                 11	                  7	                  6	                  9	                 10	                 14	                 14	                 11	                 13	                  8	                  9	                 16	                 20	                  9	                 12	                  8	                 10	                 11
  4	                 10	                 12	                 14	                 13	                 13	                  7	                  9	                  9	                 13	                  8	                 14	                 11	                 18	                 11	                  9	                 16	                  9	                 14	                  9	                 11	                 13	                 14	                 12	                  6	                  6	                  7	                 12	                 17	                 10	                  5	                  9	                  7	                 12	                 13	                 12	                  5	                 11	                  9	                 10	                  8	                  8	                  7	                  9	                 13	                 10	                 13	                  7	                  9	                 11	                 11
  5	                 12	                  8	                  8	                 14	                 10	                 13	                 12	                  8	                 10	                  8	                  6	                 11	                  9	                  8	                 10	                 15	                 13	                 14	                 10	                 11	                 12	                  9	                  6	                  6	                 14	                 12	                  5	                 10	                 10	                 13	                 14	                 17	                 15	                 10	                 10	                  5	                 10	                  9	                 11	                 18	                 13	                 14	                  9	                 10	                 10	                  7	                 11	                 14	                 11	                  9
  6	                 10	                 11	                  7	                  6	                 13	                 16	                  5	                 14	                 14	                 11	                 11	                 14	                  9	                  4	                 14	                 12	                 13	                 12	                 11	                  9	                 14	                 12	                  8	                 12	                 12	                  7	                 12	                  9	                 11	                  9	                 14	                 10	                  7	                 16	                 13	                 15	                 11	                 12	                 12	                  8	                 10	                  6	                  4	                  8	                 10	                 10	                  8	                  7	                 13	                 10
  7	                 15	                  5	                  9	                  8	                  9	                 11	                 12	                 11	                  8	                  6	                  7	                  5	                 10	                  9	                 11	                 12	                 14	                 11	                 10	                 15	                 16	                 12	                 12	                 12	                 13	                  5	                 10	                  8	                 12	                  8	                 14	                 10	                 11	                 12	                 12	                  6	                  7	                  9	                 10	                 12	                 14	                 11	                 11	                  8	                 12	                 12	                  8	                 12	                 10	                  6
  8	                 12	                 11	                  9	                  9	                  9	                 10	                  4	                  6	                 11	                 11	                  8	                 10	                 14	                  9	                 11	                  9	                  9	                  6	                  8	                 14	                 10	                 11	                 10	                 13	                 17	                 11	                 10	                  7	                 10	                 11	                  8	                  8	                  7	                  8	                 12	                 10	                 12	                 14	                 11	                 15	                  8	                  9	                 10	                  6	                 12	                 13	                  7	                  9	                  9	                 13
  9	                  9	                  9	                 10	                 10	                  8	                 11	                  5	                 10	                 10	                 11	                  9	                  8	                 12	                  8	                 11	                 10	                 12	                 10	                  7	                 12	                  7	                 10	                  7	                 10	                  9	                  6	                 14	                  9	                  7	                 13	                  7	                 12	                 14	                 13	                  4	                 15	                 10	                 10	                 10	                 10	                 11	                  7	                 12	                 11	                 16	                 11	                 11	                 14	                  5	                  8
 10	                  8	                 12	                  5	                  7	                  8	                 14	                 11	                 13	                 12	                  7	                  9	                 11	                 12	                 10	                  9	                 11	                  9	                 13	                 11	                 14	                 14	                 10	                 11	                  6	                 14	                  9	                 12	                  9	                  5	                  7	                 14	                  5	                  8	                  7	                 11	                  7	                  8	                  7	                  6	                 11	                  9	                 12	                 13	                  8	                 11	                  7	                 12	                 10	                 11	                  8
 11	                  4	                  7	                  7	                 12	                 10	                 10	                  7	                  8	                  8	                  6	                  7	                 15	                 13	                  9	                 10	                 11	                 12	                 13	                  6	                 13	                 11	                 11	                 12	                  7	                 10	                 12	                 12	                 13	                  4	                  9	                 15	                 12	                 12	                 11	                 10	                 13	                 12	                  8	                 10	                 19	                  9	                 13	                  9	                  8	                 12	                 15	                  7	                  4	                 10	                  7
 12	                 10	                  9	                  8	                 12	                 16	                 11	                  4	                 11	                 14	                 11	                  8	                 10	                 11	                  8	                 17	                  8	                 11	                 15	                  8	                 12	                  9	                  8	                 14	                  7	                  4	                 15	                  9	                 10	                 10	                  9	                  8	                 11	                 13	                 14	                 10	                  7	                  9	                  9	                  5	                  9	                 12	                 13	                  8	                 10	                 12	                 16	                 13	                 10	                 11	                 14
 13	                 13	                  9	                  9	                  7	                  6	                  8	                  4	                  5	                  8	                  8	                  7	                 12	                 13	                 12	                  7	                  7	                  1	                  8	                  6	                  9	                 10	                  9	                  5	                 10	                 11	                  8	                 16	                  7	                 12	                 10	                 14	                 15	                 10	                 16	                  9	                 12	                 16	                  9	                 11	                 11	                 10	                  9	                  9	                  7	                  7	                  7	                  8	                 11	                  8	                  7
 14	                  4	                  6	                 12	                  8	                  8	                 11	                  6	                 10	                  9	                 15	                 11	                 16	                 13	                  5	                  8	                 12	                 11	                  3	                 16	                  9	                  7	                 10	                  8	                  9	                 15	                 16	                  9	                 15	                 12	                 13	                 13	                 11	                 13	                 13	                 10	                 10	                 12	                  7	                  7	                 11	                 11	                 11	                  5	                 13	                 11	                  9	                  8	                  8	                  4	                  9
 15	                  8	                  9	                 12	                  6	                 12	                 10	                  5	                  7	                 11	                  6	                  9	                 11	                  5	                 12	                  4	                 10	                  9	                  9	                  6	                 12	                  9	                  9	                 15	                  7	                  6	                  6	                 11	                  8	                  2	                  8	                  8	                 10	                 10	                 11	                  6	                  8	                 12	                 14	                  5	                 10	                 10	                  5	                 11	                  7	                 15	                  6	                  5	                 11	                  7	                 14
 16	                  7	                 10	                 14	                 12	                 13	                 17	                  8	                 13	                 10	                 13	                 12	                 12	                 11	                  6	                 18	                 14	                  6	                 10	                 11	                 12	                 11	                  5	                  6	                  9	                  9	                 19	                  8	                  8	                  9	                  8	                 10	                 10	                 12	                 10	                 16	                 17	                  9	                 14	                 10	                 11	                 14	                 11	                  6	                 10	                  7	                  5	                 11	                 12	                  9	                  6
 17	                 13	                 10	                  6	                  6	                  6	                 12	                  8	                 11	                 12	                 10	                  9	                 10	                 12	                  6	                  6	                 11	                 16	                 10	                  8	                  4	                 10	                  9	                  5	                  9	                 13	                  6	                 10	                 14	                  7	                  7	                  9	                  9	                  6	                  9	                  7	                  9	                  9	                  7	                  9	                 14	                  7	                 10	                 15	                  7	                 11	                  5	                 10	                  8	                 11	                 10
 18	                  8	                  7	                 11	                 14	                  8	                 13	                  8	                 11	                 11	                 12	                 14	                 13	                 16	                 10	                 15	                  8	                  8	                 12	                  7	                  9	                  9	                  9	                 11	                  6	                 11	                 17	                 10	                  8	                  5	                 12	                 14	                 11	                 15	                 15	                  7	                  9	                 14	                  9	                 11	                  9	                  6	                  6	                  6	                 13	                 11	                 15	                  5	                 14	                  9	                  7
 19	                 13	                  8	                  8	                  7	                  9	                 14	                 12	                  8	                  3	                  6	                 10	                 11	                 10	                 13	                  8	                  9	                 12	                  9	                 13	                  6	                 10	                  9	                 14	                  8	                  6	                  8	                 10	                  9	                  8	                  8	                  6	                  7	                 12	                  8	                  9	                 11	                 10	                  8	                 13	                  8	                  6	                 11	                 10	                  8	                 10	                 12	                  9	                  6	                 13	                  3
 20	                  8	                 12	                 15	                 13	                  9	                  9	                  9	                 12	                  7	                 13	                  8	                 11	                 13	                 10	                 15	                 10	                 10	                 10	                 10	                 14	                  8	                 10	                 12	                  5	                 11	                  8	                 12	                  7	                 11	                  7	                  9	                 12	                 10	                  7	                  7	                  7	                  8	                  9	                  5	                 13	                 10	                  7	                 13	                 10	                 10	                  8	                  9	                  9	                  7	                  6
 21	                 12	                  6	                 11	                  9	                 14	                  8	                  9	                  9	                  6	                 13	                 12	                  8	                 10	                 10	                  8	                  7	                 10	                 11	                  8	                 12	                  5	                 15	                 12	                  6	                  8	                 10	                  7	                  9	                  8	                  6	                  6	                  9	                  8	                  7	                  8	                 12	                 10	                  7	                 10	                  5	                 12	                 14	                 11	                  9	                 10	                 10	                  9	                 12	                  3	                 17
 22	                  8	                  8	                 13	                 14	                  7	                 10	                 14	                  6	                 12	                  8	                 11	                 12	                  9	                 12	                 11	                 10	                 11	                  5	                 10	                  8	                  8	                 13	                 12	                 11	                  9	                 11	                 11	                 10	                  8	                  7	                 10	                  8	                  6	                  7	                  8	                  9	                  5	                  9	                  8	                  7	                  9	                 13	                 14	                  6	                 12	                  8	                 13	                  9	                  4	                 13
 23	                 11	                  7	                 10	                 13	                 12	                  9	                 16	                  8	                  8	                 12	                 12	                  9	                 11	                 16	                 11	                  9	                 11	                  8	                  9	                 11	                 15	                  6	                  7	                 11	                 10	                 11	                  7	                 10	                 16	                 13	                 11	                  7	                 16	                  8	                 11	                 12	                 18	                  7	                  7	                 11	                  4	                  6	                 11	                  6	                  9	                 11	                  7	                 13	                  6	                  8
 24	                  7	                  7	                 10	                  6	                  6	                 15	                 11	                  6	                  9	                  3	                  7	                 12	                 12	                 10	                 11	                  9	                 10	                  9	                  9	                  9	                 10	                  7	                  8	                  7	                 12	                 11	                  5	                  5	                 16	                  9	                 11	                  9	                  9	                  8	                 13	                 12	                  7	                 11	                  7	                  9	                  9	                 11	                 13	                  8	                  9	                  9	                  8	                 12	                 13	                 13
 25	                  9	                  7	                  6	                 11	                 10	                 11	                  7	                  7	                 11	                  7	                  8	                  8	                  8	                  8	                  5	                 10	                 14	                 15	                 10	                  7	                  7	                  7	                 12	                 12	                 14	                 14	                  9	                 17	                 10	                 10	                  9	                 11	                 12	                  9	                 13	                 17	                 12	                 13	                  8	                 11	                  5	                  7	                  9	                  8	                  6	                 10	                  8	                  8	                 10	                  9
 26	                 10	                 10	                  6	                 10	                  8	                  9	                 11	                 10	                 15	                  7	                 12	                  9	                  7	                 11	                 16	                  7	                 12	                 10	                 11	                 12	                  7	                 10	                  6	                  9	                 11	                  9	                  5	                 10	                  9	                 10	                 12	                 10	                 10	                  8	                 10	                 10	                  8	                 13	                 14	                 11	                  9	                  9	                 10	                  7	                  4	                 11	                 10	                 10	                 12	                 10
 27	                 10	                 13	                  5	                 11	                 13	                 15	                  7	                 14	                  8	                  9	                  9	                 10	                  8	                 11	                  8	                  4	                 11	                 11	                 11	                  3	                 12	                  9	                 11	                 14	                 13	                 14	                  5	                  9	                 14	                  6	                 11	                  9	                 10	                 12	                  6	                 15	                 17	                 13	                 11	                  9	                 12	                 15	                 13	                  5	                 12	                  9	                 13	                 14	                  9	                  9
 28	                 12	                 10	                  6	                  9	                 10	                 11	                 12	                 15	                 10	                 11	                 11	                  8	                  8	                  8	                  9	                  8	                 16	                  3	                 11	                  8	                 12	                 11	                 10	                 11	                  9	                 14	                  9	                 10	                  4	                 10	                 15	                 13	                 10	                  5	                 10	                  9	                  6	                  9	                 11	                 13	                  6	                 11	                 11	                  5	                 11	                  5	                 13	                 12	                  8	                  7
 29	                 13	                 12	                 12	                 11	                  8	                  9	                  9	                 11	                 12	                  6	                  9	                  8	                  7	                  9	                  9	                  6	                  9	                 13	                  5	                 11	                  9	                 13	                  7	                 12	                  8	                 14	                 10	                  8	                  6	                  3	                  9	                  9	                  9	                  8	                  5	                 12	                  8	                  7	                 11	                 12	                 17	                  6	                  8	                  9	                  9	                  7	                 12	                  7	                  6	                 10
 30	                  8	                  3	                  3	                 12	                 13	                 11	                  9	                 11	                  9	                  7	                 14	                  3	                 10	                  9	                 13	                 10	                  6	                  6	                 10	                  7	                 10	                  6	                  5	                 17	                 13	                  3	                 11	                 11	                  7	                 12	                 10	                  5	                  5	                  9	                 10	                 18	                  8	                  6	                 18	                 11	                 10	                 12	                  8	                 14	                  9	                  6	                 12	                 13	                  7	                 14
