# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# best_lender
  0	                 43	                 43	                 16	                 40	                 42	                  9	                 12	                 14	                 35	                 32	                  7	                  6	                 17	                  3	                 41	                 41	                 47	                  2	                  5	                 27	                  6	                 15	                 42	                 35	                 35	                 43	                 10	                 43	                 28	                 26	                 49	                  8	                 18	                 44	                 16	                  4	                 40	                 43	                 45	                 21	                  2	                  3	                 15	                 27	                 27	                  2	                 26	                 15	                 26	                  2
  1	                 35	                 35	                 24	                 46	                  9	                  1	                 13	                 49	                 15	                  0	                 31	                 24	                 48	                 11	                 13	                 41	                 26	                  1	                 14	                 17	                 43	                 32	                 36	                 35	                 35	                 13	                 19	                 48	                  4	                 30	                 46	                 17	                 49	                  5	                  5	                 36	                 40	                 31	                 32	                  2	                 34	                 22	                  7	                  6	                 48	                 41	                 33	                 32	                 21	                  6
  2	                 26	                 26	                 24	                 21	                 14	                  1	                  0	                  0	                 41	                  9	                 31	                 19	                  3	                 11	                 14	                 41	                 14	                  6	                  3	                 36	                 28	                  5	                 14	                 25	                 35	                 24	                 33	                 37	                  6	                 46	                 40	                  2	                 18	                 48	                 44	                 32	                 24	                 23	                 42	                 15	                  6	                 18	                 48	                 27	                 43	                 37	                 27	                 32	                 21	                  6
  3	                  2	                  7	                 24	                 28	                 27	                 38	                  0	                 49	                 18	                  5	                  0	                 37	                 15	                 27	                 12	                 19	                  8	                  6	                  3	                  3	                 29	                 27	                 15	                 25	                 30	                 42	                 42	                 37	                 30	                 27	                  7	                 42	                 18	                 48	                 44	                 32	                 44	                 33	                 36	                 41	                 48	                 18	                 30	                 49	                 38	                  6	                 27	                 10	                 21	                  2
  4	                  7	                 15	                 24	                 19	                 43	                 38	                 33	                  4	                 19	                  3	                 29	                 37	                 15	                 34	                 12	                 33	                  7	                  4	                  3	                  9	                 29	                  5	                 16	                 48	                 16	                 26	                 16	                 37	                 23	                 49	                  0	                  1	                 18	                 48	                 36	                 18	                 34	                 25	                 47	                  5	                  2	                 13	                 10	                 22	                 35	                  7	                 14	                  2	                 21	                  6
  5	                 16	                 15	                 11	                  8	                 16	                 48	                 19	                 30	                 19	                  3	                 29	                 38	                 13	                 33	                 32	                 45	                 42	                 23	                  3	                  6	                 27	                 16	                 45	                  9	                 39	                 36	                 48	                 37	                 39	                 41	                 35	                  3	                 18	                 48	                 36	                 13	                 34	                 25	                 45	                  5	                 13	                 20	                 10	                 28	                 35	                  7	                 28	                 13	                 21	                  6
  6	                 16	                 36	                 24	                 28	                 32	                 27	                  5	                 30	                  0	                  3	                 40	                 16	                 13	                 12	                 39	                 48	                  7	                 40	                 36	                  2	                 47	                 20	                 16	                  9	                 39	                  4	                  1	                 36	                 39	                  0	                 33	                 45	                 18	                  7	                 27	                  5	                 25	                 30	                  2	                  5	                 38	                 46	                 37	                 28	                  0	                  7	                 28	                  9	                 46	                  0
  7	                 32	                 44	                 11	                 36	                 32	                  1	                 23	                  9	                 12	                  6	                 30	                 21	                 11	                 32	                 39	                 35	                 35	                  6	                  3	                  2	                 32	                 26	                  3	                 41	                 30	                 44	                 32	                 32	                 24	                  0	                 33	                 45	                  6	                  5	                 23	                  5	                 27	                  5	                 16	                  5	                 22	                 46	                 44	                  1	                 21	                 39	                 38	                 15	                 35	                  6
  8	                 32	                 44	                 11	                 36	                 32	                 43	                 23	                 40	                 23	                  3	                 40	                 21	                  6	                 32	                  5	                 35	                 22	                  8	                  1	                  2	                 32	                  9	                 15	                 21	                 12	                 44	                  5	                 32	                  9	                  0	                 14	                 20	                  6	                  9	                 27	                 15	                 35	                 49	                 14	                 16	                  7	                 11	                 10	                  1	                 21	                 42	                 49	                 34	                 43	                  6
  9	                  7	                 35	                 37	                 28	                 32	                 35	                 33	                 40	                 36	                 10	                 30	                  1	                  6	                 32	                 39	                 37	                 22	                 38	                 12	                  3	                  8	                 25	                 15	                 17	                 10	                 47	                 15	                 33	                  9	                 17	                 14	                 11	                 13	                  9	                 27	                 29	                 15	                 49	                 36	                 44	                  7	                 17	                  6	                  3	                 27	                 42	                 46	                 21	                 19	                 39
 10	                 31	                 34	                 13	                 28	                 36	                 14	                 43	                 33	                 36	                 22	                 44	                 48	                 47	                 44	                 46	                 26	                 22	                 14	                 33	                  3	                 23	                  4	                 15	                  2	                 38	                 44	                  7	                 26	                 47	                 26	                 36	                 15	                 10	                 45	                 27	                  4	                 25	                  1	                 36	                 46	                 31	                 11	                  6	                 42	                 17	                 42	                 48	                 33	                  4	                 18
 11	                  1	                 40	                 13	                 13	                 39	                 19	                 33	                 33	                 19	                 27	                 21	                 49	                  6	                  7	                 39	                  8	                 18	                 44	                 33	                 27	                 23	                 34	                 19	                 14	                 25	                 33	                  2	                 17	                 43	                 10	                 32	                 11	                 13	                 45	                 27	                 47	                 25	                  0	                 46	                 43	                 31	                 38	                 16	                 42	                 43	                 46	                 48	                 35	                  4	                 18
 12	                 30	                 20	                 13	                 13	                 45	                 13	                 39	                 34	                 14	                 27	                 45	                 43	                 13	                 47	                 35	                 45	                 18	                  2	                  8	                  3	                 20	                 15	                 24	                 39	                 48	                 41	                 17	                 32	                 13	                 48	                 32	                 32	                 13	                  8	                 27	                 18	                 25	                  6	                 35	                 32	                 25	                 36	                 42	                  2	                 36	                 12	                 48	                 27	                  9	                  8
 13	                 30	                 19	                 13	                 22	                 32	                  4	                 48	                  8	                 14	                 10	                  6	                 43	                 38	                 40	                 35	                 48	                  1	                 34	                 49	                 28	                  2	                 40	                 19	                 26	                 47	                 41	                 17	                 49	                 13	                 28	                 39	                 32	                 13	                  8	                 46	                 18	                 25	                  6	                 37	                 20	                 46	                 36	                 42	                 35	                 38	                 42	                 15	                 27	                 13	                 24
 14	                 30	                 38	                 37	                 11	                 25	                  4	                 48	                  7	                  9	                 27	                  7	                  9	                 16	                 47	                 35	                 48	                 45	                 49	                 46	                 28	                  8	                 30	                 42	                 42	                 47	                 11	                 22	                  4	                  1	                  1	                 34	                 19	                 30	                 14	                 26	                  6	                 14	                 31	                 37	                 20	                 46	                 30	                  8	                 49	                  8	                 46	                  7	                 41	                 15	                  4
 15	                 10	                 16	                 37	                  0	                  7	                  4	                 27	                 44	                  9	                 12	                 28	                 39	                 14	                 47	                 35	                 36	                 39	                 49	                  3	                  8	                  6	                 44	                 19	                 41	                 47	                 21	                 22	                 26	                  6	                  2	                  3	                 19	                 30	                 14	                 47	                 36	                 25	                 21	                 28	                 47	                 40	                 36	                 19	                 49	                  8	                  4	                 11	                 35	                 15	                 28
 16	                 23	                 15	                 37	                 49	                 20	                  4	                  8	                 44	                  3	                 36	                 28	                 26	                 26	                 47	                 35	                 43	                 38	                 28	                 15	                 39	                 45	                 44	                 11	                 41	                 47	                 21	                 13	                 17	                  6	                 46	                 20	                  3	                 30	                 47	                 26	                  2	                 26	                 33	                 28	                  9	                 34	                 36	                 37	                 22	                  8	                 14	                 45	                 41	                 37	                 22
