# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# fitness
  0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0
  1	 0.3742849084077241	 0.3742849084077241	 0.3152239353229472	 0.7461781088638483	 0.3264055738466041	 0.3107611468533378	 0.5810122532010729	 0.7428780829905357	 0.6915084168083117	 0.6590597947822193	0.26649041188809997	0.28480730907728175	 0.7511903763458517	 0.5394925007038405	   0.50663113826459	 0.6767354191835946	 0.2820491596366705	0.49800675044226383	 0.3672377728585876	0.33190681115954623	 0.2776268996048525	 0.5222086233049202	 0.3490200996844194	 0.3077753558801562	 0.2988324976589913	 0.3170044746038081	 0.6663387498894642	 0.2897721536223776	 0.5755339506858645	 0.6901009947324145	 0.5278834839626704	 0.7495721352246862	 0.3892983901686805	0.28838763880937324	 0.6106348312842504	 0.3166678746270396	 0.2703070291706729	 0.6069536580713021	 0.2861460900546844	 0.2740178245957934	     0.852289651398	 0.3700297962264767	0.34656201918340473	0.27711522920958737	 0.3632224416104963	0.34365959516838823	 0.5747855110322484	 0.2995969730728005	  0.284243114156424	0.28043159024289194
  2	 0.5430780285641209	 0.5430780285641209	 0.2670449469411863	0.24285474013155806	 0.6104643921381606	0.23050387718822907	0.28474091759852377	0.28890728294022244	 0.2794610942206612	  0.548608274412788	 0.4090899690684868	 0.3038312690739889	0.32869511164332665	  0.610712574999791	 0.4960864121650775	 0.2935591992716625	 0.5710256432761706	0.23171148543538295	0.29121614586185474	0.47261829257059723	 0.7868514414062965	 0.6885141394268582	 0.5916658960701794	 0.7546658953247257	  0.348354052263439	 0.6513129467126092	 0.6512989077337186	 0.6604878715651026	 0.3165616635180928	 0.5708026773477046	 0.5689409442465351	0.21500887232428645	0.30752301170739715	 0.5425620065106531	 0.2335963103831366	 0.2953274682258732	 0.5381367614107061	 0.3245412008502086	0.24812521202732307	 0.2286488554082829	 0.2473064078444422	0.25656098339140987	 0.7046043251271213	  0.265752566010224	 0.5288457938895192	 0.2496991131015952	0.33059114683962126	0.22805192322002774	 0.3471098148931697	 0.5784369070548501
  3	0.23667858247974635	 0.3874606115228301	 0.2148962324143903	0.21421829854989516	 0.2207888369795381	 0.5090396006875215	 0.6199743201455512	 0.6087581562627584	 0.5752329656220067	0.24128095744677355	0.24694908409796096	0.46190254466278885	 0.5819205072276169	 0.6012095008191868	0.23386781050267302	0.21413358296707444	0.21921865226775655	 0.6862320583610539	 0.5718233655922211	 0.4688377498085397	 0.6012038016177776	 0.2464120894437019	 0.4433156274659624	 0.2797150318553333	0.31113614813095253	0.18757249353814776	0.24482656310802978	0.40689229766779145	0.20941910638544897	 0.1573540545096206	 0.6734253817715541	 0.6353805699418497	 0.5886219828256255	 0.2831810384402551	0.23575768948584838	 0.6568948873552155	 0.4673908703071719	0.36833879921894375	0.30117500010214593	0.17822901263200502	0.18094077285440313	 0.6340187986463276	 0.6123160476077524	0.23958588347664977	0.46588929198225726	 0.5987002564907046	 0.6467337392468261	 0.2802683959011889	 0.5386107032995991	0.22715578235573022
  4	0.23674288728786747	 0.5463664089126806	 0.4449498712794512	 0.5764419870264595	 0.6475822074915192	 0.3045954233136349	 0.2748239140449743	0.24572422990251405	 0.6493861740296498	0.26263256804704893	 0.6047987454169157	 0.1919999174972472	 0.5940162540341667	0.20610306268212164	 0.5832346236733011	 0.6015397666269133	0.24685002910894993	 0.4738714794761243	 0.2513636455470645	 0.5395536377157519	 0.6094645408241317	 0.7584900077410589	0.24650405140469103	 0.7629278132265114	 0.2006445413629541	0.15240770792613448	0.46028902931183774	0.25087474122446973	0.39890820937003313	 0.5825493730186269	 0.4940765702105503	0.20322768506677424	 0.6080836465835855	 0.6020864043702073	 0.2445382524617994	0.24740840605358494	 0.6365942952530694	 0.5225542482466107	 0.5030436002283468	  0.625419081166583	 0.1687733414844633	 0.2249555378720061	  0.525588897611464	 0.6364094075346416	 0.5021503124175588	 0.1764460865442928	0.24870677887890255	 0.3761083430978644	 0.3046190779759054	0.22959266334355488
  5	0.20548969450666277	  0.630438237110837	 0.2564039203089426	 0.5374279493188341	 0.5662243281919889	 0.5854119482371876	 0.3701679303816246	 0.7190363714968966	 0.2698077126813869	0.23388571397162014	0.25811193816139394	0.24504209238048025	0.19746717320055418	 0.5578339453821676	  0.582993473488525	 0.5033769231554611	 0.6263329678345326	 0.4764961516895555	0.19454492276947188	0.22685579165193737	 0.6683356160464868	 0.6368229942888133	 0.5557788965357842	0.16883604404041616	 0.3318867850232145	0.10836065859606991	 0.2205274322820237	  0.439147263733121	 0.5101771762134768	0.14181872722077535	0.21137385624749894	 0.7408948109586256	 0.2682631296942336	0.18788935805851828	0.37705647408857085	 0.6131529566173248	 0.1820718468522407	 0.4379605805318304	  0.518165553730213	 0.7094514316957883	0.21994991488941462	 0.6567532087057105	 0.6481657965443745	  0.633328908014831	 0.5019052052350131	0.14137444308723082	0.21836178027375272	0.21297556027822076	0.28151818967568715	0.20008570404363674
  6	 0.2621498786973559	 0.5595371660909572	 0.6085769471064069	 0.6889653812543374	 0.5588925404998686	 0.6126280759912298	 0.6996132247115926	 0.5488785151116656	 0.2292532529209771	0.19853086797043162	 0.2495986822179879	0.42486358324278156	 0.3025779192862018	0.13636190253145153	0.20921873156085966	 0.5797740406051565	 0.5121308794073679	 0.2130249378251149	 0.1986370745633713	   0.54730215696787	 0.5996280008300732	0.23629853383674346	0.49070661559361695	 0.7282634135646731	 0.4974775968281571	 0.6029403352601901	0.23548373727846406	 0.6950308753291452	0.29409670198131127	 0.1820698402976324	0.19715824770146514	0.17445395327640448	0.18536589793995653	 0.6796747514995646	 0.5704540450371647	 0.5402205951236255	 0.2894825185502515	 0.1970549395872887	0.41517720103379463	 0.6206062959280636	 0.6683583214307647	0.22804853844523088	0.38946122841195746	 0.5180159527690303	0.15854354604011903	0.19291303953988492	 0.4558996446561554	0.18565056037541347	0.46158609493328284	  0.633019512073094
  7	 0.2022325507993032	0.17800242897995336	0.21291840556771421	 0.2731800280361217	 0.6032510573493446	 0.5843478054239845	 0.7136241882350686	0.27417327963903626	0.31000085307978764	 0.1833671937198287	0.27491661008854945	  0.385903570253179	 0.5337242182204891	 0.6498652823789235	0.24029214843301183	 0.6070921483110693	 0.6075504429792723	 0.5706364140738223	 0.4432961951983815	 0.6462030907102936	 0.6126467002946036	  0.543253444210765	 0.5726153304338832	 0.1946797703738867	0.24337658958194436	0.13377817787756036	0.35141277735518595	0.29543262127234926	 0.7420590779507754	  0.526698520374359	0.25447979046293995	0.22674022113246836	 0.6257563848088681	 0.2557516143242694	 0.5698623109874261	 0.4496885400223561	  0.652030981907325	 0.6012263646137443	0.20705032301715967	0.14974516438618143	 0.6910563101450125	 0.2513292692541968	 0.5506575253725154	 0.6649019061953567	0.16163591187745735	0.24889612391126129	 0.5932859429971237	 0.3017808871098177	  0.496336722450102	 0.5564103276835457
  8	  0.463663033583307	 0.6805595107152671	0.15230532283403397	 0.2116051940458463	 0.5512817793439622	 0.2550179928138791	 0.6440015968667525	 0.5859425330079794	 0.6216424551397984	 0.6774751020364467	0.21603028555739864	 0.3668472738637603	 0.6051134411343267	 0.5246997208823533	0.16224386913375508	 0.5177942255372698	  0.638183430478707	 0.2792330011783012	 0.6367976173956135	0.16416271583156988	0.45368841492167816	 0.6273667197305997	 0.6837404214598584	  0.762148489105342	0.35083977128615784	0.12677859041366818	0.20831397920023417	 0.3121307943848116	0.25170283318046094	 0.6430176527974028	 0.7088197160021044	 0.3756236524449247	 0.1018653307640876	0.26922288933511845	 0.5057145245260998	 0.6209100567903303	0.48162266894021044	0.32638013228628554	0.34839063196292885	 0.1281450744563152	0.16051337988443262	0.19762441870024175	 0.1883498084451108	 0.5189102083091093	0.13346304525750907	 0.3574216778842698	 0.4825649879407571	 0.2481194106956488	0.17193541864657091	0.22591401220999646
  9	 0.1645234301374267	  0.643606439952344	0.18702807693348183	 0.5294897648138374	 0.2744191304365842	0.47839178336459554	0.24803420085481803	0.19073434490349853	 0.2180171508332732	 0.5415632844309268	 0.7455263694694477	 0.5877154215649754	0.29327824598194224	 0.4877356083369592	 0.6485487721617538	0.46440386016866114	0.10230181050959292	 0.6590140000911991	0.20827612622494718	 0.6378068254278931	0.24298847280771116	0.16789564373204258	 0.1383014240730912	 0.6388504808372338	 0.5460996403604197	0.14386334582505614	 0.5655037829332608	  0.267085396102955	 0.6859230392904004	 0.6459309248724445	 0.6658423740728526	0.32770809272545653	0.12557080546012844	 0.1630871007846425	0.24102898030143735	0.20444004618357373	 0.2532620429661388	 0.2567768766791362	 0.6630471111255488	 0.6429413734388376	 0.1984166275970252	 0.5284928650830194	 0.6023050382140213	 0.4661000109471275	 0.4978178628810604	  0.256917106995455	0.20057962027144957	 0.6045126521068267	 0.2516698091223586	0.28996509952386423
