# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# ir
  0	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007
  1	0.08806909939124247	0.02727342971266167	0.05362027722229692	0.029285013236608547	0.03371908568873691	0.02433868583715789	0.020462019829199807	0.01980616186789726	  0.082605431797883	0.020000000000000007	0.03909337359479098	0.038893502093187954	0.02260868836378531	0.020161514365192628	0.07789678304930034	0.020000000000000007	0.05881075763731462	0.06496957349699276	0.04482775478804115	0.02318946065147918	0.02410889613528497	0.06599719655045676	0.030465356101135196	0.020000000000000007	0.017864929986155617	0.03961294968681722	0.028935413073223046	0.020174110811725855	0.029129805618551278	0.020000000000000007	0.02446209674447962	0.01974657467229616	 0.0819920866600048	0.03160772233741104	0.05299472295670342	0.09313172921614239	0.034584439140559614	0.04473063048941236	0.029123437786230374	0.06104238293278899	0.019490899466507606	0.030580548952894224	0.01910725800220486	0.05823244508301444	0.04181682276885784	0.020935809885894847	0.02862980648477487	0.017890528189153963	0.10926492077988405	0.060200331590016525
  2	0.09735407992629057	0.03224685277222668	0.05015452877687708	0.033277514187362446	 0.0617222104640577	0.028060506388809473	0.022214124181781644	0.03542636508457103	0.15076480722779784	0.17508149790780714	0.19168472876176904	0.060409711476807695	0.11115078942900335	0.023784315750009097	0.07450629739233329	0.13303102058356603	0.11878603330688689	0.07696329030810765	0.026773047806505655	0.10898180689770291	0.05060415637370754	 0.2841962863936562	0.14865560685991908	0.06981726407274687	0.08765828091904584	0.05150134300470209	0.13763314307250987	 0.2709821478221405	0.023783587813285476	0.06146458721271019	0.04387514799353135	0.24295506519387722	0.022959824251024937	0.03937647184364769	0.03011476791007928	0.04579378275652421	0.07343987630012165	0.024697798263675547	0.018575177126543812	0.05006689528533834	0.021635536162600437	0.02453683469662589	0.042751264758715136	0.04715729671467563	0.032017056882084456	0.018166888357265862	0.14136919492471364	0.046761745688265466	0.06714461601454408	0.08359568741060239
  3	0.08151721881273417	0.02666059995019792	0.19268191703306015	0.27480759319225734	0.12093831776999614	0.027677926302921426	0.020936631250503542	    0.0539599422416	0.22705349492121307	 0.0741637544470474	0.05367261739572626	0.023376985706213906	0.07852036012232602	0.04174216435092879	 0.2972521684352999	0.06839045766860495	 0.2430976597313754	0.10659818585162002	0.14694870446093258	0.058240409054765366	 0.2111601640891387	0.15223658161979553	 0.4468939255941568	0.20249322296849726	0.11587862855574653	0.14293056165870696	0.13734686707556107	 0.2699496202039937	0.029766306086903185	0.15390575700105338	0.07785993315869484	0.053522890871924904	0.20340529839103424	0.11201626114648328	0.02492886375773981	0.027201379217075702	0.035249088857969374	0.023211282225047536	0.06249252405182435	0.08343595568338358	0.020481691206577227	0.03188526213274728	0.020000000000000007	0.05047521751431486	0.10748617958347627	0.05823733628438108	0.02384819180103592	0.07187561562385397	0.058203479003072295	0.16844612737884176
  4	0.20242858244971113	 0.0443702920074941	0.21302117028403927	0.19005416235986428	0.07768750972886986	 0.0764499880908656	0.08236024275597366	 0.0160377371084533	0.20149775636688105	0.07322365525140227	0.058021356799128204	0.03425728698676883	0.14570092864638576	0.06664582428330026	  0.527879983700632	0.07713784986538778	0.051695108241963744	0.16004312121157696	0.062062445913696196	0.030971636874618104	0.16100936366997312	0.07318221880912243	 0.0792074904202309	0.12749512965038165	0.07457389499937374	 0.2011787010375973	0.16453717147504027	0.40300134248337566	0.03010931521533409	0.16253682466415667	0.05005876994796865	0.29792684519183177	0.10079893270090806	  0.152045656367524	0.039750092835638656	0.030823050823487512	0.11352720794354947	0.05467164391148942	 0.5659923808823877	0.036874605600587966	0.03412115025871873	0.025809835253019813	0.03913390112898231	0.04279850320148851	 0.3009620412885944	0.06746911304454913	0.05078506989545519	 0.0579860108466637	0.09627843269578641	 0.1359671312243277
  5	0.030608003285844523	0.03927392025048121	0.11996015529961797	 0.4966864493164824	0.13698749091359502	0.11641763789891237	0.12249377080072624	0.02541499468012585	0.07042723589337789	0.23746037798938738	0.06741969651623372	0.023067751847709653	0.46345112878286904	 0.1192714098936246	0.24474632929405146	0.22654028979268953	0.11885697425252911	0.06589462060254415	0.18782489287120663	0.06686517952324145	0.054459335648743855	0.05188253229967312	0.03649576457568655	0.15981276869997096	0.11613671204421262	0.19488997816956832	0.11836752728061153	0.08924924909087727	 0.0678640460029169	0.14588004727653842	0.06140809705697991	 0.2783124742090453	0.11774788489474798	0.15314881692444926	0.01792152011409913	0.03483277572140939	0.13004527388780834	0.022872767468347623	 0.8460020344968374	 0.0919799220907413	0.045643225037146073	 0.0423406785665313	 0.0377482920879752	0.022804335884066208	 0.3098958991198357	  0.518882088343199	0.06200221857370539	0.06263255849359366	0.05145166139067564	0.03447477092473753
  6	0.07210131702210586	0.09842871659100794	0.16963927172711618	 1.1722771566795247	0.13739421497079982	0.03847599547297415	0.15749902919737527	0.11533043326854356	0.06425366684720789	 0.1745882687769965	 0.3873277253054321	0.07291130108881788	 0.2976433788671022	0.041833102751146746	  0.430300772971372	0.026389942553860804	0.29106707821418465	0.17301992356961893	0.13430036838944376	0.20578176686559085	0.06429130908161863	0.12684605596714918	0.10622027956705553	 0.2783286184159528	 0.3603932633213472	0.16222620849493133	0.04273674370140836	0.18906281436783093	0.12371432079822454	0.14134674190740232	0.029171206063799287	 0.2921506566214591	0.19382570892431214	0.040490210448144826	0.04933125759149948	0.033275735081205224	 0.2175610394894913	0.05906775209058613	 0.9063837415985782	0.030865227598882078	0.030284521136082505	0.08138411979386362	0.042061810218851386	0.02308854707406531	 0.2716867244001126	0.06996291385787344	0.06778643455250027	 0.2477091446697365	0.08493585085639038	0.05059693767386955
  7	0.09733579283375335	0.06510917364237964	0.12157864127644913	  0.633094850059837	0.17216622947397764	0.09013981601557171	0.19369702880739773	0.21070988420408074	0.05998088782381153	0.07900820161444992	0.07542960545629725	0.07022649010044205	 0.2565098685040731	 0.0710813604892142	0.24650218641125426	0.10260634261647397	0.026304911693365712	 0.1015526913818836	0.061586138865656545	  0.223088556836902	 0.1556381467317271	0.11872230497873217	 0.2353394420469193	0.23106470190677925	0.35200095587247104	0.10277491625514074	0.047017932423872165	 0.2694278936134504	0.07534738781569444	0.16023596872574206	0.09110077095615138	0.05318260914206473	0.07513224678553099	0.03861698437500632	0.06064012246076558	0.05520990363500675	 0.1260992274316763	0.05184632250846124	 0.3330913700189218	 0.0547649027095612	 0.0290720475435144	0.13648721095307081	0.035229037885016586	0.027679778144561885	0.11697878393258147	0.06272998689929057	0.026575405352627052	0.22009004097041124	0.06388705248767057	0.03687269006246185
  8	0.05405686885665739	0.053771728782024714	0.042646197536208526	 1.2217257041705212	0.30748258293975134	0.06417233888664682	0.17299164674730189	 0.0736247332875763	0.03980039355931822	0.08112271853023892	0.11821836193318362	0.059047423654261966	  0.438638874772068	0.12480132799295346	 0.2750578451673953	0.04296427190646401	0.040773151288129056	0.08566738716500356	0.11731698363061467	0.20520376402792975	  0.147758291917053	0.14702914535467768	0.07911835787138136	0.10268107171643381	 0.1728800944200411	0.022124397215781872	0.11807150856611853	 0.3654987911784739	0.10655890052917474	 0.1672897360694813	0.14934225573477658	 0.1486287139725395	0.08344216689953342	 0.0322418787556375	 0.0769265757212908	 0.0456024685613503	0.04772548600783242	0.08461905134813896	0.41602666773728586	0.053561517197322696	 0.1725259458944362	0.07715241209430297	0.13506567373138825	0.02395932063420549	0.02812844475149106	0.07375393915080328	0.05657211036529742	 0.4668740555303526	0.08238018077713853	0.05943808798265314
  9	0.24547605482099966	0.05486000596323829	0.11745733067741136	0.08732859189180031	0.41842241000053965	0.08659768454939737	 0.5112895321458811	0.17768110884308366	0.18925051690542818	0.23742523430155402	0.18428657521690325	0.06215635542592664	0.11750132284125997	 0.1191135189592637	0.08341644193252357	0.05240417994246289	0.03421693657296595	0.07380068655795617	0.04363013684834405	0.039760344848889864	0.08824444626242244	0.23258560083930319	0.14642258350728082	0.06215251408960284	0.17554439696386911	0.02871446085473199	 0.2564245795105529	0.05295891827254548	0.07430368089778243	0.22301426893600193	0.07820923401684707	0.15905807458541507	0.037958053194708664	0.05883377323234886	0.33008674700917934	0.09720730157297604	0.04563026837859585	0.09806946922146477	 0.3786565059234809	0.06340454693053255	0.023656660382832474	0.16148133912028392	 0.1622528703116598	0.021004847269964936	0.040708011655754224	0.08620811495424208	0.07456709399986897	0.03020869386859142	0.036664244813516815	 0.0494429000318374
 10	 0.0732992958116111	0.02799011585356471	0.039376211773288344	0.22532395248233322	 0.3926245965063281	0.18892098924069609	 0.1712084061416343	0.04142993944375767	0.07469452358032638	0.20494885135002533	0.16093769101368158	0.04579903945361402	 0.0557548654709672	0.06539211275355818	0.14195603834084783	0.20034118637932916	0.020197031240996744	0.08042169027876282	0.06946083671126266	0.12118550293922334	0.026663931181875666	 0.1941861160610033	0.029257391124561452	0.06608780652643208	  0.130967897837889	0.11829710490026897	0.23694734346582957	0.18408020382529502	 0.2118539390429467	  0.147044496890527	0.035266163701548184	0.05845609217491404	0.26927968779284217	 0.0527872154419869	0.06789708820612189	  0.088838520894218	0.04801455102168682	0.24787387154533036	 0.1285253416080038	0.10846810476894611	0.04219369203526452	0.08724700294696247	 0.1910429779217381	0.04862319080742677	0.07547682744737937	0.11334309438858321	0.028971394126909248	0.07950950360025674	 0.0821957697387903	0.13872569870927753
 11	0.06770306757856089	0.12305787393946135	0.10884745423175855	0.16009620835135274	 0.3702775718264253	0.05669994919449287	  0.143697576487106	0.039812961839188546	0.026798988502778717	 0.2594988224999908	0.04505019784300446	 0.1412684896244105	0.10200929998949088	0.03620359048115173	0.10486527250257749	0.01722370100148912	0.13081481027844027	 0.1963263094975272	   0.09945517224602	0.05495359842621978	0.025604410610967177	0.29726006616837464	 0.0693752255791383	0.13442825299245548	0.10435281273397277	0.06202465776218177	0.14500568981567016	0.16349484130381253	0.17191860758180968	0.04060523559757383	0.27287878930757065	0.05871601191138552	0.07085122935823797	0.05559737954938363	0.01810628833639686	0.08319880106710614	0.02909483863056103	0.11408591486286172	0.10918589161078533	0.08097533684212209	0.01936926840897622	0.22836634535741393	 0.1651420079298714	0.05754053656738872	0.03167303881029246	0.09878397845279763	0.18784368715238742	0.03404405749188034	0.019320812485984724	 0.6549652048389681
 12	0.11979121225598244	0.03847944666766196	0.06516506218157404	0.11301876058925597	 0.3280476364036765	0.12238311270141809	0.15276385038010498	0.04525882688483709	0.06125251361760149	0.16470714095587316	0.04025489526849522	 0.1325492850846055	0.04306705076778485	 0.3131166086970958	0.08021062858212506	 0.0335717699950913	0.027649696031539984	 0.1514788250297217	0.02563187937025108	0.09318585736417484	0.05956203429186004	   0.28969113761866	0.11023269976380394	0.022879878241001045	 0.1650127120654967	0.060052378738775315	0.21592708304947678	 0.1217916364480411	 0.0535988806160948	0.19307026066710134	0.17785383297216767	0.10071729252744471	0.10143133901649339	0.11466483489590339	0.10857885565656358	0.033306644475698075	0.030101263015617587	0.25686277945357755	0.15636663020231867	 0.1782093327363076	0.29792780345368264	0.19246892101713164	0.04601477229894591	0.05075820089229242	0.015626237138071188	0.18092963145004418	0.14696918692785682	 0.1610726335667183	0.024634093384782355	0.07145188091732177
