# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# leverage
  0	  0.119843489010778	  0.119843489010778	0.12015399124525858	0.12212900989346982	  0.122822136168192	0.11819666710720586	0.11725503541794616	 0.1219588950761693	0.12063128567094512	0.12206706450682808	0.12111726292346134	0.11682905071261702	 0.1230718840931525	0.11331468798212492	0.12288979704603017	0.12124160659904487	0.11403483484482564	0.11707894557159923	0.11940108048845166	0.11980714623855236	0.11651180552546482	 0.1154431804006924	0.11896901171243474	0.11409691768456218	0.12068517521406288	 0.1180170697675523	0.12257420428430316	0.11984142742898328	0.11681403896009769	0.12201041706599619	0.11787304362419664	0.12149827899307823	 0.1215442576320139	0.11547490206490424	0.11864716420224154	0.11924362379571957	 0.1221890459590651	0.12100885556606897	0.11763471690893351	0.11796542836222024	0.12313526726318981	 0.1193625836611459	0.12182351565778644	0.11892329944168406	0.11827441946086747	0.12134979398585231	0.11859351224078049	 0.1185745263866732	0.12228679619918341	 0.1138995753898678
  1	0.10793749568341021	0.10793749568341021	0.11694600891796675	0.11416644199486382	0.11750898142152048	 0.1114722634107916	0.11036040217267376	0.11159944194958545	0.11732197453197185	0.11864495585639225	0.11016895007486006	   0.11643523697867	0.11436073935750189	0.11135418673251798	 0.1190811989106014	0.11794971396061894	 0.1121850245675523	0.11737204480951142	 0.1144493762980773	 0.1160846702650008	  0.111767053987142	0.11479182324969621	 0.1154324814775037	0.11514252126976147	0.11974798531999127	0.11377459273435855	0.11813872115687671	0.11742164289493441	0.11666160918112362	   0.11229955639535	0.11949085070143585	0.11587885097688311	0.12213370791422569	 0.1116434278746904	0.11966879477734514	 0.1100616279816472	 0.1120710150661588	 0.1199252701255192	0.11244983289715625	0.11077886405373821	0.10902799317493077	0.11827057439245968	0.11359606396412295	0.10537084714386333	0.11295665227022736	0.11714159478588247	0.11363150588095744	0.11223484307554381	0.11688293545844568	 0.1183599399041027
  2	0.10890263016714537	0.10890263016714537	0.11266820056857453	0.10880123853214148	0.11144648137213771	0.10892200537686177	0.10868763094535722	 0.1093704557785427	0.11564845654528665	0.11520232595016376	0.10893663955817877	0.11301047368911953	0.10447910251027549	0.11004919793275685	0.11467339291230648	 0.1128729415857434	0.10366492850061708	0.11083515612532108	0.11283893788103132	0.11542784429840582	0.11104893102072655	0.10952249164418573	0.10209170082348322	0.11120132920155236	0.11505134056744984	0.11123505749628824	0.11165554211688349	0.11075478345735412	0.10809866276305388	0.11266185426079262	0.11229030178222402	0.10728675504681856	0.12013177478367056	0.11307378071374567	0.11529608750984414	0.10116945454887928	0.10588745479687497	0.11453295713474514	0.09971341720680214	0.09923796730807508	0.10203662721463225	0.11690417055818307	0.10999262622054332	0.09512369300071398	 0.1065354864642479	 0.1151650630230552	0.10486492953682816	0.11168446130802316	0.11413324548211938	0.10992419278207707
  3	0.09938110653398782	 0.0952380347182158	0.10100492136307526	0.10347130715284247	0.10860581688151497	0.11672331937887044	0.10669987917934601	0.10613729750395295	0.11766350998560067	0.11043753355638634	0.10167346854791426	0.11360458256079065	0.09904040112420479	 0.1110007729734675	0.11332850588442035	0.11230298959569186	0.10772836424846503	0.09471864788646567	0.11482521130463835	0.11358023003413238	0.10503425546772621	0.10400745436161393	0.11036083639092205	0.09744961121506787	0.11064125604352462	0.11190927208213991	0.11179092288490448	0.11575270830964073	0.10766635763775195	0.10956413739515111	0.10951320901138754	0.09541321830952754	0.11960343810485574	 0.1075731577699857	0.10979507487411548	0.10337820818196919	0.10231165095159332	0.11513336667551005	0.09465055770020453	 0.1017950390893807	0.10481740575914722	0.11416846694197719	0.10283266562343484	0.09640961380304251	0.10147945926864507	0.10640219787654324	0.09347288772116405	0.11206767601939144	0.09706032842686603	0.10193271124732334
  4	 0.1016066606201247	  0.101719610686612	0.10063601120158905	 0.0996919232095998	0.10391275973891913	0.11062061163598358	0.10164277806165836	0.10499559610944038	 0.1068528109581492	0.09964560836339906	0.10608617812782396	0.10064332598667022	0.09472470785927477	0.11282066647232139	0.11102931810743369	0.11207941088227864	0.10561757507925923	0.11226915295859052	0.11344444436247271	 0.1129563068589285	0.09835287062566918	0.09293122212894049	0.10831654513179091	0.10204389613197427	0.10757218595139899	0.11015699936491047	0.10693197788492859	 0.1140913715047019	0.10263127226449567	0.10874254762209139	0.10582646417143932	0.09392270298254252	0.11894257739117911	0.10568806288159785	0.11118040135088025	0.10278911385430776	0.09722627686939697	0.11533336558968092	0.10147853618328181	0.09924131839357728	0.10266894164065504	0.11419803774983044	0.10914245043080104	0.08521054826327713	0.09802717167715341	0.10417525400279251	0.09066667729840315	0.10311517089891244	0.09001254609400519	0.10783311919371913
  5	 0.1027454013746723	0.09396506244862911	0.10164808580154183	0.10245519912892345	  0.091944715157913	 0.1038301568044429	 0.1114736483938229	0.10783631751688079	 0.1063646469647992	 0.1017476639581283	0.10735861526801081	0.10438476830938286	 0.0962119484635599	0.10836150287531415	0.10488331441394821	0.10620471464316786	0.11306736965595646	0.10033966689023152	0.11110742163668434	0.11592322646253475	0.09490481377851155	0.10462232040844797	 0.1054133785719954	0.10375324472510997	0.10986457727102021	0.11234248734434094	0.10576087597659033	0.12005159907189747	0.10504287404862328	0.09880150146339021	0.10527449543306233	0.08426415894413404	0.11281416564636274	0.10941325389064308	0.10769340131685144	0.10100258331347431	0.09769223456481399	0.11577314524446501	0.10080639183729842	0.09760674787041915	0.09984560857581172	0.10649535623828107	0.10647405435004596	0.09781449089762095	0.09869572180406766	0.10502394814953979	0.10268984553423978	0.11628073684761343	0.09316373847322244	0.10478692083813439
  6	0.10093434567530617	0.09742175862313264	 0.1146514696288607	 0.0983687526982184	0.09430246144527636	0.09968505931887356	0.10503504592182475	0.10462058896906859	0.10366189046243308	0.10494125144453785	0.10330933579900321	0.10164508657043596	0.09787138344965465	 0.1001598954934197	0.09743898531888646	0.09394230343642583	0.10476354879116528	0.09781346569765154	0.11101632611954297	0.11499938978947875	0.09916651500905814	0.09417231490852616	 0.0926301184881444	0.10005134767753235	0.11063114401609646	 0.1053461990429574	0.10878654255657101	0.11974877995606761	0.09625627512081268	0.09919636976809718	0.10935548331995842	0.08251385438406465	0.11055732534242817	0.11369709238450793	0.10787817084066628	0.10592280384314848	0.10148973375310508	0.11430674548054463	0.09902464837886805	0.09523412189577392	0.10284111638175186	0.10592173715536206	0.10809477126084185	0.09297534182164503	0.09109167631101142	0.10606024233427108	0.10545260577486153	0.11298103075765428	0.08717441094283734	0.10808672546627009
  7	0.10441421541282032	0.10456540407831241	0.10974006940335317	0.09586543348565561	0.09760880878120917	0.10245667084144705	0.10210667160238324	0.10395109209772084	0.09696953639764029	0.11055636089721531	0.09393938903475121	0.09293328024047971	0.09833642312481511	0.09760189214482808	0.09366495795195214	0.08293019532217297	0.10801722361595834	0.09453953557978002	0.10796466969529453	0.10728486596244581	0.09192559785221968	0.09513142758339832	0.09899483260882397	0.10330385844542292	0.10675259726043068	0.10126680604439993	0.10477631658040144	0.12114575275807488	0.09923810879262682	 0.0897602282067042	0.10372594958697345	0.09783425564982073	0.10518130063340171	0.10955497006815279	0.10547290614063552	 0.0958722905543425	0.09868749690029308	0.11178157552049424	0.10710455477333826	 0.0947692411731744	0.10329537932479503	0.10312482556451019	0.10652527713453029	0.08825489124592069	0.08233516004311678	0.09695292821089954	0.10292660179412144	 0.1060253200491182	 0.0873482835156754	0.10518724110506959
  8	0.09574060481058966	0.09712995118262531	0.11086246439471477	0.09009371030597167	0.10463513713211285	0.11007321603870596	0.11009828718730086	0.10786488727203837	0.09707114706101021	0.11249695304453323	0.10198683642158324	0.10379659510877186	0.10955032800156507	0.10677097064719737	0.08935372214688318	0.09525422805019296	 0.1048142752159048	0.10279033656084371	0.10827115875800652	0.10044912952944535	0.09954841135870282	0.09443271416187107	0.09531339293708516	0.10234900324918003	0.11099416528583639	0.09987445181251581	0.09924778952404031	 0.1079807119349668	0.09785464897480967	0.07804496213592463	0.09706714508886444	0.08992915567257562	 0.1049674091333693	0.10604046363939709	0.09716618967150542	0.10427956434398192	0.09853364588622732	0.10672637548048293	0.10401113522484808	0.09049566171357591	0.10147036306592244	0.09985976282018941	0.10699989962192583	0.09725641907819624	0.08044069587755555	0.10171709567248285	0.10515679274430793	 0.1056134259321022	 0.0911299677657666	 0.0967538810148309
  9	0.10192614018273194	0.10225364077885389	0.10723979173012953	  0.085662338821901	0.10199369948210474	 0.1105124596597309	0.10828396339099418	0.10195889712748127	0.09974381116603348	0.10590598047970706	0.09563503628919146	0.09608908663152692	0.10440599003519119	0.10983414889785224	0.09225306060111232	 0.1039900436881901	0.10151473353456675	0.09718678378809718	0.10322378431978649	0.09868231385581652	0.08915039320389902	0.09069372492225428	0.08868656698515469	0.09445992576022565	0.10891104950981338	0.11039831317933922	0.09890275936061575	 0.1075826929500766	0.09755733125454008	 0.0904978133292282	0.09400548132884073	  0.091093460010712	0.09844772174416488	0.11034208015579133	0.09749622175353059	0.09698079367007878	0.09097511366100482	0.10306613029910011	0.09690710778151512	0.07924052459863769	0.09345571457803642	0.09841370830805994	0.10679209910328803	0.09968826234275449	0.09535604501225176	0.10411736285618561	 0.0961592784522082	0.10554420018289447	0.09440561111750621	0.09978253966024589
 10	0.10054628884748112	0.09864635470657049	0.10160394331961856	 0.0798304397744558	0.10247067157704642	0.11271316520090892	0.10406162127430722	0.09961442289744221	0.09905828183629328	0.10759845012822902	0.09839119232244611	0.09391444759000642	0.10085437952353599	 0.1034224768826833	0.08842387375069193	0.10028539029787245	0.10167742027024858	0.09472800008560352	0.10444123414323261	0.10736843552044706	 0.0844635413084453	0.09620505127437394	0.09029066349447311	0.08893595165769351	0.10614297680650595	0.09835279877864873	0.11530766257866919	0.10548129169413188	 0.0924521884469943	0.09384038962634443	0.10032119134213613	0.09766892633109922	0.09355380186344572	0.10506900165344811	0.09659931812677108	0.10503910216803394	0.08847490876022059	 0.0973216256253239	0.09529210085746882	0.07265106804486382	0.09144035481832993	 0.0929204459314146	0.11375563869368141	0.09556243244032464	0.09589794415698273	0.10795481777519848	0.09066429856956165	0.10794316561186389	0.07867549845963348	0.09622617611317703
 11	0.10309471297907384	 0.0938879010655249	0.09832369580351402	0.08915372476942444	0.09656275513126693	0.10519533686014385	0.10486093427504307	0.10044962703164144	 0.1042125870391704	0.10535068987711198	0.10207784046530884	0.09719581329282999	0.10635369144323971	0.10384179957788495	0.08699039994052718	 0.0967599858474485	0.10602919606902779	0.08329518062969889	 0.1025264507180704	0.10084046884424058	0.08290834649568662	0.09292529438922018	0.09358509414912013	0.10060716299857027	 0.1035534758559267	0.09786113480897658	0.11446926224765225	0.08550493737911377	0.08300182323278905	0.09351599690627709	0.09549785019499062	 0.0960060794723929	0.09973441210176341	0.10818314502595577	0.10406227229921818	0.10415769632167772	0.09288280141823586	0.09519389798287603	0.09203579165670968	0.09319661779562687	0.09084367009454386	0.09599740970814348	0.10857816119531755	0.09092772522908377	0.08741236270794012	0.09665544196481411	0.09405509768425929	0.10436687545564333	0.08308918331488803	0.09666605383025846
 12	0.10435180278273277	0.09862396651918562	 0.0926829989724516	 0.0860079001844204	0.09134982063973868	0.10867043026961323	0.09548627638071056	0.10035226256394532	 0.1010974841767618	0.09984446200116338	0.10639746838068329	0.09460764091806867	0.09982034457181226	0.09877454883636347	0.08517039861419338	0.09895929359813466	0.09946253671736648	0.09125725002449277	0.09245782588291669	0.10063835847278693	0.09066516399905236	0.09410535615500272	0.09224541962751522	0.09665548754326946	0.10209541794738854	 0.1023956464788275	0.10482300007569137	 0.0862462379466008	0.07822900148532687	0.09602537261281797	0.09555042787479205	0.09722680084880686	0.10109549080894716	0.10111379981566286	0.10492496446359781	0.10292546182836759	0.09962150963343162	0.09853500337942725	0.09559472374164234	0.08819065301500306	0.08742613714380458	0.09253563261699804	0.11224892029790105	0.09862942999580207	0.09394781653045825	 0.0956995987165882	 0.0922639808101963	0.10619000700398053	0.07677576813701395	0.09469985441079894
 13	 0.0980453891637902	0.09727389330532774	0.09559670790398604	0.09534019045805493	0.08993794088037549	0.10541383378905828	0.10003496412447944	0.10711947451044888	0.10541466268664891	0.11248695821256961	 0.0999194221910543	0.10000431778537805	0.10003822742289087	0.09907276621815253	0.09005248594536813	0.09759980535666415	0.09629661679260193	0.09468299207411343	0.09732254484705076	0.09871854495005271	0.08992528820059999	0.09196633180486131	0.08775995091786962	0.09342253070798233	0.10082477320567997	0.10165907215604081	0.11025051344980107	0.09138159817347628	0.09119231236890282	 0.0954567359159803	0.09177298400460021	0.09480371494565847	0.10156784803625218	0.10528948159475282	0.10858931834798112	0.10090046188241568	0.08566039418816639	0.09868920913588557	0.10170832374199992	0.09331456058450048	0.08177305017035795	0.09974268834151384	 0.1116445846941872	0.09542363357017242	0.09575121590529868	0.09904613808145388	0.09748332000745888	0.10703509024498502	0.07876731801025681	0.09926841322703395
 14	  0.091323959420652	0.09581775999846943	0.10101462138454766	 0.0931581922448901	0.08003828284446932	0.09241540805829249	 0.1011079981465687	0.10604427336715234	0.10661203908447041	0.10936410822611692	0.10889092741969358	0.11166153098964837	0.10130450574756943	 0.1019227244765859	0.08784699370698683	0.08573524128976112	0.09179654429418825	0.08639182375338036	0.08880930223313208	 0.0988399670859295	0.08248663676683492	0.09774007075574843	0.09074548201529899	0.10206482534575077	0.10024598327067798	0.09933735626163577	0.10989225081282682	0.09826983631011527	0.09609195758016653	 0.0884796308607535	0.09581560837301285	0.09136074777015857	 0.0986875127858743	0.10959314796119304	0.10684492715086209	0.09592415375713241	0.08822126156227705	0.08436849089734197	0.10746263737773393	0.08870795072551502	0.07833392547941848	0.10023517834325756	0.10427394514048713	 0.0914496271286435	0.08817929151719783	0.10177720839562783	0.10506869047760489	0.10856793838069384	0.08592464908776522	0.09278286694621304
 15	0.09613615988361862	0.08759993037764156	0.09898669209804106	0.08501452568418838	0.09702017161429398	0.09561802026431765	0.10534254861121102	0.10948086102687965	0.10360108057660528	0.10492251112443811	 0.1053995498924119	 0.1134295548033921	 0.1008492989120858	0.10826073280450309	0.09681964445354276	0.08965971634645944	0.09345161592996322	0.09010703775712788	0.08827636185078269	 0.0956860198447354	0.07890075549616805	0.09166413607415366	0.09338013837457051	0.10038649523182162	0.10242594716031611	 0.0894612474069638	0.10762133811854588	0.09368590805814803	0.08891713584446474	0.08556749099918935	 0.0908130991060775	0.10305899246654537	0.09734980064305093	0.10778454146857311	 0.1051759421233238	0.10622596238805922	0.09637701008985687	0.08810209206136896	 0.1072007001919228	0.09153683831671873	 0.0763364360250169	 0.0972589263981682	0.11420269078217399	0.09271909456492469	0.09386177217209533	0.09968967009562574	0.08942978997046248	 0.1068546117074996	0.08332468995861224	0.09823982354106317
 16	0.09804992541222798	0.08155750911462972	0.09277233303947352	 0.0784849193556864	0.08966927255329236	0.09811502207591336	0.10713184721653088	0.10923117077075824	0.10326968704828556	0.10308412679485926	  0.097071599244855	0.10716095245045829	0.09727605996688161	0.10179442660950784	0.10900327056950627	0.08774456618174657	0.09353388252990003	0.10197973456727003	 0.0914714629804274	0.09463568163765164	0.08555803972209235	0.10002225528383696	0.09495175665040403	0.10917779808487114	0.10411594694938399	0.09385912464504279	0.10179223861761866	0.09229109318884515	 0.0904693809789489	0.08992207135904116	0.08835519007708133	0.09685725623678829	0.10517768321187047	0.11610941066051636	0.10876298491835336	0.10249802575138628	0.11072008040538643	0.09057439169430079	0.10442756992634901	 0.0908923200156352	0.07240488607585086	0.09935911288718968	0.11586629309991986	0.10006267986077509	0.08826899195927662	0.10054502888385086	0.08741385392563998	0.10162193425978808	0.07961021457377045	0.09747786502569886
 17	0.09431074560864804	0.09235477882747248	0.09352923917281121	0.07501731214341988	0.08412535522206932	0.09108043324233978	 0.1049897778136874	0.11343107323685686	0.09775059585929081	0.10240244407482982	0.10253252047505945	0.10290226377356598	0.10069562148295828	0.09744952676782766	0.09887685172504568	0.09109239269176479	0.09094234006238681	0.10419330014519917	0.09200775163668895	0.09035830149419777	 0.1055250269372947	0.09817479331626756	0.08964291079237569	 0.1075974874938637	0.09189259813511677	0.09506650950421867	0.09868026041428601	0.09458271199315378	 0.0872826007456528	0.08746957831119871	0.08355464247163887	 0.0947823479880182	0.10171032888388248	0.10666317963073643	0.10845931087937362	 0.0932598758953142	0.11187864812734025	0.08133989789990932	0.09757038626484794	0.08203021613006736	0.07434657807788944	0.09408226899751457	0.11700753554338827	0.10306201643638095	0.08174088865609994	0.09908481518335525	0.09407754485661007	 0.1035225244392612	0.06693687430511253	0.09180602373910561
 18	0.09540849225327562	 0.0969183563976271	0.08798818397296668	0.06739892393381951	 0.0875729490505093	0.08435117828419136	0.10907192336346064	0.10991185397105797	0.08689015985199212	0.10935459320008498	0.10742072886194722	0.09800368711814297	0.10706571011980409	0.09879714605312834	 0.0976517475839699	0.09535387233189029	0.09134769516254736	0.09882798493728834	0.09391867033441334	0.09606468944361433	0.09426725183279108	0.08964011984232804	0.09240186306081882	0.10445563540001812	0.09323959052867554	0.10370493395906331	  0.097178541305573	 0.0948693913136149	0.07690379855931787	0.08511144104550633	0.08701631840665129	0.09287294588187255	0.09961198650679495	0.10323954188243288	0.10508506571855436	0.09024220949472248	0.10645079157767431	0.09741537760167633	0.09405947256664826	0.08473151816470131	 0.0697869308052901	  0.089593770632179	 0.1161748666927103	0.10030861455826909	 0.0822523832146603	0.09898728556906543	0.09513450559532081	0.10026333631903141	 0.0691951229265581	0.09143203404509824
