# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# liquidity
  0	  1995.272093182967	  1995.272093182967	 1819.6629518429227	  1544.178623055996	 1560.0011126372601	 1330.6455987840086	 1566.8477252209707	 1747.3082127653886	 1605.3819133918228	  1909.707063854661	 1445.2770885043728	 1376.1359790063311	 1726.8721163495748	  1530.399820495723	  1817.000771329802	  1774.743395795091	 1627.7639731500549	 1722.3467145700156	  1892.264033556432	 1695.2331308778448	 1403.7341947349883	 1499.1408114550882	 1720.7770371166162	 1578.5140322274115	  1534.459539852377	 1524.5642230849269	 1676.4322057633026	 1513.0616331874614	 1624.9629388807195	 1637.3838765260157	   1317.01388928311	 1817.9804610881781	 1802.1071496846405	 1617.5505885183884	 1727.2570043984717	 1648.2374878967291	  1559.313138849347	  1495.369561656578	 1572.9216832064208	 1321.2400211751378	  1777.210771873034	 1886.4631429274993	 1597.2629621335732	 1697.8394707460182	 1522.5664273411764	  1765.081732095473	 1453.7304383517337	 1753.3404779694424	 1485.5446436701898	 1529.6974047303247
  1	  2057.396382420866	  2057.396382420866	  1758.443215123876	 1667.8200773519072	 1759.9859202000844	 1524.5172652265333	 1788.8328040103274	 1801.1955185084487	 1932.0343724908203	  2026.279034686941	 1673.9683754767602	 1673.9955597601368	  1592.798238910048	 2007.2449186575202	 1584.9025781634666	  2005.084910296271	 2021.4590455431041	 1796.6630075651751	  2084.237095374109	 2011.2914141455442	 2041.5820115941433	 1785.2674421216993	 1744.7555516390032	 1751.1749316515604	  1817.476647576017	 1759.4063014092383	 2021.9883066442728	 1821.4466186886461	 1784.7454750328147	 1834.0361859835261	 1597.0487460241889	  1932.069884291204	 2025.4203616198326	 2018.0769178611076	  2081.712090738317	 1758.3473252520569	 1981.6147033846387	 1786.1717711005606	 1673.4368861898167	 1950.1381595669957	 2044.1531161993134	  2267.360411907413	   1686.00075356515	 1640.3546652279247	 1859.5601554103998	 2322.5735341946656	 1911.8390092168963	     1936.080200723	  2066.787196930502	 1771.0704847250322
  2	 2049.9747745043614	 2049.9747745043614	 1874.5672986282289	 2022.2064311143067	 1936.2885946573347	 1843.7151672886125	  1715.660911711048	 1742.3711847032198	 2074.6490220463756	  2378.227203066568	 1676.6367068454817	 2020.2517571588853	 2015.9763326531422	   2282.41751627553	 1657.8874770342754	 2101.2000952066915	 2019.6915968467667	 1796.3606506836404	  2476.437552318928	 2053.7254240141824	  2015.653520946191	 2312.7039198127536	 1923.8183843038257	 1713.7531348272692	   1729.87822781835	 2037.5274749499636	 2003.9655864416395	 1901.8758858261467	 1969.3404212750531	 1713.2238563438605	 1807.2094379940636	  2230.157797168414	 2042.5775681970495	 2432.5480134016943	 2187.5547022471533	  2179.749919254199	 2091.5458336280503	 1932.0567476915176	  1983.690901780104	 1699.9908140446732	 2207.0402819693936	  2081.426030280005	 1769.5966759628577	 1565.0764520879543	  1966.330148319003	  2163.667194484219	 1948.2802014249592	 1625.2579596498992	  2268.982286657122	 1836.7517625793926
  3	  1929.265549940721	  1901.481671550206	   2253.29710485758	  2277.604090716396	  2096.313936036892	  1801.474283507676	 1968.2272419693752	 1806.3091167753505	  2144.869486852301	 2695.3766939822513	  2319.898558155272	  1924.632300418275	 1859.7457443953851	 2580.6146851603157	 1695.0836393255663	  1761.170165626174	 1754.7707483636873	 2040.9149634200057	  2338.038515845836	 1936.7030688418545	  2463.699348360237	 2240.2552701163254	 2389.1277582460243	 1945.5265286009542	 1749.0292083523818	 2109.0341048098508	  2089.578014440172	  2075.602259218748	 1941.1000243320154	 1876.0766577937761	 1737.6509160640855	 2249.7910820709444	  2300.864522682244	   2235.41688121293	  2362.451274061435	  2244.566610307291	 2168.2203029583984	 1847.7750927229415	   1901.45508158842	  2179.581756896361	  2410.184510051805	  2310.963862453098	 1930.0825768823115	  1661.853476506409	 2254.4732573717515	 2135.3166375836918	 2116.9682773876525	 1699.7044359302874	 2284.0916281513146	 1722.8817476538802
  4	 2229.5205618057857	  2243.774382959035	  2187.799437251584	  2518.947476336529	   2325.50342033091	 1734.2797339677295	  2141.298894477583	 1934.6775865551353	 2460.0631007403053	 2865.0220221299414	 2385.1654203761536	  1987.797740264773	  2051.687236439345	  2346.551733535647	 1973.7484214546441	 1665.5011198103932	 1863.4844247049525	 1958.8542384996724	   2402.32892818993	 1859.8759184460419	 2382.0922441309945	 2633.6427264662634	 2123.1709402826164	   2348.74056844243	  2118.457453445698	 2271.0170332744124	 2089.3647427096103	  2268.159288089954	 2255.3207246056063	 1918.5591412901563	 1654.8476663674023	 2389.0377072607766	  2780.111911189713	  1833.393445248443	 2696.6028985029493	 2287.0026247359397	 2399.2229400296574	  2137.280329870662	 1849.9909721181582	 2043.8114474510494	 2768.0771293190382	 2179.1591212157873	 1919.4381638967277	 1601.3905221385323	 1985.0313257634236	  2128.508742047413	 1992.6927403718428	 1937.4994750040498	 2721.3560467092702	 2124.4581524370724
  5	  1897.202762156168	  2120.123267322343	  2548.164249383069	   2397.78453429989	  2251.564257250539	 1737.6853033921182	  2403.391401420774	 1776.7053984997265	 2196.1009733808387	 2790.5713681949583	 2340.9107889667594	 1878.2880010888418	 1782.3891857100894	 2541.7683378323954	 2033.0099881552558	 1943.1455649595014	 2220.9104014208133	 1779.8621968369173	 2293.9343139179523	  2018.110926457572	 2187.0427392747647	 2654.5633775075926	 2292.6838233931035	 2361.1091306812446	 2134.8627632676557	 2611.9349933299573	  2430.412068194466	 2208.6398472243854	 2060.4841194832607	  2263.521446582211	 2185.4820944395406	 2192.2646941771786	 2498.9528894846494	  2166.356692033272	 2661.5042983406224	 2054.3030091226947	 2519.8111144403906	 1876.6938422520002	 1648.3898544386914	 2231.1112197907323	  3136.677875669266	  2487.020769097597	 2174.9637398147584	 1891.2903137722742	  2496.410696163831	 1872.8650092631572	 2279.5844076639137	 2021.3352877998323	 2848.3836429722332	 2088.2657578237163
  6	 2154.8781709424406	 2550.6917413342585	  3039.065556703849	 2802.0294940836866	 2227.4756661712336	 1913.9279031624594	  2543.197995269355	  2197.548649083163	  2648.880716263102	   3018.99083417903	  2584.229800631259	 2149.1724912166546	 1794.5160764512134	 2259.8260172305363	 2476.3269057740044	 1988.6131772633557	 2274.2404217280805	  2065.117389400353	  1827.836367081432	  2278.355656065725	 2200.4779988906894	 2795.5091427735706	 2553.7837071730864	  2356.020211112924	 2124.9176409331744	 2681.6222637131377	 2542.4966878531973	  2361.300030939126	 2368.6725449081323	 2100.0524429958355	 2416.2492614374696	  2327.128421160681	 2167.4352074424137	 2187.6403180919588	  3133.989120263902	 2224.5949979426227	  2818.346111775431	  2175.369906302412	 1786.1311223010157	 2049.5647822199853	  3438.562896658301	 2443.6631533050813	 2058.7973438938725	 1821.3252080167954	 2833.5783491306624	  2139.448623543436	  2304.092529267603	 2159.0561189610353	 2883.8002330174113	 2363.1571910336015
  7	 1955.9399461347416	  2545.023271903627	  3075.817392265857	  2966.608263898828	 2467.1905045475505	 1639.9312297832116	 3061.9874151143363	 2408.6007803350108	   2438.81340343765	 2951.0313779992357	 2386.1981943603037	 2530.3164181196903	 1652.6494632205658	 1838.5249360105086	 2783.7940331289615	 1674.3213351101153	  2463.401937957373	 2172.2461397274647	 2030.7916056086679	  2389.018260975568	  2485.698057774199	  2669.971697010366	  2332.472477678459	  2269.581027539212	 1828.8109503193577	  2997.081692646102	 2531.6037701853443	 2691.4506185240784	  2309.785793347981	   2249.42365137859	 2573.6335331582945	  2486.881596359532	 2115.7630050702223	   2405.67386784521	   2617.56866434669	 2226.3550679034247	  2588.974245367472	  2474.540566062381	 1967.5143066090955	  2634.662758884482	 3417.0269065430525	 2838.9924949396895	  2357.723228122335	 1925.3927732880154	  2787.365951814332	 2565.7726662730465	 2445.5565200813116	  2630.670416212179	  2660.368758009275	 2093.1459877904053
  8	 2020.6996219548648	  2854.536501103441	 3283.0579540785584	  2824.554523249587	  2594.763976536144	 1846.7980332428572	 2595.6886277232293	 2247.3772300782102	 2547.0187591442595	  2861.925485670412	 2646.6035963313816	  2275.465003221466	  1751.366918374569	 2042.1405814194488	 2449.5736400707124	 1954.5607962793024	  2537.658562755831	 2359.9296567030397	 2304.6558966616417	 2291.5305261207186	 2847.0232588806084	 3043.5422296297943	 2460.5180508764797	 2038.6611307781177	 2038.6777739413374	 2361.7617038659982	  2588.196942422678	   2755.19058482569	 2632.2885362601774	 2662.0572018457046	 2872.5721584013886	 2252.9919784625545	 2368.1557274413844	  2557.697082951465	 2756.5350459247147	 2435.3105150562474	  2970.540769211323	 2670.0862649735545	   2104.52247953648	  2459.722651081641	  3042.171234123519	  2775.568489385446	 2697.0267620802906	 2051.0984146919354	 2673.2039673139507	  2784.782116123901	  2455.603366023051	 2795.5628888605556	  2884.776298507737	 2071.7879601188383
  9	   2499.68029378174	 3017.2457052653313	  2962.795156036721	  2988.216159189895	 2522.2278079786925	  1941.682602268717	  2600.281850845285	  2305.004769445811	 2857.1110961650647	  2849.683253427305	 2770.8395628424287	  2789.730635101199	 2056.6730377349904	   2072.85063676598	  2317.675093361535	  1962.943712193162	 2593.8680271791054	 2081.5963776588596	  2433.993228757872	 2191.9769769740483	 2980.4912457834057	  3189.288540200137	  2320.499834805329	 2289.8432455183547	 2144.6621809689245	 2629.3758078780725	  2707.594536806979	 2679.2301498266406	  2356.793171985986	  2849.471621835305	 2613.7882793512704	  2303.484705077895	 2500.2846389275724	 2072.8954381652607	  2729.321553679024	  2361.558335621543	 2653.1078370185205	 2329.1550721616472	 2145.2980874301124	 2233.0747326921505	  2935.315538555894	 3215.3738946932804	  2714.743128878296	   2138.59778856439	 2859.5829357088282	  2985.807808531646	  2621.898061997632	 2982.5850302297818	 3047.1323125097056	 2079.6139987173133
