# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# rationing
  0	  8.608527588382117	  8.608527588382117	  39.90855410328824	 1.1052303119380866	 24.423723473760035	 19.980907166777598	 11.050976225664442	  5.079418291745284	  16.21341444758619	  33.43206816845111	  16.59803519084535	  4.508738424210378	   38.4782062140621	 26.732290316421583	 15.797668710652104	 13.344169647930343	 21.733756125567524	 37.916006883995394	 15.330622275506371	  32.70468673303979	  21.74812715346677	  1.433753255811041	  19.34308165510204	                0.0	 23.501039625085397	  8.392817528491932	                0.0	  22.50902145587324	 13.417297373476998	                0.0	 23.131882785284304	 15.227035363976071	 30.463402943936487	  3.291711772069945	 24.840694423784086	  32.18844625320776	 21.527759628250337	  15.70951992056996	 3.1446951447356497	 15.812845092117243	  32.31950184314755	  33.23472795960879	  40.52142447902986	 10.804078630833757	  18.26119029895615	  49.14043889798167	  18.04502689559874	 15.049520413351232	 16.999522623363816	 22.135708729116075
  1	  48.44928040223721	  48.44928040223721	 39.401157872123434	  42.75418923792518	  38.21937868787455	  73.12826600958826	 28.019561643845336	 30.334535825463647	  34.76528476503971	  52.84273613540478	  86.11451994802391	  31.09251110106814	  37.51426969995342	  65.53276393915137	  26.67379224551692	  48.60313147005033	 15.545353051520877	  57.42716565720278	  62.20595820533156	  23.46747855961746	 58.014113385191436	 102.13671557632378	  31.14034162431355	  66.99112418959608	 40.848192788959764	 26.079602938890687	  88.58536256492167	   65.4589001304089	  65.03189404298577	 111.82803286606966	  88.78880808074166	 39.294820252276025	  73.18902592348735	  66.19866497369303	  21.96127085270487	  49.15758100314109	  45.21169820440558	 19.321700671543674	 138.19602382917935	   39.4122867821046	  87.98606371879863	  67.82867286107478	  39.32738413469572	  48.05359810177342	 10.004428144919558	 144.51952403358752	  45.84544202948602	  87.02019503745609	   66.5427314543749	   71.2050156306607
  2	  34.98370118559971	  46.70029529188919	  54.37583623251959	   31.9404828936583	  47.40800365684459	 26.325817742873582	  7.628996902366552	  66.90569484183645	  92.69086385788401	  50.64668728112561	  46.98962662280478	 26.157020820392773	  90.98549529066464	 10.077634448369963	  32.67659242885986	  91.04238116351851	 20.374981238802835	   7.15688098521467	  32.60596676637341	 104.53593118193265	  59.24437119637851	 14.313899593845221	 2.1478287471351933	 159.19639042827896	 51.905336186634145	  54.43433149332357	   34.4875488374812	  67.43652277931228	  128.4872367132558	 54.988823742798374	   90.0638414502263	 62.016384641353824	  68.50614252614521	  51.57144599310001	 27.924545610976196	 2.1012542069662743	  34.34585421766566	 14.741153340344852	 10.644870383319471	  9.192371097181521	  77.01052260912702	 60.838980157431436	  36.54241877912331	 120.55169508751405	  78.68424795102672	  78.44116039234522	 45.191081303432384	 100.18864481752375	 20.369556648655617	  80.17411929752093
  3	  81.53478064064984	  45.42249643242229	  73.28028254068681	 14.086364853373016	 103.72494534638373	  37.28434142765492	  47.36601568183421	 34.396968830379585	  50.70063944164217	  50.27720965181027	  39.23801435242617	 19.092613688577487	  13.60694872097281	 17.087311005215994	  58.56673454986177	 36.062121788832215	  92.42641587791111	  58.62485294334101	  25.53935492776553	  97.92902648795423	  5.110097973079235	  30.02925866315414	 37.659910165892754	  8.012502985463172	  51.18384998206142	 28.421381890441396	 110.00317179917882	 27.955146365358956	  65.58946123457942	  17.03452841574375	 120.00782342506375	  65.15714965019335	 53.939493452395695	 24.121487269801236	 34.314854403967885	  70.01670664369247	  58.72867395887903	  67.33861789918939	  52.88859850024771	  56.34117472736584	 19.168078948515458	  8.195886674372431	 36.466638426295134	  20.55405649857289	 101.08116533572456	  77.34478966113792	 22.607049747471734	  81.32833487033928	  49.02264113120148	 46.240632287449145
  4	 12.713582509869056	 15.532607544512189	 62.696921758290244	  69.57204070941947	  72.83750734441455	  11.18341911621556	  50.02610631218971	  73.27503635382112	 56.177647570878754	  27.90838356781627	 49.706213257285526	  98.79280910231773	 133.46530739779553	 29.509626271933392	  46.81584802950542	  85.87683936637549	  50.65532006124557	  47.51299061722186	  39.77420421540006	  64.60786169354371	 58.958028665939565	 58.809774846754394	 3.7959328108101573	 31.934646541180697	  5.287575155795977	  50.77115878510294	 33.809245695562666	  78.48374204226387	  5.932581652600945	 19.331335988246167	  35.21316999743115	  39.92327808514975	  94.45604630447404	  59.66149827519838	  55.27725712184108	  3.864549376156784	  43.32718210503161	  59.23090537595992	  7.954169410997295	  8.462410889786781	  44.97471300877031	 26.808991357276263	 30.550002922760793	  39.69133924138693	 57.443338380640554	 107.11078487909018	   34.0403438743871	  76.88502060996649	  33.30203069858892	 26.487779732761894
  5	    17.443744269481	 17.202841089185497	 26.623776356770193	  51.98613719921923	  65.88289071435213	   84.9871348134309	  87.20663625959301	   43.3287888775036	  32.86333346099297	 36.075186301109056	 35.647823521040216	 113.47035646423103	  63.76045265163161	 22.974243951895318	  68.20261582463321	  32.70981906294999	 169.24285554037755	  75.56370019117983	 30.499365684390668	  39.45918814366259	  58.13256138638376	  30.71199862109384	 1.9692587294312034	  22.64307523643322	    95.695954377258	  61.51794081694965	  39.43680456486965	  9.192544686602915	   83.5131476334263	  85.11008781577699	 24.603229203759426	  55.79360367638979	  73.93064300610773	  40.67264368753915	  92.46817852959283	 37.578896604102255	   95.3620055090132	 27.658502789641222	  59.68921259545789	  101.7662548704186	 26.674016441992222	  79.26500742935852	  85.98682750540908	 100.52700546007571	  78.14715635973702	   14.3234472783071	 26.474824085822604	    69.169065664387	  92.73698925829072	 12.622957585234722
  6	  78.29398568887794	  57.70938479467799	 24.986140643385625	  54.98000250813102	  89.19345146790172	  70.04005840411006	  8.671855496397995	 129.66436717900632	 106.34771787663269	  78.26996308172642	  4.297290675081555	  74.45806358703624	  36.74936477271149	 16.913885432915876	 31.134951187090707	  90.20086233029417	  47.86558126585376	 25.367749774447148	  83.51952922037192	 25.393650154720646	  41.58007718485395	  23.04427928961738	   33.0634297475534	  64.80952156193732	  90.81099947511238	  36.57189102883477	  77.07645905425574	  54.52482516597637	  37.27521825698142	 42.341717780229075	  64.93016579198847	  57.28611300151698	 26.796055603836486	 125.14372245036627	   95.9383854508891	  73.16029355434533	  22.89676729135948	 52.311242878677206	  41.54013492249901	  68.04256604638914	 54.788066491687786	  6.773896528773378	 3.9200847967429695	  39.12278070865627	 30.426383106021163	  43.87089143327843	 52.413328640494086	 62.968752535313456	 32.137442699083394	 29.692076071303802
  7	  70.66042080994758	 38.708459760779505	  48.92659059991257	  53.94377568209928	 21.180968262858713	  70.77274373285739	  50.78963934171024	 40.166007905628504	                0.0	  52.35678141289294	  4.932075321180577	 31.802886695083828	  50.39799470919142	 55.821195054453426	  43.86352833796097	 25.795712024317638	   68.4497722163162	 49.801431494925666	 14.452231611595835	 117.14942551906682	  65.32220483770996	 19.003664802825313	  138.2671495483348	  60.66059939338243	 126.52775689643322	  48.52561116587887	  55.84479338686887	  34.08036074187676	  22.78952882623318	  48.64785132937067	   101.112267014479	  54.30754762850158	 42.316319728314355	 24.479963606778366	  53.32846164429703	 19.937819389936674	 10.191603119017884	 60.875473508019155	 23.506443683158338	  53.37630748327645	  78.81605785161867	  65.58111431285572	  3.385832126881226	 18.979807579142758	 20.037238672611835	 22.057198356974435	 41.064832644487836	 28.957851041530816	  40.27538631905401	  4.571804315277092
  8	  47.56385725698807	   32.1636020452335	  46.08589928630029	   66.6237796167473	 39.646398821461844	  47.19356992172326	  14.96942387239308	 17.875459644803428	  61.02103893831543	 41.494648489831285	  92.76755004203316	 21.803373834970238	  49.90301803596115	  35.95041820173847	  72.04911240150696	 21.435388658285035	  39.43678798773692	  14.63047584768151	  38.54562336412906	  74.54176259035056	  69.33135322810892	  64.08924797034723	  46.30168083648422	 52.830063996065114	  84.86012089420285	 113.52246869563027	   42.5682338646445	 49.304937126193835	  7.860132025791771	 14.811565745776576	 55.267920839830765	  32.29119132164007	 30.577758250205505	 13.295264786269769	  17.24840683573455	  32.70343469740939	 37.756874793675784	 107.45546607239008	  63.40166119218469	  79.84978414364538	  49.19357071529802	 51.639463712615324	  28.76319410756159	                0.0	  51.05907459722542	  83.52011187699001	  31.91946174656165	 16.384300099049867	 32.500504238790256	 26.620195355842398
  9	  15.76938174962379	 24.223733828239602	  30.55631831049439	 26.690916838219266	  9.841968046629276	  59.48207352793462	  4.118248003037891	  75.32525430760514	  84.73269684972988	  59.01309370760279	 22.156922308848877	 34.181809389783936	  101.5596271503782	 29.657485665681875	  59.78496216392014	  59.24313236738951	  55.53114700595016	   46.2702048898207	  30.14247109048867	  36.13421420535073	                0.0	 25.332664440668182	  25.34798665336426	  39.84028094806098	  81.16261751886954	   52.4784696681225	 28.854349286550956	 46.052383205556595	                0.0	  66.50272083360169	                0.0	  50.74643030645848	  72.69113365914028	  52.04531798256445	                0.0	  41.57878260258262	  33.71218087686299	 14.487995230360411	  16.26843058880634	 24.254903019153957	  76.18189080333201	 20.630907420914582	  55.33520417401131	  41.93654552563629	  97.74508113249158	    40.868432182989	   85.4469254113469	   62.8606841809993	  65.67734165803502	  14.35898581332836
