# n	sum_policy	sum_fitness	sum_liquidity	sum_ir	sum_bankruptcy	sum_best_lender	sum_best_num_clients	sum_credit_channels	sum_rationing	sum_leverage
  0	              163.0	 496.82767931593503	 3151175.2259178218	 168.18544097040404	             9456.0	            25668.0	             4720.0	             3193.0	 40645.011124489974	  94.40823363498848
  1	              174.0	   493.636763518943	 3182034.5485678883	 147.73920899653388	             9340.0	            24724.0	             4722.0	             3092.0	  40358.93630463222	  97.57643412664734
  2	              175.0	  490.5921705043314	 3181027.9468172435	  133.3584642310843	             9311.0	            25111.0	             4652.0	             3175.0	  39704.95586673649	  95.11467613857275
  3	              167.0	 507.47812820257263	  3210325.261947398	 176.63331255129833	             9432.0	            25151.0	             4749.0	             3187.0	  42343.47955637623	  99.45109586440873
  4	              160.0	 508.43437331829875	 3059161.8302173484	  144.9808830701751	             9720.0	            24245.0	             4688.0	             3237.0	  41579.87248597831	  96.88345762187039
  5	              168.0	  499.0387351427109	  3052518.438071017	 139.70424149774124	             9545.0	            23748.0	             4770.0	             3231.0	  42473.15282917435	  94.50932378827285
  6	              184.0	  491.2173502102872	  3215367.392632807	 158.04354103740516	             9473.0	            24663.0	             4726.0	             3154.0	  41538.65848304899	   97.0118138096309
  7	              178.0	 498.69022507374507	 3027523.0494374456	 135.01118804252044	             9447.0	            24256.0	             4743.0	             3133.0	 41595.014272678585	  96.78617601151237
  8	              144.0	  508.8203765929129	 3293095.9238021206	 138.22222933090657	             9314.0	            24010.0	             4755.0	             3126.0	  40985.16177272804	  96.83737872776237
  9	              176.0	  516.4010081921588	  3215302.702715202	 142.61396970573074	             9520.0	            24358.0	             4796.0	             3234.0	  41555.08065513267	  96.47345877972401
 10	              163.0	 497.68641991457815	 3033576.8600587714	   140.371758396499	             9462.0	            24674.0	             4665.0	             3039.0	 41092.680332296804	  97.56957285094006
 11	              177.0	 501.75631120950464	  3049647.038311607	 137.57637806091137	             9585.0	            24901.0	             4714.0	             3211.0	   42473.2524790595	  96.25367656273663
 12	              186.0	 495.47040083751426	 3171177.9483583476	  141.3690657237629	             9544.0	            25040.0	             4744.0	             3204.0	  41963.84235832356	  96.84264071262956
 13	              166.0	 501.20020028483594	 3027076.9092903007	 130.02271373191041	             9486.0	            24061.0	             4729.0	             3220.0	  41193.92978163731	  95.53408967031312
 14	              156.0	  500.7535696509761	 3092955.7604026166	 136.67627848236435	             9432.0	            25376.0	             4804.0	             3184.0	 42206.425960106135	    96.948041206348
 15	              154.0	  511.2366778592653	  3148561.780913658	 129.36195325014668	             9435.0	            23596.0	             4770.0	             3241.0	  40274.51256076634	   96.1293015381561
 16	              152.0	  501.0327181282224	 3065215.8493247945	  128.1332179260977	             9509.0	            24505.0	             4750.0	             3193.0	  42592.14923244941	   96.5153664537254
