# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# bankruptcy
  0	                 12	                 12	                 13	                  4	                  2	                  9	                 11	                 11	                  7	                 13	                  8	                 11	                  6	                  8	                  6	                 12	                 10	                 10	                  9	                  6	                 12	                  8	                 12	                  9	                 10	                  7	                 13	                  9	                  5	                  8	                  7	                 10	                  5	                  8	                  9	                  6	                 10	                  4	                  6	                  4	                  6	                  9	                  8	                 13	                 15	                 11	                  9	                  7	                  4	                  9
  1	                 12	                 12	                 13	                  7	                 13	                  9	                  9	                 16	                 11	                 11	                 11	                  9	                 12	                 12	                 13	                 10	                  6	                 12	                 11	                 14	                  7	                 14	                 11	                 13	                 15	                 11	                  5	                 14	                 13	                 12	                 11	                 10	                  9	                 10	                 10	                  6	                 13	                 12	                 11	                  9	                 15	                 11	                 10	                 18	                 15	                 15	                 11	                 10	                  8	                 15
  2	                 11	                  9	                 10	                 11	                 11	                 20	                  9	                 14	                 10	                 15	                 13	                 13	                 13	                  9	                  9	                  9	                  7	                 16	                 12	                 14	                 12	                  8	                 12	                  8	                 16	                 14	                 18	                 10	                  9	                 11	                 12	                 12	                 19	                  8	                 13	                  8	                 15	                 14	                 11	                 17	                  8	                 12	                 15	                 11	                 14	                 15	                  6	                  6	                 11	                 15
  3	                 13	                 15	                 10	                 10	                 12	                 11	                  7	                 12	                 12	                 14	                  7	                 10	                 10	                 11	                  7	                  9	                 16	                  8	                 10	                 16	                 10	                  9	                  7	                 10	                 20	                  8	                  8	                  8	                 10	                 12	                 11	                  7	                  8	                 11	                 11	                 11	                 12	                 11	                 12	                  7	                  3	                  9	                  9	                 14	                 16	                 16	                 11	                  7	                 13	                 12
  4	                 11	                 10	                 12	                 11	                 11	                 17	                 14	                 10	                  7	                  7	                  7	                 15	                 13	                 10	                 16	                 15	                 11	                 10	                 11	                  8	                 10	                 10	                  6	                 11	                 11	                 11	                 11	                 10	                 12	                  7	                 11	                 13	                 13	                 10	                 11	                 13	                 15	                 12	                  9	                  9	                  8	                 13	                 19	                  6	                  9	                 13	                 13	                  8	                  7	                  5
  5	                 10	                 11	                 15	                 11	                 16	                 10	                 10	                 15	                  7	                  8	                 10	                 11	                 14	                 12	                 12	                  9	                  5	                 11	                  7	                 11	                 14	                 12	                 12	                 11	                 22	                 11	                  5	                 15	                 10	                 11	                 13	                 10	                 10	                 14	                  8	                  7	                 15	                 12	                 11	                 10	                  7	                  5	                  8	                  7	                  9	                 11	                 14	                  9	                 12	                  8
  6	                 10	                  9	                 11	                 10	                  7	                 14	                 10	                 10	                  7	                  8	                  8	                  8	                 10	                  8	                  8	                 16	                 12	                 11	                  8	                  9	                 16	                  7	                  8	                 10	                 12	                 11	                  9	                 14	                 13	                 13	                  8	                  9	                 15	                 10	                 10	                 12	                 11	                 11	                 10	                  9	                  8	                 10	                  9	                 11	                 10	                 11	                 12	                  7	                 14	                  8
  7	                 12	                 11	                 10	                 14	                  9	                  9	                  6	                 11	                  6	                 13	                 13	                  9	                 17	                 14	                 10	                  9	                 14	                  8	                 13	                 11	                 13	                  7	                  8	                  9	                 16	                 12	                  6	                  6	                 11	                 10	                 18	                 10	                 11	                 10	                  9	                  6	                  7	                  2	                 11	                 11	                 12	                 11	                  9	                  7	                  7	                 13	                  8	                 16	                 12	                  6
  8	                 10	                  6	                 11	                 13	                  9	                 16	                  9	                  6	                  9	                  9	                  9	                  9	                  9	                  7	                  7	                 13	                  7	                 13	                 10	                  5	                  6	                  9	                  9	                  5	                 21	                 13	                 13	                  3	                 12	                 10	                  8	                 11	                 18	                 16	                 10	                 10	                 11	                 12	                 10	                  5	                 12	                 13	                 15	                  3	                 15	                  9	                 14	                  9	                 11	                  8
  9	                  9	                  9	                 16	                 12	                  7	                 13	                  6	                  3	                 10	                  7	                  9	                 12	                  9	                 17	                 10	                  8	                 13	                 13	                 11	                 21	                  6	                  9	                 18	                 10	                  5	                 13	                 12	                  6	                  6	                  8	                  8	                 11	                 10	                  9	                 10	                 12	                  9	                 12	                 12	                 14	                  9	                 11	                 10	                  8	                 10	                 10	                 13	                 10	                  7	                  8
