# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# best_lender
  0	                 43	                 43	                 14	                 46	                 38	                 11	                 13	                 14	                 19	                 39	                 36	                 36	                  4	                 33	                 26	                 41	                  9	                 27	                 24	                 10	                 14	                 26	                 27	                  2	                 28	                 31	                 12	                 43	                 11	                 35	                 36	                 23	                  5	                 49	                 25	                 28	                 27	                 25	                 16	                 42	                 30	                 36	                 16	                 15	                 41	                 34	                 17	                 11	                 38	                 33
  1	                 18	                 18	                 17	                 46	                  0	                 13	                 11	                 23	                  1	                 25	                  6	                 17	                 32	                  2	                 12	                 40	                 27	                  5	                 44	                 10	                 24	                 20	                 27	                 47	                 28	                 41	                  3	                  7	                 22	                 12	                 36	                 22	                 41	                  7	                 30	                 21	                 29	                 15	                  1	                 33	                 48	                 38	                 29	                 12	                 12	                 39	                 20	                 33	                 38	                 11
  2	                 30	                 46	                 29	                 46	                 19	                 33	                 11	                 25	                 40	                 17	                 30	                  7	                 19	                  2	                  0	                 33	                  8	                 12	                 44	                 16	                 13	                  8	                 47	                 47	                 49	                  9	                 33	                 12	                 30	                  4	                 10	                 38	                  1	                 49	                 30	                 32	                 22	                 34	                  1	                 25	                 48	                 16	                 41	                 12	                 18	                 32	                  9	                 25	                  5	                 34
  3	                 18	                 22	                 24	                 46	                 46	                 18	                 11	                 35	                 40	                 33	                  5	                 16	                 14	                 12	                 45	                 33	                 47	                 43	                 48	                 12	                 11	                 25	                 16	                  6	                 21	                  9	                 39	                 12	                 45	                  5	                  2	                  3	                 28	                 49	                 30	                 32	                  0	                 31	                  1	                 25	                  0	                 25	                 37	                  7	                  1	                 43	                  0	                 10	                 28	                 31
  4	                 42	                  3	                 12	                 14	                  6	                  2	                 26	                 16	                 40	                 17	                  5	                 16	                  7	                 39	                  6	                 37	                 47	                 34	                 48	                 18	                 34	                  4	                 16	                  6	                 11	                 10	                 39	                 28	                 11	                 24	                 10	                 17	                 34	                 49	                 30	                 32	                 27	                 14	                  1	                 25	                  0	                  3	                 37	                 49	                 42	                 23	                  0	                 10	                 49	                 37
  5	                 22	                  7	                  3	                 19	                 49	                  2	                 43	                 44	                 16	                 28	                 29	                 44	                 36	                 12	                 30	                 34	                 47	                 19	                 22	                  3	                 31	                 25	                 10	                 48	                 44	                 28	                  1	                 28	                 13	                 21	                 10	                  2	                 38	                 17	                 30	                 18	                 46	                 14	                 19	                 25	                 14	                  3	                 31	                  4	                 16	                 23	                 29	                  0	                 15	                 37
  6	                  3	                 14	                 39	                 41	                 11	                 43	                 43	                 36	                 48	                 10	                 12	                 44	                 31	                 26	                  7	                 37	                 49	                 47	                 31	                 48	                 40	                 19	                 42	                 36	                  8	                 28	                  0	                 28	                 11	                 15	                  6	                  0	                 38	                 17	                 47	                 45	                 27	                  1	                 12	                 25	                 33	                  3	                 25	                 47	                  2	                 13	                 13	                  9	                  1	                 37
  7	                 35	                 17	                 46	                 45	                 11	                  6	                 43	                  9	                 45	                 12	                 13	                 38	                 13	                 26	                 19	                 37	                 30	                 47	                 31	                 18	                 40	                 49	                 10	                 18	                 19	                 35	                  5	                 28	                 15	                 20	                 21	                  0	                 14	                 29	                 24	                 35	                 19	                  5	                  7	                 23	                 42	                  3	                 25	                  8	                 25	                 13	                  0	                 31	                 27	                 19
  8	                 48	                  7	                 24	                 45	                 41	                 32	                 43	                 31	                 45	                 14	                 13	                 23	                 17	                 26	                 30	                 37	                 23	                  2	                 46	                 40	                  2	                 19	                 10	                 18	                  2	                 45	                  5	                 18	                 11	                 26	                  1	                  0	                 18	                 49	                 39	                 49	                 10	                  5	                 47	                 16	                  9	                  3	                 27	                 29	                 38	                 13	                 18	                 31	                 47	                  5
  9	                 48	                 19	                  7	                  5	                 11	                  8	                 34	                 12	                 45	                 14	                 20	                 13	                 32	                 27	                 30	                 48	                 19	                 42	                 26	                  1	                  2	                 19	                 10	                 30	                  4	                  6	                 17	                 22	                 10	                 49	                  1	                  0	                 13	                  8	                 27	                 48	                 11	                 31	                  7	                  0	                 33	                  8	                  9	                 41	                 44	                 26	                 37	                 10	                 47	                 12
 10	                 48	                 19	                 14	                 24	                 23	                  8	                 34	                 12	                 31	                 14	                 20	                 26	                 49	                 27	                 30	                 17	                  0	                 42	                 26	                 18	                 38	                 14	                 15	                 22	                 35	                  6	                 12	                 22	                 48	                 35	                 43	                  0	                 41	                  5	                 24	                 48	                 10	                  8	                  7	                  7	                 36	                 38	                 46	                 28	                 22	                 31	                 46	                 43	                  4	                 21
 11	                 45	                 15	                  2	                 24	                 31	                  8	                 45	                 12	                 25	                  4	                 36	                 44	                  1	                 49	                 30	                 17	                 34	                 42	                 26	                 13	                 19	                 47	                 37	                 37	                 36	                  6	                 39	                 36	                  3	                 35	                 43	                 11	                 41	                  5	                 42	                  0	                 11	                 31	                  7	                 13	                 46	                 24	                 13	                  5	                 20	                  2	                 14	                 29	                 46	                 31
