# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# fitness
  0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0	                0.0
  1	 0.7405521487416457	 0.7405521487416457	 0.3531464924307274	 0.7791083663017254	0.49382462507967445	 0.4289813061137604	 0.3653050423503273	 0.4482166071095551	 0.6761573650774045	0.35918684283782104	 0.7999999999999998	 0.7720493254371142	 0.5368303128369109	0.36200807787944955	 0.3546443138842146	  0.671225371787229	 0.8531281777413418	 0.3829146175417744	 0.3269015281698547	 0.6129075719036261	  0.721347010161027	 0.5804525524650938	 0.4929719368379225	 0.6056726942960428	 0.3998878868834237	 0.7750318019579765	 0.8633936070515122	 0.2581099309798189	 0.6693646533496656	 0.4661703279217992	 0.2742903422271395	 0.7431173593348579	 0.5901330287840483	 0.6509612177911113	0.26664334003026796	 0.3172937609997174	 0.2940302080331334	 0.3339098509519793	0.27736334521689265	 0.7336543018732542	0.32540252650741874	 0.6537897464202485	0.26930477812232173	 0.2314243241720511	 0.5262292435267195	 0.3324470361518736	  0.634270196013912	 0.3457655381244291	 0.6256317367684732	 0.4284931858849891
  2	 0.6174579719308577	 0.2821231729029173	0.45031816067849995	 0.4931341702105486	0.22100522863488872	0.48725864284443837	 0.6768715038712927	  0.234941457166127	 0.5719617316563292	  0.507488187862948	 0.5416526844670779	  0.528161990355804	 0.5114722270774782	  0.470020106834751	 0.5706191105615886	 0.6709300230503357	 0.5413604205145219	 0.5527721726573784	 0.6241790459712218	 0.4651640140214523	 0.5076655956541124	 0.7606231932294242	 0.5795760010002056	0.17824815897170082	0.42738072174222913	 0.5819317416484346	0.24672330401860765	  0.639358310090983	 0.5728948621162295	0.22846555170105554	 0.6045111407525374	 0.5898662986493535	0.46893480239458546	0.24266855811382362	 0.4542660655290097	 0.5372633013287177	 0.5654555355471215	  0.521855622485307	  0.626185011001581	0.32168294540685616	0.30395523051095513	 0.5690111717545978	0.47033609455348574	 0.5722996813834276	 0.5554466326596664	0.14471687264751842	 0.7585699974686707	0.27734659106143467	  0.570996384961024	0.36742026394022775
  3	 0.4076895032956205	0.23842302955081793	 0.6332017789809732	 0.6449714623281473	 0.6332303938649929	 0.7494982918832901	 0.6960669624312135	 0.5903837008302293	 0.6167252105586514	0.48964247361974833	 0.6636884548956222	 0.5325769327342449	 0.6489102802680117	 0.6796504450553923	0.20100485819663994	 0.6321350400157071	 0.2515196902552484	 0.5847652351706878	 0.6957871613253066	 0.4969312541102417	 0.6984059190748048	 0.6850792122124456	 0.5679098222086403	 0.4957861292115841	 0.5080229071033965	 0.6545931424078141	0.22574031643793874	 0.6068633225521537	 0.4314687992849035	 0.5724359542583537	  0.686509897149352	0.22431924104109555	 0.5801739123817986	 0.5834402463662949	 0.5487410889794768	 0.5422291839102337	 0.5820944168940276	 0.6139820236756617	 0.6048173846875813	0.24140997070694747	 0.4983493876967643	 0.4338328591938761	 0.6371346378766751	 0.5440964311317547	 0.5467076038023562	0.46142248148618653	 0.6256253731193739	 0.6453750514847694	 0.5784069451986391	0.31030384233662395
  4	 0.1831919227528163	 0.5145954529426928	 0.2805369927573728	 0.5759890984963915	0.44750133376069107	   0.26838382718186	  0.544936333788576	0.38669460887255697	0.36698202682167014	 0.3318919003981764	 0.7011325470535168	 0.5853288110731135	 0.5700795760783182	0.41703702093421696	 0.4993211849611386	 0.5983201239636682	 0.5354718824140273	0.45546733828058644	 0.6122389684689108	 0.7197970797094054	0.22181310535525917	  0.649391379152978	 0.5626283403543536	 0.1908307180368813	0.37117253621147694	  0.233459251907676	 0.2190233655981867	 0.6672247414913511	0.24728037827879937	0.25629162475337564	 0.6797144810657595	  0.532745274136617	 0.5619643974600986	 0.5178162352935811	0.47425333198725256	0.19673578888172222	 0.5304826882319904	 0.5340078560365297	 0.6763308172346768	 0.3796588690092534	  0.590373834825243	 0.5309112697366742	 0.3924485734251555	 0.7638177045451063	 0.2241501300245732	 0.3951506436496141	 0.5365076247253994	 0.6631470272428789	 0.6255109318588052	0.14772737318267976
  5	0.15319398487479796	 0.6737167905940712	 0.5498295120893011	 0.5935173332409319	0.46130762353510607	0.21952424931175943	 0.5340116975818074	 0.5728672511286713	 0.5184960029925433	 0.6413398135451884	0.17388947554285872	 0.5947077409470924	0.14753405739681216	 0.3820947569873456	 0.5239798705281838	 0.6458029250961965	 0.7669962247087223	0.25405730431971624	 0.6130969042721878	 0.6239628647687833	 0.5841291229008554	 0.5688322126432549	 0.5126396266341889	 0.6030934978292953	0.45905836422966767	 0.5702133127655489	 0.5215585256919468	   0.28344239671719	 0.5300199075366104	 0.7042163578897446	 0.6244346799865143	0.20223389834162725	 0.5751759439327176	0.20365873993940226	 0.6374824418476007	 0.6119085358154224	 0.4844577672329399	  0.655182646245414	  0.585593005887042	 0.6347472237289024	 0.5342300921629498	 0.1987119091579098	 0.6721206008633429	 0.2152968088424217	 0.6758719709407877	0.26688703990103685	0.47157276236846823	 0.6387445294876855	  0.569605860362914	 0.1321854658944275
  6	  0.302696293686613	 0.6945276146478174	 0.6038933806097881	  0.691288833790838	0.21702410168075661	 0.5515739810946029	 0.5181328732847608	 0.5552119919871257	0.18221156785944964	 0.5485652648608387	 0.2958305998207588	 0.5650431119065874	 0.6631679337196935	 0.5566866299104173	 0.5388813280788393	 0.5462555645548186	  0.557606939319855	 0.6169792232496802	 0.3671520599168703	 0.6048866866940992	 0.5663443171611828	 0.6941829996913816	  0.672649862300713	0.25560853942391853	 0.6256884371897684	 0.6076748995627838	0.44942908376705015	 0.5788422672014152	 0.5286457565853923	 0.6257773703099044	 0.8021162137353474	 0.7131412626698724	 0.4344231024677021	 0.5604024872513261	 0.2631513607441132	 0.4726339830381074	 0.5405287669896124	 0.6699042255084102	  0.670291865952664	  0.558534214322113	 0.3049755631315417	 0.2653813698008438	0.48141392265442967	0.13396265595378262	 0.5570967323297495	 0.6179615504281624	 0.6151189053255219	   0.62736151065359	 0.5980234926668129	0.45799479056530806
  7	0.46977583817469587	 0.6227350119705001	0.18200993153377248	0.42709806140326295	0.19963398517958747	 0.6353507952297187	 0.3001758909812933	 0.5359516413451558	 0.6701653407849448	0.23573438863852467	 0.3463885821944322	   0.64084385182943	 0.4126268615325306	 0.5831859904896899	0.24919242607409245	0.17529554743869308	 0.5648151243111474	0.19187692752588917	 0.4548746976214425	 0.5977703263290951	 0.6132329461744519	  0.734204455655847	 0.5679453357099113	0.22058567746888016	0.19451220227996632	 0.5856511881474771	0.43835677920386623	 0.7207275825391135	0.25369286760181514	 0.6613926252750955	 0.5758607355207446	 0.6617207775047069	0.18689071265691262	0.22270820215840004	 0.6292511275649939	0.30470787000792837	 0.5981005703682201	 0.8728055526536922	 0.6641195437436482	 0.5720434955046257	 0.4646690733585788	  0.610659691505359	 0.6378448418669587	 0.6239179702438901	 0.5710590721125055	0.33499700189404846	 0.7633442556101678	  0.242215974734913	 0.5585732792306822	0.25794609818570735
  8	    0.5589114741975	 0.6756911782339385	 0.5583031413369215	  0.491276837331916	 0.6124759147595298	 0.5739690006814959	 0.6524472817865202	 0.5432513129248255	 0.5825261101374516	 0.6501035722927689	0.18055443171910948	 0.7090088290026187	0.14661657145064735	 0.6591470731858056	 0.7191796329205343	 0.5726380234246234	 0.5373011179449199	 0.5529694791354273	 0.5946389232304266	 0.5090798236695849	0.22170923468675205	 0.6422000051795308	 0.5250521436108226	 0.7029289869090792	 0.0980195256432072	0.19912629293118667	0.37487399291714624	 0.7805531714626999	 0.6131326090805678	 0.5713084017651416	0.15242097503141863	  0.671643699308735	 0.4731811540123352	 0.4456544731538215	 0.4925443319738323	0.17415237453451174	0.21011141565222374	 0.6768105593202671	 0.2791617886199074	 0.5324365016694973	  0.467828521029103	 0.5483212798055714	 0.5629979124865916	0.21209640832662022	  0.471168575149006	 0.5550591997857424	 0.5671818874224304	 0.5184612592143625	 0.5548785377026282	 0.3659337685668214
  9	0.38695815798781624	 0.2599785868177563	0.16863109196789924	 0.6634818968414443	 0.6242664737216137	 0.4966678904612186	 0.6985151522509052	0.20673538477200357	 0.6096751251997515	 0.4943835962471296	0.29910466009403736	0.21347734880039573	 0.6155744431611482	0.47823178632542435	 0.5374654767482712	0.18156545267666807	 0.5403201752634509	 0.5482987590707018	0.30362599333115936	 0.4501862674722678	 0.6624958328502162	 0.6269611493461253	  0.467015889983976	0.16985935965768653	 0.5404761367447355	 0.6034712175842656	  0.381803355333575	 0.6922316391956121	 0.5842695526977484	 0.6607741163466199	 0.7349975114599039	  0.639679085667961	 0.5275375545387821	 0.4663122964093743	 0.5233669086868664	 0.5020321723288999	 0.6361595499149604	 0.6802741870855697	 0.5308900892139735	 0.6205144196630124	0.44589514312244694	 0.5427575068805407	 0.5413107730136154	 0.6893084174544519	 0.5623589101504107	 0.5984548566840376	 0.1253515608069339	 0.6325840820618697	 0.5977626085809984	 0.5968704990186259
