# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# ir
  0	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007	0.020000000000000007
  1	0.019788061933805424	0.019788061933805424	0.06537679292102448	0.022878414974559346	0.04967913902662274	0.06407103857019338	0.04831078472325023	0.04133476637310543	 0.0188140707435556	0.026820064892986842	0.020000000000000007	0.019857779047227533	0.04466786559486966	0.13187959735935612	0.022175442640916997	0.04175711179425774	0.021102156655580764	0.08676003176646997	0.053613221328458936	 0.0186596840586717	0.03188766590049715	0.07997570261927804	0.04767783707245193	0.028797535044472113	0.13551027347713263	0.01963255204415946	0.02075502658450958	0.08302247530283198	0.02190100803369238	0.03457234266545421	0.28995636953405113	0.020000000000000007	0.019610154268154437	0.026316220833979734	0.09071072967720077	 0.0608718797505243	0.08483595347918146	0.03973422179333941	0.10635587362113622	0.021774629389519174	0.03168214568164829	0.029703213419780106	0.04325750554736371	0.021292768965996793	0.06250609252201832	0.025656835854026228	0.06554812549695214	0.06790250223841097	0.06273693875442181	0.05392201375945583
  2	0.05076866767318775	  0.071497029258948	0.07471499484863496	0.042206046780637455	0.03782831156931422	0.020000000000000007	0.03349279386965237	0.40187163437006973	0.02044614782741262	0.18492495283704866	0.04613403824284041	0.03343219320232302	 0.0622765243431448	0.07827341935044657	0.02442433263415284	0.13869205150461644	0.03415202519675029	0.03466794411174811	0.18318046777502558	0.38604026709400224	0.06281139128706001	0.03581939188450031	0.14415397776075284	0.10582875962726757	0.09736376125847374	0.07715675080054224	0.09507846678408903	0.07438947706514948	0.019011618268415697	0.11134075020209189	0.38508655911074824	0.13253391352264818	0.022192323295140384	0.03906981043753138	0.028476340492627282	0.14149679022296469	0.05385448091956702	0.19121582095588616	 0.1556058507582727	0.08964479196257764	0.32960473567955106	0.04121599479547781	0.08187926380120572	0.029975876960773654	 0.0373835591154593	0.020000000000000007	0.10468729004198327	0.031123464046392733	0.08661985426970192	0.049260459116508455
  3	 0.4967894458017916	 0.4320613741765339	0.026633135766892035	0.025764310392505818	0.061883247721263135	0.020636620031961123	0.04698746298903101	 0.3662791482084276	0.13617840964190694	0.07388354951688565	0.03610453703444922	0.03537127037773548	0.03694500032747143	0.027940890989136092	0.022562038042365163	0.16619036057588443	0.056374084379181705	0.019199971962444683	0.07093192903269223	0.04679852093415104	0.045943019606534435	0.03501509499852729	0.09292303911362294	0.09819380011139395	0.032045170369533645	0.047003843072348575	0.024636984616934806	0.03726776372684035	0.029202515375789533	0.18764358009529722	 0.3853085052732726	0.02664048570185668	0.07937142861558816	0.062137856236707804	0.022053873928301118	0.31252587649470764	0.09141937635038655	0.14617540486453776	0.12967105206264226	0.33619745785647726	0.18255737757503782	0.17279993978536726	0.05095610504217007	0.04970137126502681	0.05399569406204128	0.18580364702655927	 0.3196219762488283	0.05814871648848968	0.06400974796691235	0.05593033420990917
  4	 0.6778698421243858	0.09966317665362606	 0.0681730926906102	0.02819803696755921	0.09436766069426795	0.10340777835620278	0.10135610126557738	0.14325844191070808	 0.2868564090635817	0.03759207285373132	0.060671104843894715	0.05630607407655174	0.09794208467179805	0.04325841444497197	0.06974869878035257	0.14277050114945208	0.02763049831419966	0.06837242089964692	0.06879549473904635	0.12268516299373587	0.11286515246932848	 0.0253561185710018	0.09713931725824454	0.10737824172614299	0.020163175970279744	 0.0719674430139296	0.024042270769849904	0.05939385584459672	0.037248967751449424	0.10255729401871885	 0.4382546919233751	0.03997613463552618	0.11148806156623749	0.06709050274740883	0.044042599619313554	0.19891342676566864	0.08608573361049315	0.10713441253213613	0.06451604987152117	 0.3969725113985571	0.32994849577380103	0.10630714841430172	0.04951431334128992	0.09457921199465874	0.04727264606239792	 0.0207722433472438	 0.4116882824251615	0.06787065091344502	0.07815955500436214	0.48298012102488214
  5	 1.3580011142919952	0.04621628793672557	0.06225387869143244	0.07136517279666987	 0.2322599465425414	0.048173487104345096	0.06679356211748066	0.06882331967359719	 0.2624516845423264	0.033552461368290355	0.30776216042674054	0.054950390434809246	0.07872031069465704	0.07521174593758237	0.021490539186683935	0.20423748174714304	0.025487442316321926	0.09559844355794347	0.11906157194248784	0.10365926388427849	0.07470695466106272	0.08524002506431716	0.08012726483858902	0.013112917805729532	 0.0504915165067499	0.030160441709776234	0.03970041526251689	0.28596459805837193	0.059603266404440546	0.11550346425309412	 0.4398955209495336	0.19001805868091476	0.05726976552312851	0.08637049743758052	 0.0587806827988984	0.16790843024707594	0.021869866136268998	0.08809311537831359	0.05739425572128235	0.052345507719357226	0.18882630500145353	0.09230507377523185	0.04464301129475931	 0.1155914110208164	0.047004014791360085	0.056452645624416105	 0.1682247843994089	0.04570402497725107	 0.0737312439774394	 0.4761036304081868
  6	 0.6868582969053889	0.05015270056691895	0.24151303169270505	0.034881620787656456	0.017641480992794948	0.03629509939094943	0.08878805969286162	0.06629782006377913	0.35560227306715936	0.07211713557725503	 0.3518917706640308	0.04168509261232981	0.04760982940828165	0.06073592683785355	0.019714333288729853	0.22109222262200257	0.07582895825225079	0.041103081367998076	 0.1274352192188322	0.07767113737916344	0.04322439822696471	0.07079760598448356	0.23851298386473488	0.20250124748546017	0.05975716866196547	0.03008462720830658	 0.1840048702658921	 0.1583452312455405	0.056337418260269924	0.17953781381384792	 0.3301336835688868	0.02932529077277336	0.06000020409613599	 0.2586073665223185	0.05635032187389099	0.04783257237212694	0.02069906638241498	0.12044551187165782	0.04683000402797259	0.02773009574888857	 0.1445086620251088	0.20033023409224296	0.03512319394720632	0.058491207229645174	0.019870851058801448	0.10290342315213516	0.27075993931803644	0.04212676823432939	0.08367028856452832	0.11750345148304017
  7	0.45204227705861255	0.05528396443770696	0.22160878863842448	0.14134544263380183	0.05023369624768728	0.05124663961732368	0.12201276105840259	0.05282028939881207	 0.2619406944408974	0.05093446063289361	 0.3906789122260157	0.07519510295728599	0.08614091690490945	0.08344850970181855	0.019490633236395917	 0.1219104491757673	0.02337478842658921	0.06770999868520083	0.09685191229124833	0.060128405980399924	0.21370803718051767	0.15174621673207636	 0.0950322806366018	0.11197497534334815	0.05892981478497157	0.08370226456114917	0.16713194002442044	0.07659312257850254	0.10279035111712026	 0.1296349603534676	0.30425690960248414	0.030323580750607766	0.09016356119344904	 0.1849824248787285	0.025400992232286135	 0.5729594709380493	 0.0274982362062641	0.21575443418605184	0.029178568461763574	0.02148860613081191	 0.2158081013178934	0.15356376023872695	0.032471344819151475	0.04343630488895459	0.019604840015497452	0.18699187672626114	 0.1949606142938643	0.03480878392309187	 0.5290650107230072	 0.1445710681088999
  8	0.08440165185484017	0.04619324174468747	0.16531902426383518	0.11714740753127054	0.02718086852645118	0.15078290203163378	0.11842275183474413	0.13418143686979242	0.21301053881118828	0.026714643726205155	0.32115414080909516	0.03725566692688323	0.019546896274485692	0.050579735446567714	0.028224277880716728	0.10269872565869953	 0.0154818991849677	0.08251924468334972	0.06129387265972039	0.09451696954899916	 0.0482408316107961	0.22364591010422535	0.40469233635034935	0.025226239286792223	0.08187975694000926	0.06867123453565395	 0.2944798159402759	0.05067996171964745	0.036614383501834206	0.26358165649208787	0.36373521017258836	0.027365203201189448	0.23796993637826855	0.13074976711581063	0.07046665485604428	0.046945991818773625	0.019085063090466828	0.14513168361878698	0.05343864163311736	0.05316100348397302	0.15430942974531878	0.14822917081350265	0.03838880284261536	0.12416770338777645	0.02880715586537631	0.021366470346980075	0.15424695774882013	0.09881831513480846	0.36512777384776746	 0.1663244951614162
  9	0.14825111863375937	0.019008292234727144	0.019294035714315115	0.14323509445772886	0.05066733524892715	 0.3004703714250616	 0.5096150668693251	0.044399271031580756	0.10785915660595888	0.046425497889478765	0.08091899828002205	0.040737490083970894	0.025574589310529087	0.23357886680787598	  0.103787040919257	 0.0988574021207534	0.06228814684808662	 0.1907118023501343	0.10829366182087061	0.16237948039626662	0.029605293541524236	0.18117870821246307	0.04875524756724188	0.08144574054328874	0.12102407856712225	0.08601345542382935	 0.1955850957251468	0.041094169954583995	 0.0766057563201784	0.31710105010393397	 0.3501402242183297	0.07581216444662708	 0.1221926413383353	 0.5958656462363683	 0.0822838071279986	0.05148498746218223	0.05436860610469176	0.10899092671977263	0.05244783617588876	0.15840809302806572	0.11952934667834494	0.02161467418976752	0.13920697010356436	0.11392349177661154	0.018163578194910036	0.023094198224137275	 0.2527182560916089	0.08480148604054477	0.22033530065150267	 0.1618394263245636
