# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# leverage
  0	  0.119843489010778	  0.119843489010778	0.11841008945805069	0.12115621738140643	0.11706536252835878	0.11855831856735766	0.11918039294820235	0.12056389677686173	0.12196675164008193	0.12159057686796855	0.12470369198419888	0.12077326967870441	 0.1180617364097841	 0.1160642044906039	0.11850104140622941	 0.1158927878067886	0.12086222606313989	 0.1143023341546193	0.11823644253115324	 0.1217196608030914	0.11841610950705393	0.11423115721027494	0.11783536389832086	0.12156141249257552	0.11756371917584246	0.12053713753535453	0.12264722565740924	 0.1161627348914238	0.12180998274241359	0.11959050809677617	 0.1144274477279853	0.12361465463757018	0.12120610101949683	0.11832513896308898	0.11448044492931811	0.11911671715581469	0.11716631257416647	 0.1194472948065632	0.11613457058665086	0.12066211143198782	0.11987031250506007	0.11640584374735599	0.12050453100657946	0.11818249647843246	0.11618330750361278	0.11906328331810656	0.11114016177551375	0.11775954014269083	0.11560695058152291	 0.1200682865327658
  1	0.11645060454643875	0.11645060454643875	0.11661446990599146	0.11960478628843893	0.11299736634845024	0.11230820481093931	0.11258376117414766	0.10529668847263858	0.12193327281814081	0.10499066419879988	  0.119731339211705	0.11567005785547327	0.11181921619347397	0.11456809983773963	 0.1172842947682083	0.10886238720190539	0.11712908181208233	0.11423176996209733	0.10952065641276261	0.10455425266681401	0.11611194936409305	0.11736387708145521	0.11129828511016218	0.10745379930596119	0.11604188441740117	0.11262366394056589	0.11197593768881992	 0.1164098057082343	0.11221307891848686	0.11613626297139186	0.10040900539249652	0.11348299942048934	 0.1156355698921722	0.11947257844936017	 0.1138195754897005	0.11454495769060662	0.11459832268413958	0.10898622054102555	0.10757479704303798	0.11508094602584469	0.10902793237699626	0.10757532986921449	0.11045243451139371	0.11893035168155812	0.12011356056334885	 0.1035541629121918	0.10853807851664066	0.11704848573094223	0.11705389498993744	0.11121189834855541
  2	 0.1052059977363094	0.10121873978181842	0.11427390850704187	0.11860983124551396	0.10403028020065054	0.11455562395737307	 0.1068106460884508	0.10554712926874404	0.11264664190869826	0.11336249085089006	0.12043021493893441	0.10221641993613989	0.11736434183708074	0.11516991306451152	0.11420336817732407	0.09829773506008907	0.11521053815651663	0.11529567145124023	0.11006676936899415	0.10632073930296793	0.11382441559110341	0.11304356337553019	 0.1084517664376648	0.10917997962989028	0.11811563652454908	 0.1081598309261111	0.10547270354203604	0.11067489829908883	0.11373678239985882	0.11243867434837213	0.09958679124608807	0.10843764458672062	0.10747112109285721	0.11046197801255742	0.10589818788306779	0.09997013004724999	0.10250903473181167	0.10476050123130655	0.10236513368702432	0.11549387597533858	0.10934798740576969	 0.1070409247018409	0.11492598183654902	0.10857191441130633	 0.1139993605942046	0.10265162565388046	0.10639490498746566	0.11286444870182916	0.11873845813405053	0.11723703552654392
  3	0.10502295342774422	0.09212950233257429	0.10802446494835437	 0.1182422859651623	0.10862391608568914	0.10566881861651897	0.10272679082429743	 0.1088355573959098	0.10777364082106823	0.11380100972757216	0.11658109979722069	0.09887044382957491	0.11271483575034726	 0.1108703222503067	0.10601819983645401	0.09878263322161046	0.11410242653487856	0.11188345603616438	 0.1129248180943276	0.10666780440567857	0.11325415735103894	 0.1158785482611024	 0.1040959975994783	0.10182606468846328	 0.1203876779067377	0.10028431781050003	0.10447543024078515	0.11130693462057485	0.11853291168873582	0.10892207218938216	0.10369781647637445	0.09815021769233055	0.10020629059534804	0.11185490744850331	0.10426879967809559	0.09775417525215936	0.09934170302728829	0.10049332597601607	0.10334375502636321	0.10962017704205441	0.09796254523728593	0.09982485401548591	0.11433873713947452	0.10859788646594012	0.11159149490698152	0.11727769424430763	0.10078035114167466	0.11372016833996339	0.11388680090834721	0.11582379534268071
  4	0.10573572593301447	 0.0897897866090294	 0.1029511677705759	 0.1084718009376142	0.10045806381876358	0.11026924489404694	0.09995304798716978	0.10117112372717144	0.10356018020218066	 0.1169109504801878	0.11516546766721908	0.09975197077962425	0.10411874351495719	0.11350927431970578	0.10143283494292325	0.09399553380669844	0.11752732679317875	0.10946818680947207	0.11257808423293557	0.10802686619214512	0.10491889532828984	 0.1119442803220492	 0.0976711779702778	0.10498980377903035	0.11585125042936616	0.10322935233186253	0.10186536937710153	0.10921341876753228	  0.116060738993263	0.11159535662102842	0.10699545377777055	0.09735474654647511	0.11340033018777268	0.10989391624367043	0.10888928947654279	 0.1084288547015008	0.10919859857658169	0.10345704178356424	0.10529080148595034	0.10914891807933044	0.09789518571620649	0.09426123478574816	0.11888838140865912	0.10836774148388147	 0.1114571600693707	0.11799658527684531	0.09852850028722195	 0.1127768890993236	0.11053403408270966	0.11661056275873215
  5	0.10430641607400551	0.08589614551585614	0.10034347801200846	 0.1005501862325802	0.10625244664168308	 0.1070728038475562	0.10595967909339367	0.10834756755077957	  0.104156358922529	0.11311852130208713	0.10952425351615759	0.10639721177002573	0.10017448491934257	0.11113071646810281	0.10314365593085947	0.09586544013329241	0.11232983708304582	0.09856337986421077	0.11010085776511291	0.09835872743624333	0.10460784917462579	0.10950769111736346	0.09027647635728403	0.09721081739691308	0.11088620929277954	0.09671764389779751	 0.0967222812922993	0.10566998709954564	0.11325848770059592	0.11001477298337944	0.11093275486558035	 0.1020590719181601	0.11154262254736208	0.10150939317091318	0.10841661602289385	0.10529485939730591	0.10487952704008321	0.10502185690447878	 0.1070905244265306	0.11455659817158047	0.09865172439304719	0.08958413726949167	0.12129467755653932	0.10237817138327877	0.11359125012080055	0.11521686888488748	  0.101535241499379	0.11298865034972065	0.10200953945322205	0.11130439708187374
  6	0.10601834055877175	0.08203671352038767	0.09488189314621581	0.10286972553951125	0.09477076707093714	0.10577067291791802	0.10082856386519509	0.10716300415568501	0.09648734748962387	0.10968356707690154	0.10465523470065312	0.10765291562545164	0.10349610672020104	0.10953287161461019	0.09401387544332587	0.09526106271813906	0.10273539888387555	 0.1014187469334783	 0.1076571795931731	0.09617259721814418	0.09934336321031179	 0.1049023141039764	0.09280679464357819	0.10226737633450857	0.10216778853239143	 0.0907798553887529	0.09502076703871598	0.10938535982953777	0.11521367026186984	0.11385351493746464	0.10568397281607661	0.10578760704673779	 0.1056784013197631	0.10381781607262386	0.10516667305128415	0.11020608772093186	0.10035451848276118	0.09927875366512474	0.10218351838392926	0.11155109032940644	0.09638454009422315	0.09639801206879628	0.11941083762349272	0.10386696208065116	0.11189536753330934	0.11512596506502996	0.10841089875181838	0.10640724633927069	0.10525167004960499	0.11163220353362928
  7	 0.1110328456247013	0.09460779990995792	0.09355098701153612	0.10822513057473897	 0.0908028893035856	0.10501234982802748	0.09970288252249919	 0.1047950440049439	   0.09444970915909	0.10864273615062854	0.11028179934634849	0.11318222623526594	 0.1088355763392548	0.11295440354483201	0.09357877346162838	0.09104135003653964	 0.1027282176875675	  0.105041643828975	0.11008019721661971	0.10277023777860451	0.11086849318940217	0.10583953006900788	0.09598779797305079	0.10476380955165973	0.10036875734236414	0.09114738131888339	0.08754759919262614	0.10782338517092964	 0.1199924500409268	0.11296236878558266	0.10807224012815463	0.10169160977907916	0.09460600198818155	0.10018894121707145	0.09814458793771337	0.11307579917302657	 0.1047137366564577	0.10198774205816794	0.09642427332086716	 0.1074953697819852	0.09064260778032024	0.09472465062865287	0.11535390923946859	 0.1048872490996215	0.10881294111890076	0.11980990017759806	0.10261503294713821	0.09483593045418375	0.10965900691695862	 0.1081622208862291
  8	0.10924328040322594	0.10497092573388743	0.10004818007129672	0.10872507307448188	0.08812820710207352	0.10627901790068921	0.09102980928928917	0.11212061835221408	0.09997740962709624	0.10060119052695185	0.10180388618432273	0.10662282825721045	0.11764324511245937	0.10987318556005307	0.09343624682043813	0.09291379261138477	 0.1095911852953033	0.10784955680358733	0.10262997241146515	0.09468388216360524	0.11581083770985494	0.10325651973387323	0.08664378539264703	 0.0971118521447679	0.10538248626742268	0.08189465465564258	 0.0977091851344452	 0.1042587035161702	0.11174256133333184	0.10883962465549572	0.10265692608908424	0.09916702960173916	0.10661257637774453	0.10595251791675522	 0.0988589082144988	0.10855615008065639	 0.1025991048297517	0.10538851878253976	0.10778794321720336	0.09873456446656301	0.09293057360568596	0.10377462849734177	0.10926003310991302	0.10684477746626074	0.10450883677707092	0.11870527100891946	0.09604847448805198	 0.0885934659251425	0.11440115129401095	0.11074359697415759
  9	0.10527235429827021	0.10275312370015448	0.09953988534419343	0.10348245329354862	0.08541024892837021	0.10063487274037204	0.08579634798938386	0.10914523435654995	0.10639795280472286	0.09683862829738525	0.10263245021470131	0.10599974155728352	 0.1162203178898946	0.10758526267164076	0.08732797743122654	0.09192637608815471	0.10255449304454904	0.10357474995200609	0.10578125088575777	0.10361508638405066	 0.1029579739519353	 0.0981272207402457	 0.0989705501813955	0.10908711022236049	0.10461460006784928	0.07698413511568382	0.11016440062950528	0.09819302925410071	0.10885857265051346	0.10998370146787283	0.10698748271911901	0.10326617644590025	0.10467834200665908	0.11109388546755194	0.10513436237397072	0.10603488088680713	0.09587721276511686	 0.1039371401996402	0.09609019583930564	 0.1085421102525018	0.09044862205342641	 0.1118733674607174	0.10918908866978783	0.11347043992684826	0.10854257578601041	 0.1094459874777705	0.11560705333380696	0.09080073255681606	0.11676644672337419	0.11281204033061837
