# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# liquidity
  0	  1995.272093182967	  1995.272093182967	 1565.4041083817071	 1641.8352200075838	 1613.7246026698797	 1536.7207874802339	  1896.557079258791	 1248.1474231656655	 1573.5882465353764	 1677.8344933997532	 1487.5069789996323	 1555.6819707923776	 1677.7286988915982	 1489.8006158994663	 1646.7087495114072	 1556.3925472284088	 1943.8325253165328	 1669.1500736373732	 1708.3661361914887	 1571.3539564403331	 1729.1287330333807	  1456.057896555968	 1350.7153486468596	 1699.0985059343288	 1340.4344079459918	 1771.3187076598456	 1595.6359494091312	 1443.8782448614693	  2073.159507117632	   1623.00750751557	 1382.5091472314998	 1620.0977454811564	  1462.710911968847	 1841.4058344347916	  1604.930571524385	 1631.1512126149812	 1665.2013301409202	 1751.6634257365579	 1492.1996324836598	 1726.6528258162314	 1715.1258388131234	  1479.370557783038	 1328.0277077022733	  1480.370608524732	  1508.054654984237	 1491.8877476574291	 1318.7783833092105	 1635.9287491866985	 1741.9063446579785	 1406.3343733516824
  1	 2120.7196982226933	 2120.7196982226933	 1894.7343773764828	 2196.6824838724697	 1563.8311055004826	  1664.492922909204	    2263.6361685517	 1463.5788156865153	 1880.8066708988265	  1985.262063770667	  1395.133039967312	 1678.0303293968525	 1614.1611146041532	  1470.058585293445	 1945.1255511823476	  2056.349624627751	  1958.299812998506	 1580.3565393857093	 1624.6792978453934	 1772.8538488829502	  1811.102237118752	 1783.8215303842724	 1625.9850453919612	 1894.3723264422051	 1657.8504924548076	  1948.718192394537	 1829.1339517395018	 1613.7596482455426	 2107.0784413717574	 1842.1878380734024	 1684.3945078747815	  2010.001085803584	 1903.3219017546855	  2042.707163955293	 1643.0703929674187	 2062.1941149986487	 1804.7222390953189	 1668.6026982373323	 1847.6588501038755	  2086.416873215747	 1987.3399469049368	 1682.5363336485275	 1434.0967379708034	 1779.8132427795701	  1781.344415236575	 1633.4132681316598	 1776.3311985690439	  1791.881273139205	 1713.4291324839667	 1535.9436497528968
  2	 1994.2079134301894	 1949.1972821874165	  1922.718395191704	 2571.5404619390465	 1621.7701267656557	 1812.4841845401725	   2431.26810191347	 2047.8389001697024	 1895.7336159949355	 2079.5964781786406	 1685.0316623778224	  1985.015492655657	 1708.5329150295488	  1635.358295656698	 2064.5436477557428	 1909.7853969307184	 1949.3553862997717	  2093.847105619632	 1911.5829636413819	  1629.692343935894	  2156.271623096197	 1821.8685419467095	 1957.8645632602806	 2569.8845334067605	 1674.3113645177834	   1803.62449145752	  2034.234808919332	 1692.3673138357753	 2023.0086599342508	 1953.9219901314043	  2447.712861745039	  2375.494096551448	  1897.410880778918	 2029.5338869734003	 1721.3706270780958	 2021.6902847204835	 1927.5050211436785	 1922.4523413434342	 2132.6175251322497	  2569.577108407315	  2070.336517778021	 1763.8294523028953	 1838.8795641541712	  1932.525099583876	  1835.508475331639	  1551.771860127986	  2220.969786639943	  2289.755475293701	 1982.0751844428032	 1809.9280019042421
  3	  2306.984170228083	 2508.1445730966734	   1803.84007018573	 2408.6989475649857	 1546.1811043436514	 1697.2123447945464	 2150.2792842500976	 1886.2397868440291	 2313.3288120180214	 2495.0557912362074	  2354.927449903739	 2128.1494838537274	 1694.6458897539076	  2068.728147258096	 1932.0772600922273	  2080.305210212204	 2231.9023105715505	  2213.448335038619	 1867.2299262742163	 1829.3094414613852	 1908.4495319585699	 1917.6989944582817	 2149.7062165560164	 2772.5940014779576	 1505.7716198720175	  1898.492247188858	  2202.427770203909	 1724.1599992069475	 2222.2482179147078	 2381.8101921506773	   2200.09711369292	 2320.2737758199396	 1925.7154911844623	  1887.632050697174	 2120.4683468846147	 2131.7863653807835	 2321.7808839809018	 1970.8452049803977	 2165.2661712874997	  2528.542076476614	 2374.6204711180717	  1887.091905989993	 1803.7640921817083	  2149.863062942753	  1832.452874071028	  1722.391980369643	 1839.5633511472304	 2432.3516722052923	  2304.975389060913	 1909.3419003948495
  4	  2686.134376203055	  2855.874648594016	 1590.1598439010597	  2070.456869320518	 1581.5790623429284	 1787.4472718040854	  2645.114916304694	  1652.567149895335	 2247.4860816455966	 2572.7548280134442	 2300.8158971307244	  2479.438643219843	  2221.235206693309	 2189.5584858028956	 2439.2777452018954	  2186.517112084685	  2661.670851132584	  2184.797583475168	  2450.749874784596	  2118.527840772448	 2031.0913597595938	 2125.2565898015823	 2143.3997751526604	 2414.5806450216965	 1392.8879834866098	 2025.1717862290575	  2637.433824823957	  2116.307206868394	  2026.723726606465	 2265.9867077657714	 2245.5482095160014	 2351.8851681249344	 2021.7191666131548	  2027.894422512674	 2172.5358967411007	 2475.4972367883847	  2436.439412639248	 2365.3429021946267	 2354.1092166580615	 2565.4727527424343	  2887.126002762883	  2362.477535748121	 2181.8579930671344	  2392.053118369934	  2264.520591931364	  1528.028444888915	 1836.6619829364813	  2416.175105254956	 2386.6805669948694	 2597.5169021041547
  5	 2293.4871854939274	 2476.3612367183964	  2191.540859728569	 1917.0112377894689	 1965.2451597884306	 1917.4123716540116	 2879.2907941261465	 1934.9546471127635	   2392.34677209903	 2768.0507113884214	  2251.704312617614	 2552.0761069014316	 2058.0889255911125	  2556.084673262167	 2405.8857647132177	  1863.668841146313	 2772.2263023053206	  2066.681496990025	  2327.640651040548	 2105.1654851650355	 2392.9372670642174	 2253.0941270880144	 2623.2635299987414	   2250.79523780519	 1641.4519787709078	 2169.2402703246544	 2378.0439977352057	  2043.194445077981	 2268.3258027294687	 2236.2065631833416	  2272.996941376673	 2524.7095882469025	 1808.4277748796214	 2211.1819717089916	 1961.1337113497336	 2643.3489509147303	 2506.9799281256596	  2697.366377838419	 2288.2413173384307	 2396.9705913950356	 3178.5010288898443	   2830.32619644655	  2051.761968641685	  2527.046507155125	  2618.917014364731	 1947.4266933349895	 1903.4882769581163	  2637.580011063308	 2293.9780093189374	 2431.4907257016134
  6	 2561.5433856876016	 2846.9065574837728	  2245.401917408471	 1968.3449743645913	 1993.8434366093718	  1980.520735182894	 2482.4588210231404	  2148.027769027285	  2316.358074439954	  2988.068061957727	 1935.0954988441636	  2774.984112940992	 2145.0031457355467	  2368.487361997174	 2747.5672515261263	 1919.9649475957024	 2977.7680189804896	  2176.977622912394	  2200.443225990935	  1896.728180671967	 2121.3953768774304	   2483.97073163636	 2238.3649645754676	 2475.5610156446355	 1742.2645286412703	 2296.2741859261196	  2613.728789627141	  2369.412288125946	  2529.448915610919	  2493.991728907488	 2305.5606274322067	 2549.2031756679135	 1884.0463843109885	 2363.6113321420253	  1967.079473599904	 2412.8975277026884	 2505.2845540687013	 2582.6809506331783	 1742.3037450900067	  2394.491377510698	 2862.8996458061383	 2745.7211894674433	 2100.1740099942817	 2734.6201813780426	  2411.467008412032	 1970.3368671007051	 2100.6580512675673	  2393.593899690898	 2453.0478696603445	  2597.840239885696
  7	 2250.6246910945656	 2490.5689999614087	 2547.0706343260604	 2121.9545804499744	  2517.784380879032	  2307.156499649649	 2580.8152681792194	   2475.20382573091	 2592.2450225206017	 3059.1489466357993	  2011.070023924267	 2869.2001569433028	 2681.7885353643474	 2864.0853962192314	 2827.9630610620707	  2269.252409537254	  2776.485014795202	 1971.8054005810886	  2408.086042802702	    2115.3851407736	  2284.917380857703	 2708.4132352925208	 2358.2265794742802	  2370.761883359142	 1645.2312769419746	 2630.2632000348835	 2804.5490608297146	 2639.3232179932647	  2794.437064241003	 2408.7512021176344	 2414.5571549297074	 2561.4423191824135	 2003.0818416594063	 2397.9745136603096	 2288.6276533141563	 2147.8005376261845	 2236.2209895583037	 2383.9377740446726	 2035.9213048283323	 2188.3420734504425	  3474.214483475049	 2551.8431642726086	  2159.646486775062	  2903.399261740521	 2640.4334711883585	  2193.821867200771	 2345.9961365242857	  2723.354815149809	 2656.8450796103025	  2655.810156043565
  8	 2320.7707438497014	 2429.0381083273983	 2650.3236402546218	  2033.069645393092	 3031.0669898910965	  2272.803903628927	 3314.7610319330233	 2505.8839712841273	  2751.165443910911	  3281.819320087482	 2015.8083753088545	  2743.656120370152	 3013.5381066776954	 2742.7565485022587	  2550.123155814335	 2315.5263349253455	  2555.667105268332	  1894.946883668838	 2435.1109520317627	 1879.9331520935345	  2336.098743111456	  2730.121952336253	 2420.3830202471095	 2634.7809266110226	 2042.5880051527029	  2571.082938211278	  2582.285472251153	 2553.4678794855586	 2729.6972534178976	 2405.3380302405026	 2803.9967515147673	 2269.4666810281083	 2131.3900396944596	 2057.0092482612686	 2308.9899748914854	 2185.5105677742563	  2671.436091632731	 2303.8941316003634	  2104.939402454722	 2102.0948257914993	  3082.507673946274	  2628.001046251653	  2385.184414500506	  3107.317293115374	  2919.053597204751	 2477.1805364716693	 2594.3286309997234	 2381.2340811065937	 2506.3131851458056	  2435.484648767789
  9	  2201.406423942481	 2617.8797747221843	  3075.014968934818	  2292.197186510714	   2771.14178407872	   2184.81213242191	  3465.534265340866	 2369.3141155061494	  2674.642578015621	  2903.794673727102	 2061.7200470099865	  2947.516785157697	  2419.797290706763	 2866.0946233191294	 2545.9736284672085	 2201.1882760198882	  2715.328613130332	 2161.1841063047214	 2897.9806315301917	  1912.157207958779	  2510.573558677921	 2531.7919726998607	 2527.4162282643447	  3017.240023738092	 2170.6313759382774	  2470.840072874025	 2532.3186009230685	  2607.472470941369	 3390.4672617213428	 2254.1021158125977	 2931.6722946220534	 2369.3460811320174	 2326.0152029372193	  2188.413573744935	  2438.118748524444	 2039.2611912994132	   2523.34896639296	  2501.782819559012	   1998.95297239398	  2297.476037355947	 3225.4214822494328	 2740.2124778034263	  2439.373793899309	 3012.3740454282497	 3058.7391609256874	  2144.033525743443	     2687.234480808	 2219.0672061628507	   2492.54140967386	 2631.9393111000527
 10	 2408.1023204492617	 2622.8811871162675	 3087.7131501355807	 2337.1946490440887	  2489.336464077659	 2026.6670931858896	  2997.512856599457	  2598.494897787924	 2676.6082715725292	  2839.838805540148	 2147.8548424980795	 2870.9589440506825	  2444.560803616698	 3008.2512446799806	 2592.5077048137987	  2173.765555687295	 2879.0854820729887	 2012.4439301889183	 2944.5345597594487	  1894.478436512987	 2900.6256799633047	 2665.0572985450412	  2345.535573204625	 2638.6967378288664	  2310.453900954976	 3055.2436509101494	 2695.2644569274125	 2533.1400916997004	 3476.1244817126462	  2735.653553778515	  3082.044078198355	 1819.2757960223769	  2362.577841133012	   2423.94743543993	  2417.409256902765	 2237.0249655773378	 2475.7989793415036	 2584.2409365915973	  2143.863683786258	 2554.7315498050953	 3628.5876085078057	 2670.5243677367766	 2486.5006591682836	  2651.845075658594	 2873.8192125895434	 2228.4630756033666	  2565.357429287323	  2568.455226178953	 2468.7723703862475	 2387.4838249619324
 11	 2357.6842757157624	 2772.7217089255287	  3152.041319092553	 2405.8495936217905	 2363.4318521145524	 2232.1622718800068	  2970.417179144101	  2277.783877497465	 2312.1648099920744	  2561.511065359805	 2066.3233399440896	 2791.4466100954396	  2614.225423675978	 2494.7152088750713	 2607.5963894776755	 2054.5651031753187	 2483.8476095215983	  2167.393727023157	  3104.160122744185	 2557.8575452872396	 3041.7220453397636	  2460.629072442706	 2536.2804377795323	 2400.0802491788804	 2071.4665353791456	 2828.2893771624063	   2575.54134466179	 2278.7887485956862	 3746.2872049324387	 2907.1849447924506	 3182.4247315787306	 2026.2588637506794	  2267.720871909878	  2563.522879138977	 2303.6128192502033	  2152.302448492299	  2580.822344803526	 2558.5312128183496	 2012.0884841928266	  2085.358666467142	 3743.3203385978877	 2804.6772069027143	 2202.4402959006457	 2369.5805913051395	 2751.7250019136955	  2240.859397412819	 2970.8590494615246	 2973.4388871865362	  2959.810610647819	  2419.595787651411
