# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# rationing
  0	  8.608527588382117	  8.608527588382117	 63.187657469722836	  9.857498382120724	  9.967670588162278	  3.216709204405376	 19.098358711725652	  18.71696819149676	   5.69909102748781	 26.805058102096197	 26.145258669157215	  5.055878170929702	                0.0	 34.296878115627266	   8.32968472974322	 30.270216190613866	  13.29417946049061	  33.95038042479585	  7.359478091038312	                0.0	  53.02606080668161	 12.568048279657631	 19.873838079222253	 15.854022794210124	 27.500533871741126	 6.4624757131629735	  41.73205694024544	  41.38329787032997	   7.49984205337843	 25.725232674341413	  39.41937481910628	  41.60792785817466	 1.5375307960678128	 14.921777598411595	 16.463000640787314	  34.22144803756551	  70.23283333532139	  4.284316683109083	 0.9145884757947442	 10.326390240409879	 11.603324309389691	  5.422526732154253	  17.43967814161455	  42.56058297887881	 40.853856030422264	  22.43445531895084	  8.014251266604447	 7.6024672887600815	  36.93901361928344	 35.113277425384396
  1	  48.44928040223721	  48.44928040223721	  46.74185179765861	  61.60217479748046	  49.37694977348667	 16.579552575959184	  37.89439600006189	  50.70987328584276	   73.9056679491239	  53.96480087186103	   69.5140422081008	  34.95775872920642	 28.854228193040413	    70.602856384429	  54.65845441341726	                0.0	 14.184134902628386	  48.35375582584291	  55.53980267205107	  44.99976041547173	  55.71692347515142	  72.95049628866784	  83.75641008859809	  48.63791378892125	  86.48449019290625	  71.95195246567738	  5.638790054564581	  37.74650059615841	 56.564723821331526	 37.545419790369635	 26.178294762605773	 110.23458025363642	 35.646752468145564	 21.008799805293307	  9.796230924158863	  50.33746516569258	  53.26671733778191	 34.002007007722355	  7.511743336400116	  92.67444220083591	  72.40234696956887	  58.02740507457065	 17.439201875975883	  85.85366155454754	 110.95156208069038	 56.519770941639756	 43.471757946798604	  58.89433041972552	  53.32325221567315	 56.220158112815966
  2	  46.70029529188919	  34.98370118559971	  29.74251312520012	  75.85166525198159	  25.38027069343738	  43.94965449906228	  29.69982331076548	  31.46777389825496	  76.30920251225318	 152.01309985419687	 100.27522849189148	  53.82461508571547	  4.928199330531342	  74.45161267780583	 63.462743977631135	 2.8156804574629746	  37.15002187977977	  80.56385399456632	  70.77559598960613	 58.702712488206934	  99.65216585105895	  64.41592235167134	 16.697746217345724	 22.093320711236117	   59.6029946750678	  54.70689096778298	  23.30056650728079	  50.73904706976833	 26.643442007616258	  32.42712073001812	  80.02596562809836	 14.804246785185725	  37.53247488941513	  36.81626802184796	 45.004625780076566	 13.487849435865272	  148.8012306665081	 113.29525069066634	  94.32029573304692	 127.23583484358291	 43.752815682175324	  44.79408934486979	 52.798951297906456	  32.49164342107693	  70.68014150327035	   69.3008408531159	  1.137224286747653	  6.083293401556219	   50.2623852288463	  87.43682735908028
  3	  61.14624814476106	  81.53478064064984	   52.7565327708409	 34.954273560652695	  39.68669387560349	 38.643155261273776	                0.0	  88.22610742267416	  77.08693148072602	  38.91977338555667	  35.07254138868322	  6.908590191015563	   70.5386354903841	 47.424360905732556	 22.938254749533158	  99.24943471283333	 53.653291897788364	  44.32112519972208	  50.39137157641488	  82.04745393332547	  53.78109168962963	 1.9310989012652229	 41.581439060368226	 25.008435734879484	 110.71731822781214	 18.243746096688454	  48.93621144111721	 17.708445740523075	  73.09636388409582	  26.60220419955391	   61.0974765774243	  34.51550085001898	 12.282370517554085	   84.4212597136709	 16.075826548207246	  41.00910861534659	 39.023785971381486	  50.66819646809527	  34.25954729122077	 29.586365002853242	                0.0	  22.32275228584514	 48.257545757488984	  82.91224898158671	  43.63985266305595	   94.0179884476919	 11.504007638336834	  48.49021649218941	  33.76590063265719	  77.67544497646347
  4	 13.235057028255369	 11.271226191880118	  73.35218213480897	 49.430780286315006	  95.87737109864565	  47.78469211664027	  75.31966522589835	  54.36379270379854	  37.01045659124391	  26.82094034038174	  23.70246071999225	 17.002699339558077	  79.33896363944983	  52.66258776632692	  75.98625835294666	  66.14338856260535	 49.883119163781444	  32.21727298113207	 26.697960158711325	  58.13101957290374	  37.19022761092609	  44.21608882870126	 27.984344384446672	  53.86910664617491	  92.80389400323746	 104.53720495626214	  70.53487755886557	   68.0383750323002	  40.66518717755254	                0.0	  37.60149929194907	 38.428054671893946	   57.2735254617439	 63.134697205379766	   59.7906664375201	  59.98912054640809	  61.08938302811905	 29.163438896695226	  21.79654240539224	 50.540407838636995	  30.48404554272102	  57.08035432305657	  95.62952958555557	  18.96401743848834	  70.66957374978207	  85.16076331797838	  19.15408927901575	 46.007746870678716	  32.77938862780988	  17.57395858821495
  5	  28.61074169876136	  51.94903705903239	  95.61170233009419	 15.722715853394831	   69.9074152136074	 47.958612224302584	 26.606721350120296	 128.74699127059603	  46.60092981600515	 2.6093208849176186	 26.976062032448695	 15.752457547195469	 31.142203689900185	 31.098881614624176	 17.906274187791695	 30.112276134371456	  2.033079496013144	 27.667430379199118	 21.801924904567443	  43.94789469127411	  67.07151040156184	 50.908366765657135	  74.94495319089322	  52.33682750436047	  152.6506990662109	  33.88080053791728	 32.323282228238654	 35.521674045277706	  39.02013627877609	 24.167099808607986	 28.548030082379157	 52.719129979366826	 26.067045742635514	 62.149674045620415	  39.14017758424092	 16.631815528532428	  51.47559391548427	 41.414078156750136	  94.77791090848812	 30.580281341966945	  55.06344099677612	 45.851233597366885	  94.04256185074154	 18.340786029876533	  9.097704341901064	 49.128410241597535	  52.40907211769547	  19.79737522100588	 6.6344836538658996	  54.89099052461677
  6	  80.19253130858431	   34.5815772050821	  22.64336507646962	  55.57554429556722	   43.1595390218459	  50.54799336998218	  56.16891212655611	 107.69089662076978	  23.65253783889306	  51.12078869172001	 53.075292578773634	  38.58794625541667	   37.7209419843023	 31.169012624839958	  18.22945288466437	   61.0453969617401	  57.56420296980049	  95.24325140414624	  43.21295505234366	  24.56421134976459	 56.201541742233374	 38.373673215983956	   44.0656643481473	  8.900456773255229	  60.61704917461742	  60.99995809105405	  82.35923288403619	   95.4470177105421	   64.0129632617142	  66.83085040274017	  44.27080659633603	 41.120958295675734	 116.00393027927927	 10.734754596606109	 63.278602511754144	  48.61493941851401	  56.53859927716998	  56.04466935428685	 19.661874495272173	   2.48877597060374	 25.605356900552678	  72.03353437227642	  72.02612513398955	  39.36257237675366	  41.48226656949973	  53.91086746502772	 61.063105093741115	 23.502236264213096	 125.57523930148973	 16.398365199682274
  7	   38.3829760889806	  64.52067240316292	  63.04984041746508	  89.02480481971338	  45.62072072845481	  68.19909308155152	  93.32293187476469	  57.08059203432529	0.16727845098795058	  95.34420505593093	  6.856404813764598	   36.1947911046271	  81.38035535200743	  90.74544372978553	 16.386024329092834	 28.829287829404592	  77.82827896494032	 33.417794807783274	 12.868407003984277	  59.33673108396464	 29.878634858515753	 21.899287186479263	  65.63268047193283	  96.56464123348847	  37.50477688909408	 60.671237650002396	 5.4251093049371235	  5.193281940467557	  73.02347506667468	  33.52500613238905	  92.88607961570602	 27.296463663503744	  74.21814661473267	  54.66955643024245	 3.1973078542504965	                0.0	  44.56996471258468	 3.2615369948555752	 31.213375544906015	 12.478691911566457	 38.298555033205375	 10.839840237660468	  57.72309752506746	  21.65488431161561	  33.44491993451196	  65.82255019731565	  68.40002742788735	 26.349458243482914	  6.083622667537199	 14.255528826471556
  8	  32.63769741354719	 17.105420408371785	  75.38295896243169	  72.45324316310487	 16.628882390559454	  72.82304358730381	 18.992855503842065	 10.669764842559132	  50.37178277994293	 14.299828286904926	 19.034135901923463	 29.460261583203405	  24.99831272697463	 13.210947995546789	  15.42253894405313	  74.19963178155558	 16.131472258264075	 58.892498998768204	  16.86256767781626	 42.183243209688314	 17.310873269225922	  24.18029626010069	 39.193306625833046	 16.823012900840553	  90.50951537562175	 31.499437851387178	  73.43131332777283	                0.0	 59.999174779455146	 15.961090604134625	  29.45249578477754	  79.25018506564912	 105.69832664955068	 143.75872023609745	  55.32987741346791	 43.407492908190534	  58.60621516652074	  43.58375684242394	  54.38965374060021	   48.6196072887757	  44.85184526001147	  66.30732833681786	  53.59966364277969	 1.2903009203731841	  87.84208462518762	  23.26889920409849	  83.73805080170622	 30.059844041855712	 42.087480968572166	 4.0156893060879355
  9	  25.26242032563502	 20.736722563598207	 10.201820709651415	  42.91927763915845	  23.17068064724984	  68.85370036520389	  13.12425382681204	                0.0	 40.113863484157136	                0.0	 30.570062556121798	  76.56724405223103	  63.37341555462949	  50.60280125730199	 10.300774850307135	 11.321948485171689	 26.730162513683723	  28.05753300663227	 10.106308318178478	  134.6055481051269	 32.544096941908066	  26.59876856341893	 100.64871902437613	  37.63696888817178	                0.0	 32.526042962817044	 35.148115873723555	 27.514954097990355	 11.411208284038125	   10.6350128363718	  17.42079211814874	  42.01562085862844	  5.716872014914671	 45.541945569484014	  41.88140962160935	  57.29421603899553	  12.00683195846527	  70.27508948613804	 45.910431161937744	  78.99557834082665	  37.40193206644956	 17.231370123837408	  75.35604362652383	  46.68867099640261	  25.81076057473709	  3.586284628145151	  72.39545229248517	  94.34124618689421	 21.047085276215483	 46.903149912754884
